<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;60;20190103;110000;101.9000000;101.9000000;100.7200000;101.1600000;212420
AFLT;60;20190103;120000;101.0800000;101.1400000;100.8200000;101.0800000;141940
AFLT;60;20190103;130000;101.1200000;101.5000000;101.0800000;101.2200000;134310
AFLT;60;20190103;140000;101.2400000;101.4000000;101.0600000;101.3600000;162580
AFLT;60;20190103;150000;101.3600000;101.3600000;101.0200000;101.0800000;153980
AFLT;60;20190103;160000;101.0400000;101.1400000;101.0400000;101.0600000;82670
AFLT;60;20190103;170000;101.1000000;101.3000000;100.8200000;101.0200000;356460
AFLT;60;20190103;180000;100.9800000;101.1200000;100.8600000;101.1000000;102980
AFLT;60;20190103;190000;101.1000000;101.5000000;101.0000000;101.5000000;353840
AFLT;60;20190104;110000;101.6400000;101.6800000;100.8000000;101.0000000;238220
AFLT;60;20190104;120000;101.0000000;101.2800000;100.9600000;101.2400000;128150
AFLT;60;20190104;130000;101.2400000;101.3600000;101.0200000;101.2000000;177210
AFLT;60;20190104;140000;101.2000000;101.2600000;101.0000000;101.0600000;89670
AFLT;60;20190104;150000;101.0400000;101.1400000;100.9200000;101.0800000;122260
AFLT;60;20190104;160000;101.0800000;101.1400000;100.9400000;101.1000000;65960
AFLT;60;20190104;170000;101.1000000;101.1000000;100.9600000;101.0600000;89100
AFLT;60;20190104;180000;101.0200000;101.1400000;100.9800000;101.1000000;174700
AFLT;60;20190104;190000;101.1000000;101.1000000;101.0200000;101.1000000;235060
AFLT;60;20190108;110000;101.5000000;101.8400000;100.8800000;101.1600000;319360
AFLT;60;20190108;120000;101.1600000;101.2800000;101.0400000;101.1400000;112500
AFLT;60;20190108;130000;101.2000000;101.2600000;101.0000000;101.1000000;92920
AFLT;60;20190108;140000;101.1000000;101.1400000;100.8000000;100.9800000;161360
AFLT;60;20190108;150000;100.9800000;101.0600000;100.8400000;100.9200000;81940
AFLT;60;20190108;160000;100.9600000;101.0800000;100.8000000;100.9600000;129790
AFLT;60;20190108;170000;100.9600000;101.1200000;100.8800000;101.1000000;55900
AFLT;60;20190108;180000;101.1000000;101.1200000;100.9200000;101.0400000;112740
AFLT;60;20190108;190000;101.0000000;101.1200000;101.0000000;101.1000000;194610
AFLT;60;20190109;110000;101.1400000;101.1600000;100.8600000;101.1000000;225620
AFLT;60;20190109;120000;101.1000000;102.9600000;101.0000000;102.2000000;749330
AFLT;60;20190109;130000;102.2000000;103.0600000;102.1000000;102.7800000;1322310
AFLT;60;20190109;140000;102.7600000;103.1800000;102.0600000;102.2200000;788500
AFLT;60;20190109;150000;102.2200000;102.4000000;101.7400000;102.2200000;591190
AFLT;60;20190109;160000;102.2200000;102.8800000;102.2000000;102.8000000;445060
AFLT;60;20190109;170000;102.8000000;102.9000000;102.2600000;102.5000000;680530
AFLT;60;20190109;180000;102.5200000;102.7400000;102.4200000;102.5200000;221910
AFLT;60;20190109;190000;102.5400000;102.6600000;102.0600000;102.0600000;512090
AFLT;60;20190110;110000;102.7200000;103.7000000;102.4600000;102.9600000;1166490
AFLT;60;20190110;120000;102.9600000;103.2000000;102.8600000;103.1000000;347200
AFLT;60;20190110;130000;103.0800000;104.0600000;103.0600000;103.9000000;617000
AFLT;60;20190110;140000;103.8800000;104.4800000;103.6600000;104.3200000;860460
AFLT;60;20190110;150000;104.3000000;104.7600000;104.1200000;104.5600000;668750
AFLT;60;20190110;160000;104.6000000;105.0000000;104.3200000;104.8000000;777020
AFLT;60;20190110;170000;104.7600000;104.9000000;104.1400000;104.7800000;665710
AFLT;60;20190110;180000;104.8000000;104.8600000;104.3000000;104.5800000;380640
AFLT;60;20190110;190000;104.6000000;105.1400000;104.5000000;105.1400000;702050
AFLT;60;20190111;110000;105.0400000;106.4000000;105.0200000;106.3800000;1605230
AFLT;60;20190111;120000;106.3200000;106.5000000;106.0400000;106.3800000;1014140
AFLT;60;20190111;130000;106.3400000;106.5000000;106.3000000;106.3400000;420620
AFLT;60;20190111;140000;106.3400000;106.4200000;105.8800000;106.1600000;484160
AFLT;60;20190111;150000;106.1200000;106.1800000;105.6800000;105.7600000;490110
AFLT;60;20190111;160000;105.7600000;105.8800000;105.3400000;105.5800000;430250
AFLT;60;20190111;170000;105.5200000;105.5800000;104.7000000;104.7600000;510480
AFLT;60;20190111;180000;104.7600000;105.1600000;104.6000000;104.7600000;397680
AFLT;60;20190111;190000;104.7000000;105.0000000;104.6000000;104.6600000;452100
AFLT;60;20190114;110000;104.6800000;104.9400000;103.7600000;104.3800000;742800
AFLT;60;20190114;120000;104.3600000;104.4200000;103.8600000;104.0400000;242720
AFLT;60;20190114;130000;104.0800000;106.3000000;104.0400000;105.9000000;779380
AFLT;60;20190114;140000;105.9200000;106.9600000;105.7400000;106.2000000;1022860
AFLT;60;20190114;150000;106.2000000;106.2000000;105.5600000;105.7000000;346100
