Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.09.2018;;10935;;;;;;;;;;;;
12.09.2018;10699;11109;10699;10699;10699;10699;;1;1;10699;1;22218;2;
13.09.2018;11238;11045;11238;11238;11238;11238;5,04;28;3;337140;30;662700;60;
14.09.2018;;10988;;;;;;;;;;659280;60;
17.09.2018;;10999;;;;;;;;;;659940;60;
18.09.2018;;11324;;;;;;;;;;679440;60;
19.09.2018;11211;11549;10969;11550;10943;11550;;1;11;123319;11;669842;58;
20.09.2018;11536;11536;11536;11536;11536;11536;-0,12;1;1;11536;1;669088;58;
21.09.2018;;11327;;;;;;;;;;656966;58;
24.09.2018;;11284;;;;;;;;;;654472;58;
25.09.2018;;11059;;;;;;;;;;641422;58;
26.09.2018;;11116;;;;;;;;;;644728;58;
27.09.2018;;11106;;;;;;;;;;644148;58;
28.09.2018;;11005;;;;;;;;;;638290;58;
01.10.2018;;11004;;;;;;;;;;638232;58;
02.10.2018;;11032;;;;;;;;;;639856;58;
03.10.2018;;11092;;;;;;;;;;643336;58;
04.10.2018;;11028;;;;;;;;;;639624;58;
05.10.2018;10870;10870;10870;10870;10870;10870;;1;10;108700;10;826120;76;
08.10.2018;10606;10600;10693;10693;10600;10600;-2,48;1;16;169698;16;1017600;96;
09.10.2018;10652;10646;10617;10687;10617;10687;0,82;1;2;21304;2;1022016;96;
10.10.2018;10684;10693;10617;10767;10617;10767;0,75;1;3;32051;3;1026528;96;
11.10.2018;10400;10400;10400;10400;10400;10400;-3,41;1;5;104000;10;1206400;116;
12.10.2018;10561;10425;10648;10648;10411;10418;0,17;1;9;105613;10;1209300;116;
15.10.2018;10400;10400;10400;10400;10400;10400;-0,17;1;10;104000;10;1414400;136;
16.10.2018;10308;10308;10308;10308;10308;10308;-0,88;1;3;30924;3;1443120;140;
17.10.2018;10154;10147;10160;10160;10147;10147;-1,56;1;2;20307;2;1461168;144;
18.10.2018;9979;9850;10100;10100;9850;9905;-2,38;1;36;748425;75;2364000;240;
19.10.2018;9871;9875;9800;9932;9800;9875;-0,30;1;4;39482;4;2409500;244;
22.10.2018;9708;9527;9750;9751;9527;9527;-3,52;1;15;223283;23;2705668;284;
23.10.2018;9465;9468;9507;9543;9301;9468;-0,62;2;11;406988;43;3446352;364;
24.10.2018;9518;9546;9612;9612;9379;9562;0,99;1;3;28553;3;3455652;362;
25.10.2018;9483;9456;9516;9614;9372;9372;-1,99;1;13;123278;13;3385248;358;
26.10.2018;9402;9305;9414;9511;9274;9305;-0,72;1;40;1278724;136;3480070;374;
29.10.2018;9623;9598;9622;9731;9554;9598;3,15;1;14;182836;19;3666436;382;
30.10.2018;9981;10010;9717;10244;9717;10244;6,73;1;9;89833;9;3843840;384;
31.10.2018;9995;10009;9971;10079;9912;10009;-2,29;1;8;109948;11;3903510;390;
01.11.2018;10000;9877;10000;10000;9999;9999;-0,10;1;2;19999;2;3871784;392;
02.11.2018;9932;10370;9773;10370;9773;10370;3,71;1;10;99322;10;4148000;400;
06.11.2018;10384;10438;10238;10460;10196;10451;0,78;1;17;290755;28;4279580;410;
07.11.2018;10204;10300;10027;10324;10027;10300;-1,44;1;8;81633;8;4140600;402;
08.11.2018;10199;10138;10306;10308;9959;10138;-1,57;1;11;122389;12;4095752;404;
09.11.2018;9909;9853;10008;10008;9853;9853;-2,81;1;6;138722;14;4197378;426;
12.11.2018;;9945;;;;;;;;;;4236570;426;
13.11.2018;;10008;;;;;;;;;;4263408;426;
14.11.2018;10334;10510;10229;10510;10229;10510;;2;12;403037;39;4708480;448;
15.11.2018;10489;10559;10450;10699;10211;10699;1,80;7;15;293681;28;4561488;432;
16.11.2018;;10367;;;;;;;;;;4478544;432;
19.11.2018;10244;10150;10537;10537;10161;10161;;1;13;133172;13;4425400;436;
20.11.2018;10425;10353;10072;10496;10072;10496;3,30;5;2;62552;6;4493202;434;
21.11.2018;10803;11052;10697;11053;10650;11052;5,30;1;21;615747;57;4840776;438;
22.11.2018;11094;11061;11110;11197;10875;11042;-0,09;1;22;277344;25;4933206;446;
23.11.2018;11484;11600;11300;11600;11300;11600;5,05;2;122;2905354;253;6496000;560;
26.11.2018;11398;11330;11435;11680;11050;11345;-2,20;1;156;3932202;345;7591100;670;
27.11.2018;11676;11597;11330;11900;11240;11597;2,22;5;61;1646306;141;8581780;740;
28.11.2018;11445;11549;11629;11705;11403;11549;-0,41;1;30;766846;67;8269084;716;
29.11.2018;11580;11462;11697;11815;11451;11578;0,25;1;24;590584;51;8321412;726;
30.11.2018;11761;11700;11432;11990;11432;11700;1,05;1;84;3151886;268;9196200;786;
03.12.2018;11412;11315;11455;11660;11280;11289;-3,51;1;57;2647530;232;8350470;738;
04.12.2018;11120;10935;11290;11302;10902;10935;-3,14;2;60;2235098;201;8048160;736;
05.12.2018;11052;10983;11019;11137;10900;11031;0,88;1;21;1359358;123;10170258;926;
06.12.2018;10960;10844;10853;11198;10844;10932;-0,90;1;20;416481;38;10453616;964;
07.12.2018;10875;10650;11054;11100;10628;10628;-2,78;1;60;2805779;258;9819300;922;
10.12.2018;10402;10345;10601;10764;10200;10345;-2,66;1;293;3723757;358;14379550;1390;
11.12.2018;10452;10483;10267;10572;10200;10505;1,55;1;94;1902209;182;16688936;1592;
12.12.2018;10348;10356;10429;10599;10252;10342;-1,55;1;103;1790267;173;17708760;1710;
13.12.2018;10467;10369;10379;10540;10348;10377;0,34;1;91;3108695;297;18871580;1820;
14.12.2018;10285;10344;10350;10400;10203;10307;-0,68;1;203;2643169;257;22012032;2128;
17.12.2018;10383;10282;10350;10500;10235;10235;-0,70;1;372;5658708;545;29098060;2830;
18.12.2018;10510;10407;10280;10710;10280;10381;1,43;1;1219;19370165;1843;49537320;4760;
19.12.2018;10493;10386;10385;10655;10350;10386;0,05;1;1569;26326966;2509;72203472;6952;
20.12.2018;10381;10410;10385;10503;10200;10470;0,81;1;1867;37984644;3659;102934080;9888;
21.12.2018;10447;10388;10401;10550;10361;10408;-0,59;2;392;14677465;1405;109281760;10520;
24.12.2018;10399;10363;10403;10437;10355;10363;-0,43;1;280;10815435;1040;110552484;10668;
25.12.2018;10280;10273;10361;10500;10080;10279;-0,81;1;733;24939200;2426;100983590;9830;
26.12.2018;10309;10293;10279;10381;10255;10288;0,09;1;304;11886011;1153;103526994;10058;
27.12.2018;10356;10239;10343;10458;10225;10250;-0,37;1;365;11495412;1110;107489022;10498;
28.12.2018;10256;10225;10233;10310;10200;10225;-0,24;1;223;7240685;706;109407500;10700;
29.12.2018;10256;10292;10279;10310;10216;10292;0,66;3;279;8112120;791;107119136;10408;
03.01.2019;10288;10296;10263;10376;10240;10295;0,03;1;123;3405333;331;108128592;10502;
04.01.2019;10289;10273;10300;10350;10256;10273;-0,21;1;101;2551572;248;108729432;10584;
08.01.2019;10297;10281;10267;10372;10245;10271;-0,02;3;440;14950544;1452;117244524;11404;
09.01.2019;10400;10404;10252;10480;10225;10407;1,32;2;423;14871781;1430;118896912;11428;
10.01.2019;10549;10654;10432;10668;10405;10668;2,51;1;714;26521179;2514;132194832;12408;
11.01.2019;10725;10634;10660;10812;10540;10621;-0,44;3;751;64873819;6037;132265692;12438;
14.01.2019;10711;10753;10622;10855;10522;10747;1,19;1;684;23404103;2185;140649240;13080;
15.01.2019;10785;10821;10802;10872;10674;10840;0,86;1;646;21862195;2027;140586432;12992;
16.01.2019;10936;10995;10811;11077;10770;10931;0,84;3;635;25328119;2316;142099380;12924;
17.01.2019;11027;11041;10999;11133;10908;11033;0,93;1;502;13364601;1212;138542468;12548;
18.01.2019;10959;10831;11050;11169;10825;10825;-1,88;3;839;27529095;2512;140781338;12998;
21.01.2019;10801;10742;10825;10900;10698;10743;-0,76;1;507;18783037;1739;143384216;13348;
22.01.2019;10742;10680;10752;10829;10664;10680;-0,59;2;530;19496100;1815;144201360;13502;
23.01.2019;10717;10705;10663;10783;10604;10697;0,16;10;475;17307757;1615;150854860;14092;
24.01.2019;10672;10678;10706;10775;10609;10678;-0,18;1;439;13286104;1245;153336080;14360;
25.01.2019;10716;10651;10676;10806;10620;10676;-0,02;2;555;18527112;1729;156463190;14690;
28.01.2019;10709;10650;10682;10949;10631;10650;-0,24;3;732;23207156;2167;148674000;13960;
29.01.2019;10699;10715;10651;10745;10643;10715;0,61;1;212;6718891;628;150781480;14072;
30.01.2019;10896;11002;10690;11029;10690;10970;2,38;7;740;24069522;2209;147162752;13376;
31.01.2019;10938;10871;10951;11076;10833;10871;-0,90;1;804;22686400;2074;150258962;13822;
01.02.2019;10776;10651;10914;10961;10627;10627;-2,24;1;657;18168903;1686;159040732;14932;
04.02.2019;10547;10350;10687;10725;10320;10340;-2,70;1;1612;62407394;5917;177461100;17146;
05.02.2019;10266;10311;10327;10400;10102;10329;-0,11;2;1968;63907220;6225;190217328;18448;
06.02.2019;10329;10300;10330;10387;10272;10291;-0,37;2;568;21772968;2108;193928400;18828;
07.02.2019;10254;10238;10289;10335;10205;10253;-0,37;1;642;20497083;1999;187887776;18352;
08.02.2019;10269;10250;10210;10298;10201;10248;-0,05;1;289;7701556;750;183782500;17930;
11.02.2019;10297;10276;10247;10361;10247;10275;0,26;2;391;10544144;1024;177630936;17286;
12.02.2019;10301;10359;10266;10361;10250;10360;0,83;2;503;15338638;1489;179707932;17348;
13.02.2019;10181;10122;10351;10400;10058;10116;-2,36;1;1232;38353573;3767;174260352;17216;
14.02.2019;10129;10228;10126;10243;9951;10238;1,21;1;1161;29110207;2874;178826352;17484;
15.02.2019;10265;10263;10239;10517;10146;10252;0,14;2;573;21824372;2126;177611478;17306;
18.02.2019;10226;10162;10250;10316;10150;10162;-0,88;1;512;13426677;1313;175416444;17262;
19.02.2019;10097;10073;10149;10200;10034;10073;-0,88;13;552;16953678;1679;180024656;17872;
20.02.2019;10086;10093;10075;10198;10035;10101;0,28;2;816;25052407;2484;189485982;18774;
21.02.2019;10076;10062;10117;10119;10050;10056;-0,45;1;479;15053243;1494;190433412;18926;
22.02.2019;10063;10057;10053;10085;10039;10052;-0,04;1;206;4447946;442;190197984;18912;
25.02.2019;10050;10056;10044;10088;10002;10069;0,17;1;393;12481823;1242;194623824;19354;
26.02.2019;9962;9930;10048;10087;9884;9931;-1,37;1;647;21079440;2116;202432980;20386;
27.02.2019;9779;9794;9944;9968;9651;9800;-1,32;1;1394;40319209;4123;218621668;22322;
28.02.2019;9703;9714;9799;9815;9632;9715;-0,87;1;1065;33583095;3461;232844580;23970;
01.03.2019;9749;9735;9690;9817;9680;9724;0,09;2;1000;36488718;3743;249177060;25596;
04.03.2019;9837;9875;9739;9900;9690;9841;1,20;3;935;31862892;3239;255683500;25892;
05.03.2019;9623;9689;9840;9840;9457;9672;-1,72;1;3572;123255944;12809;281368560;29040;
06.03.2019;9840;9868;9683;9906;9660;9851;1,85;1;1471;54688730;5558;266554416;27012;
07.03.2019;9928;9983;9876;10018;9764;9980;1,31;1;1907;68703522;6920;236537202;23694;
11.03.2019;10116;10207;9965;10286;9908;10219;2,40;1;1768;69838667;6904;243477778;23854;
12.03.2019;10143;10057;10210;10264;10038;10055;-1,60;15;825;24251607;2391;227770936;22648;
13.03.2019;10013;10054;10095;10097;9957;10068;0,13;1;548;21777778;2175;216824564;21566;
14.03.2019;9986;9991;10073;10132;9890;9984;-0,83;2;797;23176978;2321;208991738;20918;
15.03.2019;9977;10038;9993;10043;9921;10030;0,46;1;327;11822422;1185;201462660;20070;
18.03.2019;9988;9980;10048;10050;9932;9978;-0,52;10;254;14782691;1480;190558120;19094;
19.03.2019;9994;9994;9989;10031;9946;9989;0,11;1;300;12702988;1271;183269972;18338;
20.03.2019;9892;9854;9999;10050;9830;9860;-1,29;3;467;30982158;3132;139808552;14188;
21.03.2019;9744;9737;9857;9876;9651;9737;-1,25;4;492;34288933;3519;114662912;11776;
