Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.12.2018;;10686;;;;;;;;;;;;
12.12.2018;;10547;;;;;;;;;;;;
13.12.2018;;10556;;;;;;;;;;;;
14.12.2018;10346;10204;10625;10625;10170;10179;;1;4;41383;4;40816;4;
17.12.2018;;10516;;;;;;;;;;42064;4;
18.12.2018;;10593;;;;;;;;;;42372;4;
19.12.2018;;10564;;;;;;;;;;42256;4;
20.12.2018;;10453;;;;;;;;;;41812;4;
21.12.2018;;10543;;;;;;;;;;42172;4;
24.12.2018;10599;10599;10599;10599;10599;10599;;1;1;10599;1;63594;6;
25.12.2018;10396;10396;10396;10396;10396;10396;-1,92;1;1;10396;1;83168;8;
26.12.2018;;10476;;;;;;;;;;83808;8;
27.12.2018;10506;10457;10552;10552;10415;10415;;1;3;31519;3;125484;12;
28.12.2018;;10424;;;;;;;;;;125088;12;
29.12.2018;10449;10449;10448;10449;10448;10449;;1;2;20897;2;146286;14;
03.01.2019;;10461;;;;;;;;;;146454;14;
04.01.2019;;10454;;;;;;;;;;146356;14;
08.01.2019;;10444;;;;;;;;;;146216;14;
09.01.2019;10545;10545;10545;10545;10545;10545;;1;1;10545;1;168720;16;
10.01.2019;10788;10788;10788;10788;10788;10788;2,30;1;1;10788;1;194184;18;
11.01.2019;;10820;;;;;;;;;;194760;18;
14.01.2019;10696;11038;10300;11049;10300;11049;;1;6;128352;12;331140;30;
15.01.2019;;11007;;;;;;;;;;330210;30;
16.01.2019;;11182;;;;;;;;;;335460;30;
17.01.2019;11262;11262;11262;11262;11262;11262;;1;1;11262;1;360384;32;
18.01.2019;;11031;;;;;;;;;;352992;32;
21.01.2019;11028;10980;11088;11088;10980;10980;;1;8;99256;9;351360;32;
22.01.2019;;10865;;;;;;;;;;347680;32;
23.01.2019;;10879;;;;;;;;;;348128;32;
24.01.2019;;10863;;;;;;;;;;347616;32;
25.01.2019;;10844;;;;;;;;;;347008;32;
28.01.2019;;10838;;;;;;;;;;346816;32;
29.01.2019;;10905;;;;;;;;;;348960;32;
30.01.2019;11185;11185;11185;11185;11185;11185;;2;1;22370;2;402660;36;
