Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
12.03.2019;;10434;;;;;;;;;;;;
13.03.2019;;10432;;;;;;;;;;;;
14.03.2019;;10367;;;;;;;;;;;;
15.03.2019;;10406;;;;;;;;;;;;
18.03.2019;;10340;;;;;;;;;;;;
19.03.2019;;10369;;;;;;;;;;;;
20.03.2019;;10208;;;;;;;;;;;;
21.03.2019;10405;10107;10399;10410;10399;10410;;1;2;20809;2;40428;4;
22.03.2019;10000;10114;10000;10000;10000;10000;-3,94;4;1;40000;4;121368;12;
25.03.2019;;9997;;;;;;;;;;119964;12;
26.03.2019;;9992;;;;;;;;;;119904;12;
27.03.2019;;9863;;;;;;;;;;118356;12;
28.03.2019;;9981;;;;;;;;;;119772;12;
29.03.2019;;9962;;;;;;;;;;119544;12;
01.04.2019;;9985;;;;;;;;;;119820;12;
02.04.2019;;10000;;;;;;;;;;120000;12;
03.04.2019;;10099;;;;;;;;;;121188;12;
04.04.2019;;9999;;;;;;;;;;119988;12;
05.04.2019;9999;10000;9996;10000;9996;10000;;2;4;49996;5;140000;14;
08.04.2019;9879;9878;9880;9880;9878;9878;-1,22;1;3;29636;3;79024;8;
09.04.2019;;9867;;;;;;;;;;78936;8;
10.04.2019;9800;9800;9800;9800;9800;9800;;12;11;294000;30;627200;64;
11.04.2019;9846;9850;9800;9850;9800;9850;0,51;10;4;128000;13;531900;54;
12.04.2019;;9923;;;;;;;;;;535842;54;
15.04.2019;10104;9999;10105;10106;10102;10102;;1;4;50521;5;639936;64;
16.04.2019;9999;9998;9998;9999;9998;9999;-1,02;1;4;119984;12;719856;72;
17.04.2019;9999;9970;9999;9999;9999;9999;;4;3;99990;10;717840;72;
18.04.2019;;10086;;;;;;;;;;726192;72;
19.04.2019;;9998;;;;;;;;;;719856;72;
22.04.2019;9733;9737;9716;9738;9716;9737;;3;3;48665;5;623168;64;
23.04.2019;;9735;;;;;;;;;;623040;64;
24.04.2019;9576;9576;9576;9576;9576;9576;;1;1;9576;1;593712;62;
25.04.2019;;9655;;;;;;;;;;598610;62;
26.04.2019;;9744;;;;;;;;;;604128;62;
29.04.2019;9596;9590;9590;9794;9520;9520;;9;7;249485;26;824740;86;
30.04.2019;9532;9539;9465;9539;9465;9539;0,20;10;2;104855;11;1011134;106;
02.05.2019;;9600;;;;;;;;;;1017600;106;
03.05.2019;9587;9580;9600;9600;9553;9580;;1;5;76693;8;1092120;114;
06.05.2019;9598;9397;10514;10514;9377;9397;-1,91;1;8;76781;8;1090052;116;
07.05.2019;9607;9555;9659;9659;9555;9555;1,68;1;2;19214;2;1108380;116;
08.05.2019;9555;9555;9555;9555;9555;9555;;2;1;19110;2;1146600;120;
10.05.2019;9413;9398;9419;9419;9401;9401;-1,61;1;3;28239;3;1165352;124;
13.05.2019;9250;9137;9685;9685;9137;9137;-2,81;3;13;240499;26;1114714;122;
14.05.2019;9247;9201;9298;9298;9201;9201;0,70;3;6;157199;17;1343346;146;
15.05.2019;9181;9141;9202;9202;9141;9141;-0,65;2;6;137708;15;1389432;152;
16.05.2019;9184;9200;9150;9200;9150;9200;0,64;5;3;91844;10;1582400;172;
17.05.2019;9125;9141;9150;9150;9118;9121;-0,86;1;4;45626;5;1553970;170;
20.05.2019;9204;9194;9184;9364;9155;9200;0,87;3;12;276131;30;1654920;180;
21.05.2019;9177;9162;9170;9185;9170;9185;-0,16;2;3;55064;6;1649160;180;
22.05.2019;9101;9102;9101;9101;9101;9101;-0,92;2;4;91010;10;1747584;192;
23.05.2019;;9121;;;;;;;;;;1751232;192;
24.05.2019;;9131;;;;;;;;;;1753152;192;
27.05.2019;;9182;;;;;;;;;;1762944;192;
28.05.2019;9159;9133;9292;9292;9133;9133;;10;11;293098;32;2100590;230;
29.05.2019;9106;9110;9130;9130;9095;9110;-0,25;1;13;491703;54;2714780;298;
30.05.2019;9148;9106;9200;9299;9061;9110;;1;17;210398;23;3004980;330;
31.05.2019;9264;9339;9061;9400;8929;9365;2,80;1;115;2121428;229;6032994;646;
03.06.2019;9550;9626;9372;9677;9311;9580;2,30;1;95;1614000;169;7585288;788;
04.06.2019;9704;9635;9687;9826;9620;9635;0,57;1;73;2095989;216;8170480;848;
05.06.2019;9582;9610;9630;9655;9501;9610;-0,26;10;147;3947970;412;13896060;1446;
06.06.2019;9634;9594;9622;9718;9573;9597;-0,14;10;128;3487553;362;19725264;2056;
07.06.2019;9596;9580;9628;9635;9524;9580;-0,18;10;39;1151461;120;20961040;2188;
10.06.2019;9534;9526;9590;9630;9500;9526;-0,56;1;57;1878234;197;23605428;2478;
11.06.2019;9534;9551;9511;9654;9493;9506;-0,21;3;43;1296627;136;24546070;2570;
13.06.2019;9681;9774;9573;9800;9565;9700;2,04;10;81;2729992;282;24923700;2550;
14.06.2019;9772;9713;9677;9812;9677;9722;0,23;8;96;1954460;200;26108544;2688;
17.06.2019;9969;9980;9748;10051;9748;9980;2,65;1;279;8911861;894;37005840;3708;
18.06.2019;9983;9900;9951;10150;9870;9870;-1,10;2;427;17270826;1730;48312000;4880;
19.06.2019;9908;9886;9871;10017;9800;9888;0,18;1;508;20836274;2103;76438552;7732;
20.06.2019;9839;9869;9829;9957;9700;9866;-0,22;1;722;33530689;3408;100545372;10188;
