Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
08.06.2020;9512;9543;9512;9512;9511;9511;;1;2;19023;2;19086;2;
09.06.2020;;9512;;;;;;;;;;19024;2;
10.06.2020;9219;8908;9511;9511;8724;9054;;1;8;101413;11;178160;20;
11.06.2020;8850;8850;8850;8850;8849;8850;-2,25;1;4;44249;5;230100;26;
15.06.2020;8445;8655;8741;8741;7976;8655;-2,20;1;23;320903;38;571230;66;
16.06.2020;8832;8872;8735;8931;8522;8872;2,51;1;23;203131;23;816224;92;
17.06.2020;8739;8436;8900;8900;8600;8614;-2,91;1;10;297126;34;894216;106;
18.06.2020;7996;7916;8056;8191;7838;7909;-8,18;1;39;1407234;176;2723104;344;
19.06.2020;8041;8010;7880;8110;7866;8010;1,28;1;24;209058;26;2755440;344;
22.06.2020;7975;7958;8010;8010;7952;7952;-0,72;1;12;103680;13;2753468;346;
23.06.2020;8087;8080;8068;8136;8068;8080;1,61;1;6;48524;6;2811840;348;
25.06.2020;7995;7950;8098;8098;7945;7950;-1,61;5;8;391757;49;2877900;362;
26.06.2020;7930;7937;8080;8080;7828;7937;-0,16;1;13;126885;16;2857320;360;
29.06.2020;7819;7967;7797;7967;7702;7967;0,38;1;47;695917;89;3027460;380;
30.06.2020;8039;8007;8134;8180;8007;8007;0,50;1;58;1840852;229;5700984;712;
02.07.2020;8128;8149;8000;8200;8000;8158;1,89;1;21;170692;21;5834684;716;
03.07.2020;8034;8013;8019;8096;7864;8013;-1,78;1;82;2594847;323;7163622;894;
06.07.2020;8166;8100;8180;8227;8100;8100;1,09;1;17;179641;22;7500600;926;
07.07.2020;8100;8076;8100;8100;8099;8100;;3;7;80999;10;7510680;930;
08.07.2020;8143;8098;8070;8263;8070;8098;-0,02;1;13;114001;14;7612120;940;
09.07.2020;8096;8100;7974;8157;7974;8100;0,02;7;29;453365;56;7646400;944;
10.07.2020;8120;8120;8158;8158;8049;8125;0,31;10;6;211108;26;7649040;942;
13.07.2020;8113;8100;8113;8212;8082;8100;-0,31;1;21;308284;38;7614000;940;
14.07.2020;8048;8150;8054;8170;8000;8170;0,86;1;8;112675;14;7677300;942;
15.07.2020;8212;8200;8200;8249;8199;8199;0,36;2;4;65696;8;7740800;944;
16.07.2020;8238;8295;8175;8300;8175;8300;1,23;1;3;24715;3;7830480;944;
17.07.2020;8368;8357;8316;8377;8316;8377;0,93;3;6;100415;12;8006006;958;
20.07.2020;8427;8504;8388;8461;8388;8450;0,87;1;7;202239;24;8129824;956;
21.07.2020;8803;8849;8534;8878;8534;8872;4,99;1;22;272907;31;8565832;968;
22.07.2020;8771;8676;8789;8800;8672;8676;-2,21;1;13;263124;30;8294256;956;
23.07.2020;8685;8684;8680;8710;8680;8684;0,09;1;4;60798;7;8232432;948;
24.07.2020;8752;8795;8675;8934;8553;8782;1,13;8;18;306328;35;8460790;962;
27.07.2020;8853;8800;8876;9020;8600;8800;0,20;5;42;947314;107;8782400;998;
28.07.2020;8619;8496;8856;8881;8400;8528;-3,09;20;53;1999620;232;9719424;1144;
29.07.2020;8434;8450;8468;8519;8302;8450;-0,92;1;33;657825;78;9903400;1172;
30.07.2020;8357;8298;8493;8493;8294;8298;-1,80;1;44;752101;90;10106964;1218;
31.07.2020;8358;8340;8351;8400;8328;8340;0,51;8;57;1061528;127;9657720;1158;
03.08.2020;8397;8430;8318;8450;8318;8430;1,08;1;19;730572;87;9964260;1182;
04.08.2020;8203;8140;8355;8355;8127;8127;-3,59;1;57;1968804;240;12796080;1572;
05.08.2020;8115;8154;8190;8238;8100;8125;-0,02;1;34;1282131;158;14399964;1766;
06.08.2020;8096;8208;8226;8289;7702;8208;1,02;8;111;3327366;411;16202592;1974;
07.08.2020;8148;8138;8201;8201;8109;8138;-0,85;8;33;1409520;173;18359328;2256;
10.08.2020;8205;8209;8139;8236;8135;8204;0,81;1;19;557959;68;19028462;2318;
11.08.2020;8231;8254;8216;8298;8184;8254;0,61;1;36;1300562;158;20436904;2476;
