<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.HYDR-9.20;60;20200312;190000;5000.0000000;5000.0000000;5000.0000000;5000.0000000;2
SPFB.HYDR-9.20;60;20200318;130000;4900.0000000;4900.0000000;4900.0000000;4900.0000000;1
SPFB.HYDR-9.20;60;20200323;190000;5700.0000000;5700.0000000;5700.0000000;5700.0000000;1
SPFB.HYDR-9.20;60;20200330;190000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;1
SPFB.HYDR-9.20;60;20200331;200000;6289.0000000;6289.0000000;6289.0000000;6289.0000000;40
SPFB.HYDR-9.20;60;20200331;210000;6216.0000000;6216.0000000;6216.0000000;6216.0000000;4
SPFB.HYDR-9.20;60;20200401;110000;5920.0000000;5920.0000000;5919.0000000;5919.0000000;20
SPFB.HYDR-9.20;60;20200402;140000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;1
SPFB.HYDR-9.20;60;20200406;180000;6350.0000000;6350.0000000;6350.0000000;6350.0000000;1
SPFB.HYDR-9.20;60;20200406;210000;6500.0000000;6500.0000000;6500.0000000;6500.0000000;1
SPFB.HYDR-9.20;60;20200407;190000;6200.0000000;6200.0000000;6200.0000000;6200.0000000;1
SPFB.HYDR-9.20;60;20200407;200000;5924.0000000;5924.0000000;5924.0000000;5924.0000000;1
SPFB.HYDR-9.20;60;20200407;210000;6400.0000000;6400.0000000;6200.0000000;6400.0000000;3
SPFB.HYDR-9.20;60;20200408;110000;6201.0000000;6201.0000000;6201.0000000;6201.0000000;1
SPFB.HYDR-9.20;60;20200408;170000;6249.0000000;6249.0000000;6249.0000000;6249.0000000;1
SPFB.HYDR-9.20;60;20200409;110000;6500.0000000;6500.0000000;6500.0000000;6500.0000000;1
SPFB.HYDR-9.20;60;20200409;160000;6300.0000000;6300.0000000;6300.0000000;6300.0000000;1
SPFB.HYDR-9.20;60;20200409;170000;6019.0000000;6019.0000000;6019.0000000;6019.0000000;1
SPFB.HYDR-9.20;60;20200414;150000;6051.0000000;6051.0000000;6051.0000000;6051.0000000;1
SPFB.HYDR-9.20;60;20200415;160000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;1
SPFB.HYDR-9.20;60;20200415;200000;5512.0000000;5512.0000000;5512.0000000;5512.0000000;1
SPFB.HYDR-9.20;60;20200416;120000;6219.0000000;6219.0000000;6219.0000000;6219.0000000;1
SPFB.HYDR-9.20;60;20200507;110000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;2
SPFB.HYDR-9.20;60;20200508;150000;6369.0000000;6369.0000000;6369.0000000;6369.0000000;3
