<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
HYDR;60;20190103;110000;0.4846000;0.4879000;0.4834000;0.4870000;41922000
HYDR;60;20190103;120000;0.4869000;0.4878000;0.4845000;0.4852000;34257000
HYDR;60;20190103;130000;0.4852000;0.4874000;0.4852000;0.4861000;23857000
HYDR;60;20190103;140000;0.4862000;0.4871000;0.4855000;0.4856000;13348000
HYDR;60;20190103;150000;0.4857000;0.4870000;0.4856000;0.4864000;11574000
HYDR;60;20190103;160000;0.4861000;0.4876000;0.4861000;0.4871000;16745000
HYDR;60;20190103;170000;0.4871000;0.4894000;0.4869000;0.4881000;54363000
HYDR;60;20190103;180000;0.4882000;0.4884000;0.4879000;0.4881000;15642000
HYDR;60;20190103;190000;0.4881000;0.4884000;0.4871000;0.4881000;35067000
HYDR;60;20190104;110000;0.4885000;0.4931000;0.4881000;0.4928000;77054000
HYDR;60;20190104;120000;0.4927000;0.4949000;0.4924000;0.4945000;28913000
HYDR;60;20190104;130000;0.4945000;0.4948000;0.4916000;0.4926000;25948000
HYDR;60;20190104;140000;0.4925000;0.4927000;0.4917000;0.4927000;8389000
HYDR;60;20190104;150000;0.4927000;0.4935000;0.4920000;0.4925000;9546000
HYDR;60;20190104;160000;0.4924000;0.4933000;0.4920000;0.4923000;23667000
HYDR;60;20190104;170000;0.4921000;0.4930000;0.4920000;0.4927000;10687000
HYDR;60;20190104;180000;0.4928000;0.4936000;0.4924000;0.4933000;7390000
HYDR;60;20190104;190000;0.4932000;0.4942000;0.4920000;0.4921000;22067000
HYDR;60;20190108;110000;0.4940000;0.4940000;0.4880000;0.4904000;72689000
HYDR;60;20190108;120000;0.4904000;0.4920000;0.4881000;0.4882000;49975000
HYDR;60;20190108;130000;0.4881000;0.4889000;0.4864000;0.4883000;51984000
HYDR;60;20190108;140000;0.4882000;0.4902000;0.4882000;0.4896000;13010000
HYDR;60;20190108;150000;0.4899000;0.4900000;0.4882000;0.4885000;11024000
HYDR;60;20190108;160000;0.4883000;0.4887000;0.4875000;0.4884000;25496000
HYDR;60;20190108;170000;0.4884000;0.4895000;0.4882000;0.4888000;15519000
HYDR;60;20190108;180000;0.4890000;0.4891000;0.4868000;0.4873000;48599000
HYDR;60;20190108;190000;0.4873000;0.4882000;0.4868000;0.4870000;32879000
HYDR;60;20190109;110000;0.4893000;0.4908000;0.4865000;0.4871000;65285000
HYDR;60;20190109;120000;0.4871000;0.4907000;0.4868000;0.4900000;98552000
HYDR;60;20190109;130000;0.4900000;0.4918000;0.4900000;0.4915000;54029000
HYDR;60;20190109;140000;0.4915000;0.4930000;0.4903000;0.4910000;65940000
HYDR;60;20190109;150000;0.4910000;0.4918000;0.4907000;0.4911000;58092000
HYDR;60;20190109;160000;0.4912000;0.4950000;0.4908000;0.4947000;124172000
HYDR;60;20190109;170000;0.4947000;0.4949000;0.4933000;0.4934000;53323000
HYDR;60;20190109;180000;0.4934000;0.4950000;0.4929000;0.4938000;95848000
HYDR;60;20190109;190000;0.4939000;0.4950000;0.4934000;0.4948000;99446000
HYDR;60;20190110;110000;0.4943000;0.4949000;0.4929000;0.4943000;72866000
HYDR;60;20190110;120000;0.4943000;0.4947000;0.4939000;0.4947000;36636000
HYDR;60;20190110;130000;0.4947000;0.4972000;0.4940000;0.4953000;67437000
HYDR;60;20190110;140000;0.4953000;0.4979000;0.4953000;0.4972000;73306000
HYDR;60;20190110;150000;0.4973000;0.4978000;0.4968000;0.4971000;17856000
HYDR;60;20190110;160000;0.4972000;0.4984000;0.4967000;0.4972000;39995000
HYDR;60;20190110;170000;0.4973000;0.4977000;0.4971000;0.4973000;9505000
HYDR;60;20190110;180000;0.4974000;0.5018000;0.4969000;0.5000000;132752000
HYDR;60;20190110;190000;0.5000000;0.5005000;0.4985000;0.4992000;39369000
HYDR;60;20190111;110000;0.4989000;0.5125000;0.4983000;0.5094000;257909000
HYDR;60;20190111;120000;0.5095000;0.5144000;0.5076000;0.5090000;147421000
HYDR;60;20190111;130000;0.5090000;0.5095000;0.5074000;0.5083000;61255000
HYDR;60;20190111;140000;0.5082000;0.5094000;0.5066000;0.5087000;85232000
HYDR;60;20190111;150000;0.5086000;0.5095000;0.5069000;0.5071000;75962000
HYDR;60;20190111;160000;0.5071000;0.5075000;0.5059000;0.5068000;81359000
HYDR;60;20190111;170000;0.5068000;0.5075000;0.5052000;0.5058000;77804000
HYDR;60;20190111;180000;0.5057000;0.5070000;0.5048000;0.5055000;95094000
HYDR;60;20190111;190000;0.5053000;0.5071000;0.5051000;0.5070000;56855000
HYDR;60;20190114;110000;0.5075000;0.5098000;0.5065000;0.5072000;87302000
HYDR;60;20190114;120000;0.5072000;0.5112000;0.5070000;0.5099000;91342000
HYDR;60;20190114;130000;0.5098000;0.5121000;0.5095000;0.5100000;68346000
HYDR;60;20190114;140000;0.5099000;0.5102000;0.5090000;0.5100000;13614000
HYDR;60;20190114;150000;0.5100000;0.5105000;0.5096000;0.5098000;33648000
HYDR;60;20190114;160000;0.5098000;0.5110000;0.5096000;0.5096000;27470000
HYDR;60;20190114;170000;0.5097000;0.5100000;0.5090000;0.5095000;25444000
HYDR;60;20190114;180000;0.5095000;0.5104000;0.5087000;0.5088000;38827000
HYDR;60;20190114;190000;0.5088000;0.5098000;0.5086000;0.5086000;30702000
HYDR;60;20190115;110000;0.5109000;0.5117000;0.5082000;0.5098000;55618000
HYDR;60;20190115;120000;0.5097000;0.5114000;0.5095000;0.5107000;36951000
HYDR;60;20190115;130000;0.5107000;0.5110000;0.5095000;0.5101000;34326000
HYDR;60;20190115;140000;0.5102000;0.5108000;0.5092000;0.5095000;52793000
HYDR;60;20190115;150000;0.5098000;0.5106000;0.5090000;0.5099000;51235000
HYDR;60;20190115;160000;0.5099000;0.5099000;0.5082000;0.5087000;36926000
HYDR;60;20190115;170000;0.5086000;0.5086000;0.5060000;0.5074000;63344000
HYDR;60;20190115;180000;0.5073000;0.5095000;0.5063000;0.5084000;51095000
HYDR;60;20190115;190000;0.5083000;0.5106000;0.5076000;0.5099000;96977000
HYDR;60;20190116;110000;0.5090000;0.5150000;0.5085000;0.5122000;95178000
HYDR;60;20190116;120000;0.5122000;0.5135000;0.5110000;0.5130000;27656000
HYDR;60;20190116;130000;0.5127000;0.5131000;0.5086000;0.5091000;58111000
HYDR;60;20190116;140000;0.5095000;0.5125000;0.5091000;0.5104000;42762000
HYDR;60;20190116;150000;0.5106000;0.5110000;0.5101000;0.5107000;5255000
HYDR;60;20190116;160000;0.5109000;0.5119000;0.5107000;0.5114000;12165000
HYDR;60;20190116;170000;0.5115000;0.5120000;0.5100000;0.5118000;39181000
HYDR;60;20190116;180000;0.5118000;0.5166000;0.5116000;0.5155000;120823000
HYDR;60;20190116;190000;0.5155000;0.5185000;0.5135000;0.5135000;181986000
HYDR;60;20190117;110000;0.5135000;0.5158000;0.5111000;0.5122000;75173000
HYDR;60;20190117;120000;0.5122000;0.5123000;0.5113000;0.5120000;64752000
HYDR;60;20190117;130000;0.5121000;0.5158000;0.5111000;0.5124000;81442000
HYDR;60;20190117;140000;0.5124000;0.5136000;0.5110000;0.5117000;29893000
HYDR;60;20190117;150000;0.5117000;0.5168000;0.5117000;0.5118000;71880000
HYDR;60;20190117;160000;0.5118000;0.5154000;0.5115000;0.5150000;68412000
HYDR;60;20190117;170000;0.5150000;0.5161000;0.5128000;0.5132000;87176000
HYDR;60;20190117;180000;0.5130000;0.5144000;0.5123000;0.5140000;29408000
HYDR;60;20190117;190000;0.5138000;0.5150000;0.5135000;0.5149000;28381000
HYDR;60;20190118;110000;0.5160000;0.5170000;0.5135000;0.5146000;92131000
HYDR;60;20190118;120000;0.5146000;0.5189000;0.5146000;0.5169000;106559000
HYDR;60;20190118;130000;0.5169000;0.5173000;0.5151000;0.5161000;36977000
HYDR;60;20190118;140000;0.5161000;0.5165000;0.5142000;0.5148000;32969000
HYDR;60;20190118;150000;0.5148000;0.5150000;0.5142000;0.5150000;20235000
HYDR;60;20190118;160000;0.5150000;0.5162000;0.5145000;0.5157000;35848000
HYDR;60;20190118;170000;0.5156000;0.5156000;0.5145000;0.5148000;30269000
HYDR;60;20190118;180000;0.5148000;0.5162000;0.5145000;0.5153000;41520000
HYDR;60;20190118;190000;0.5153000;0.5159000;0.5149000;0.5149000;85020000
HYDR;60;20190121;110000;0.5160000;0.5160000;0.5085000;0.5126000;132914000
