Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
09.09.2019;;5682;;;;;;;;;;;;
10.09.2019;;5697;;;;;;;;;;;;
11.09.2019;;5643;;;;;;;;;;;;
12.09.2019;;5581;;;;;;;;;;;;
13.09.2019;5790;5617;5790;5790;5790;5790;;5;1;28950;5;56170;10;
16.09.2019;;5602;;;;;;;;;;56020;10;
17.09.2019;5485;5485;5485;5485;5485;5485;;1;2;27425;5;54850;10;
18.09.2019;;5720;;;;;;;;;;57200;10;
19.09.2019;5735;5666;5735;5735;5735;5735;;1;1;5735;1;67992;12;
20.09.2019;;5598;;;;;;;;;;67176;12;
23.09.2019;5601;5594;5625;5625;5596;5596;;5;2;33605;6;134256;24;
24.09.2019;5560;5544;5560;5560;5560;5560;-0,64;1;1;5560;1;133056;24;
25.09.2019;5456;5440;5500;5500;5440;5440;-2,16;2;6;43648;8;152320;28;
26.09.2019;;5469;;;;;;;;;;153132;28;
27.09.2019;;5449;;;;;;;;;;152572;28;
30.09.2019;5366;5373;5382;5382;5322;5373;;1;24;139512;26;225666;42;
01.10.2019;;5350;;;;;;;;;;224700;42;
02.10.2019;5320;5320;5320;5320;5320;5320;;1;16;85120;16;393680;74;
03.10.2019;5260;5236;5260;5260;5260;5260;-1,13;1;32;168320;32;722568;138;
04.10.2019;5205;5186;5241;5241;5185;5186;-1,41;1;5;31231;6;715668;138;
07.10.2019;5204;5197;5204;5204;5204;5204;0,35;1;1;5204;1;717186;138;
08.10.2019;5213;5218;5200;5291;5200;5218;0,27;1;14;72976;14;834880;160;
09.10.2019;5233;5227;5239;5239;5227;5227;0,17;1;2;10466;2;846774;162;
10.10.2019;5200;5204;5201;5201;5200;5200;-0,52;1;3;15601;3;874272;168;
11.10.2019;;5204;;;;;;;;;;874272;168;
14.10.2019;5193;5147;5210;5210;5147;5147;;8;45;316786;61;1492630;290;
15.10.2019;;5173;;;;;;;;;;1500170;290;
16.10.2019;5230;5230;5230;5230;5230;5230;;1;2;10460;2;1495780;286;
