Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
03.12.2020;8075;8047;7300;8850;7300;8850;;120;2;1938000;240;;;
04.12.2020;;7996;;;;;;;;;;;;
07.12.2020;7900;7900;7900;7900;7900;7900;;1;1;7900;1;15800;2;
08.12.2020;;7949;;;;;;;;;;15898;2;
09.12.2020;7879;7879;7879;7879;7879;7879;;1;1;7879;1;31516;4;
10.12.2020;7851;8007;7851;7851;7851;7851;-0,36;1;1;7851;1;32028;4;
11.12.2020;7851;8009;7851;7851;7851;7851;;1;1;7851;1;32036;4;
14.12.2020;;7956;;;;;;;;;;31824;4;
15.12.2020;;7851;;;;;;;;;;31404;4;
16.12.2020;;7983;;;;;;;;;;31932;4;
17.12.2020;;7889;;;;;;;;;;31556;4;
18.12.2020;;7837;;;;;;;;;;31348;4;
21.12.2020;7771;7794;7800;7800;7741;7794;;1;6;62169;8;93528;12;
22.12.2020;;7931;;;;;;;;;;95172;12;
23.12.2020;7972;7972;7972;7972;7972;7972;;1;1;7972;1;95664;12;
24.12.2020;7874;7900;7874;7874;7874;7874;-1,23;10;1;78740;10;252800;32;
25.12.2020;;8002;;;;;;;;;;256064;32;
28.12.2020;8005;8005;8005;8005;8005;8005;;1;2;16010;2;272170;34;
29.12.2020;;8008;;;;;;;;;;272272;34;
30.12.2020;;7990;;;;;;;;;;271660;34;
04.01.2021;;8000;;;;;;;;;;272000;34;
05.01.2021;8057;8057;8057;8057;8057;8057;;3;1;24171;3;273938;34;
06.01.2021;8050;8050;8050;8050;8050;8050;-0,09;5;1;40250;5;354200;44;
08.01.2021;8087;8095;8015;8095;8015;8095;0,56;47;3;420540;52;1198060;148;
11.01.2021;8368;8379;8196;8384;8196;8379;3,51;1;5;100415;12;1256850;150;
12.01.2021;8330;8313;8333;8350;8328;8328;-0,61;3;16;583095;70;1413210;170;
13.01.2021;8289;8153;8292;8300;8265;8265;-0,76;1;3;58025;7;1418622;174;
14.01.2021;8195;8245;8160;8245;8120;8245;-0,24;5;5;131125;16;1517080;184;
15.01.2021;8139;8130;8217;8217;8102;8102;-1,73;1;5;105807;13;1626000;200;
18.01.2021;8135;8194;8089;8194;8070;8194;1,14;3;14;414901;51;1704352;208;
19.01.2021;8225;8203;8222;8230;8222;8230;0,44;1;2;24674;3;1706224;208;
20.01.2021;8203;8208;8192;8238;8192;8208;-0,27;1;7;147651;18;1608768;196;
21.01.2021;8104;8064;8200;8200;8075;8075;-1,62;5;10;275552;34;1709568;212;
22.01.2021;7983;8005;8065;8065;7916;8020;-0,68;10;14;670541;84;1745090;218;
25.01.2021;8045;8002;8000;8067;8000;8002;-0,22;1;5;72403;9;1872468;234;
26.01.2021;7928;8033;7937;7937;7922;7922;-1,00;5;4;118925;15;2120712;264;
27.01.2021;8100;8017;8087;8145;8017;8017;1,20;1;13;566981;70;1763740;220;
28.01.2021;7948;8003;7957;7957;7942;7942;-0,94;3;2;39740;5;1728648;216;
29.01.2021;7984;7975;7994;7995;7976;7976;0,43;1;17;1293446;162;1914000;240;
01.02.2021;7899;7922;7908;7908;7884;7884;-1,15;3;4;86885;11;1996344;252;
02.02.2021;;8001;;;;;;;;;;2016252;252;
03.02.2021;8020;7992;8020;8020;8020;8020;;5;9;320800;40;2013984;252;
04.02.2021;8003;8059;8003;8003;8003;8003;-0,21;2;1;16006;2;2063104;256;
05.02.2021;;8038;;;;;;;;;;2057728;256;
