Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
12.03.2019;;5207;;;;;;;;;;;;
13.03.2019;5292;5145;5386;5386;5145;5145;;1;5;63499;12;102900;20;
14.03.2019;5100;5100;5100;5100;5100;5100;-0,88;1;1;5100;1;112200;22;
15.03.2019;5128;5129;5100;5129;5100;5129;0,57;2;16;107680;21;328256;64;
18.03.2019;;5149;;;;;;;;;;329536;64;
19.03.2019;;5199;;;;;;;;;;332736;64;
20.03.2019;5115;5101;5111;5150;5100;5100;;4;4;40921;8;397878;78;
21.03.2019;5112;5100;5168;5169;5100;5100;;3;12;235150;46;826200;162;
22.03.2019;5060;5013;5090;5129;5013;5024;-1,49;1;20;232767;46;1263276;252;
25.03.2019;5028;5027;5024;5050;5000;5027;0,06;5;9;90508;18;1427668;284;
26.03.2019;5037;5029;5015;5095;4981;5034;0,14;10;9;287082;57;1991484;396;
27.03.2019;4999;4970;5024;5024;4970;4970;-1,27;1;9;89982;18;2137100;430;
28.03.2019;4992;4980;5001;5001;4980;4980;0,20;1;4;29954;6;2201160;442;
29.03.2019;4997;4960;5010;5010;4960;4960;-0,40;1;6;44972;9;2281600;460;
01.04.2019;4952;4952;4952;4952;4952;4952;-0,16;1;2;9904;2;2277920;460;
02.04.2019;5132;5031;5099;5143;5099;5143;3,86;4;4;41055;8;2274012;452;
03.04.2019;5051;5049;5047;5054;5047;5054;-1,73;2;3;20202;4;2322540;460;
04.04.2019;5016;5020;5003;5023;4988;5023;-0,61;20;6;140442;28;2590320;516;
05.04.2019;5023;5015;5023;5023;5023;5023;;1;1;5023;1;2597770;518;
08.04.2019;4979;4979;4950;5014;4950;4979;-0,88;20;4;124487;25;2808156;564;
09.04.2019;4941;4941;4941;4941;4941;4941;-0,76;1;1;4941;1;2786724;564;
10.04.2019;5006;5050;4940;5050;4940;5050;2,21;1;12;125162;25;2979500;590;
11.04.2019;5004;5004;5004;5004;5004;5004;-0,91;1;1;5004;1;2952360;590;
12.04.2019;5099;5098;5099;5099;5098;5098;1,88;1;3;56086;11;3119976;612;
15.04.2019;5151;5202;5100;5222;5100;5222;2,43;1;11;82414;16;3152412;606;
16.04.2019;5218;5173;5197;5250;5173;5173;-0,94;1;5;31310;6;3072762;594;
17.04.2019;5222;5213;5280;5280;5174;5213;0,77;1;3;15667;3;3106948;596;
18.04.2019;5188;5170;5235;5235;5170;5170;-0,82;1;10;202333;39;2864180;554;
19.04.2019;5162;5161;5162;5162;5161;5161;-0,17;3;2;30969;6;2828228;548;
22.04.2019;5278;5312;5161;5342;5161;5307;2,83;1;11;126677;24;2698496;508;
23.04.2019;5350;5350;5350;5350;5350;5350;0,81;2;2;16050;3;2717800;508;
24.04.2019;5383;5380;5300;5400;5300;5380;0,56;1;12;64590;12;2840640;528;
25.04.2019;5309;5300;5330;5330;5300;5301;-1,47;1;6;53086;10;2904400;548;
26.04.2019;5271;5276;5256;5280;5256;5276;-0,47;1;3;15812;3;2880696;546;
29.04.2019;5253;5250;5251;5256;5250;5250;-0,49;1;4;162830;31;2961000;564;
30.04.2019;5264;5236;5230;5324;5230;5236;-0,27;1;7;263210;50;3005464;574;
02.05.2019;5338;5338;5338;5338;5338;5338;1,95;20;4;160140;30;3277532;614;
03.05.2019;5373;5300;5299;5385;5290;5385;0,88;98;9;617918;115;4324800;816;
06.05.2019;;5270;;;;;;;;;;4300320;816;
07.05.2019;5288;5280;5300;5300;5280;5280;;1;9;132188;25;4297920;814;
08.05.2019;4954;5206;5256;5256;4831;5206;-1,40;1;22;535049;108;3540080;680;
10.05.2019;5238;5246;5242;5271;5220;5271;1,25;4;12;225235;43;3798104;724;
13.05.2019;5233;5200;5250;5250;5200;5200;-1,35;10;12;308749;59;4180800;804;
14.05.2019;5193;5101;5213;5239;5101;5239;0,75;22;18;353109;68;4672516;916;
15.05.2019;5191;5175;5170;5205;5169;5175;-1,22;3;10;337404;65;5288850;1022;
16.05.2019;5205;5209;5205;5205;5205;5205;0,58;1;2;10410;2;5313180;1020;
17.05.2019;5249;5245;5250;5256;5245;5245;0,77;3;4;36746;7;5307940;1012;
20.05.2019;5346;5373;5290;5380;5290;5375;2,48;10;14;256600;48;5641650;1050;
21.05.2019;5486;5410;5392;5880;5375;5410;0,65;30;51;5453416;994;15678180;2898;
22.05.2019;5404;5425;5410;5410;5400;5400;-0,18;2;3;37830;7;15765050;2906;
23.05.2019;5416;5400;5424;5425;5400;5400;;3;11;205804;38;16059600;2974;
24.05.2019;5451;5400;5461;5480;5400;5400;;2;29;348845;64;16621200;3078;
27.05.2019;5443;5423;5440;5448;5440;5448;0,89;3;5;97975;18;16800454;3098;
28.05.2019;5402;5413;5395;5413;5395;5413;-0,64;2;3;43213;8;16845256;3112;
29.05.2019;5277;5231;5380;5380;5215;5241;-3,18;29;120;6364197;1206;27169814;5194;
30.05.2019;5211;5195;5241;5253;5195;5195;-0,88;1;22;943255;181;28707570;5526;
31.05.2019;5215;5216;5199;5216;5199;5216;0,40;3;8;312899;60;29428672;5642;
03.06.2019;5214;5220;5200;5400;5159;5205;-0,21;1;34;875923;168;29847960;5718;
04.06.2019;5225;5228;5221;5243;5205;5228;0,44;10;21;198535;38;30249208;5786;
05.06.2019;5269;5255;5231;5280;5216;5255;0,52;1;98;5163241;980;40484520;7704;
06.06.2019;5396;5400;5288;5487;5281;5400;2,76;5;81;2487786;461;44679600;8274;
07.06.2019;5478;5520;5483;5561;5438;5515;2,13;1;208;7838523;1431;44447040;8052;
10.06.2019;5686;5730;5480;5800;5480;5792;5,02;1;156;6584961;1158;49484280;8636;
11.06.2019;5704;5604;5870;5880;5551;5605;-3,23;2;279;8954706;1570;54033768;9642;
13.06.2019;5691;5695;5605;5705;5600;5683;1,39;2;99;3044683;535;59034370;10366;
14.06.2019;5824;5816;5699;5912;5699;5816;2,34;3;283;8648775;1485;60032752;10322;
17.06.2019;5903;5925;5830;5970;5816;5928;1,93;2;361;12242899;2074;63753000;10760;
18.06.2019;5903;5925;5925;5980;5833;5932;0,07;1;506;17179145;2910;80568150;13598;
