Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.06.2019;;5716;;;;;;;;;;;;
13.06.2019;;5812;;;;;;;;;;;;
14.06.2019;;5942;;;;;;;;;;;;
17.06.2019;;6037;;;;;;;;;;;;
18.06.2019;;6049;;;;;;;;;;;;
19.06.2019;;6035;;;;;;;;;;;;
20.06.2019;;6059;;;;;;;;;;;;
21.06.2019;5917;5844;5933;5933;5900;5900;;1;20;118330;20;233760;40;
24.06.2019;5876;5914;5863;5914;5862;5914;0,24;2;19;117517;20;236560;40;
25.06.2019;5850;5870;5850;5850;5850;5850;-1,08;1;5;29250;5;293500;50;
26.06.2019;5951;5994;5934;5994;5934;5994;2,46;1;4;41658;7;359640;60;
27.06.2019;5958;5970;5944;5970;5944;5970;-0,40;1;3;101294;17;561180;94;
28.06.2019;5954;5942;5965;5965;5942;5942;-0,47;1;2;11907;2;582316;98;
01.07.2019;5939;5938;5934;5951;5934;5951;0,15;1;7;41576;7;653180;110;
02.07.2019;5987;5987;5987;5987;5987;5987;0,60;1;1;5987;1;658570;110;
03.07.2019;;5997;;;;;;;;;;659670;110;
04.07.2019;;6084;;;;;;;;;;669240;110;
05.07.2019;6089;6085;6091;6091;6088;6088;;2;2;18267;3;645010;106;
08.07.2019;6138;6141;6124;6158;6124;6154;1,08;4;6;128907;21;896586;146;
09.07.2019;;6027;;;;;;;;;;879942;146;
10.07.2019;6045;6045;6045;6045;6045;6045;;4;2;36270;6;955110;158;
11.07.2019;5933;5880;5985;5985;5902;5902;-2,37;1;5;35600;6;964320;164;
12.07.2019;5951;5997;5900;5997;5900;5997;1,61;2;4;29753;5;1031484;172;
15.07.2019;6096;6065;6000;6160;6000;6065;1,13;3;10;140214;23;1031050;170;
16.07.2019;6059;5959;6059;6059;6059;6059;-0,10;10;1;60590;10;1013030;170;
17.07.2019;6005;5994;5987;6023;5987;6023;-0,59;2;2;24020;4;1018980;170;
18.07.2019;5923;5923;5923;5923;5923;5923;-1,66;2;2;23692;4;1006910;170;
19.07.2019;5763;5783;5764;5764;5763;5763;-2,70;2;2;17290;3;948412;164;
22.07.2019;5764;5730;5764;5764;5764;5764;0,02;5;1;28820;5;997020;174;
23.07.2019;5774;5763;5777;5790;5771;5771;0,12;7;4;80838;14;1071918;186;
24.07.2019;5877;5888;5809;5917;5809;5917;2,53;5;4;76395;13;1142272;194;
25.07.2019;;5969;;;;;;;;;;1157986;194;
26.07.2019;5914;5893;5929;5929;5910;5910;;2;3;29569;5;1202172;204;
29.07.2019;;5862;;;;;;;;;;1195848;204;
30.07.2019;;5867;;;;;;;;;;1196868;204;
31.07.2019;;5849;;;;;;;;;;1193196;204;
01.08.2019;5789;5789;5789;5789;5789;5789;;1;1;5789;1;1192534;206;
02.08.2019;5752;5751;5752;5752;5751;5751;-0,66;1;2;34511;6;1184706;206;
05.08.2019;;5721;;;;;;;;;;1178526;206;
06.08.2019;5705;5687;5720;5720;5690;5690;;5;3;62756;11;1239766;218;
07.08.2019;5611;5611;5611;5611;5611;5611;-1,39;1;2;11222;2;1200754;214;
08.08.2019;5673;5673;5673;5673;5673;5673;1,10;1;1;5673;1;1214022;214;
09.08.2019;5620;5639;5600;5639;5600;5639;-0,60;1;2;11239;2;1195468;212;
12.08.2019;5661;5645;5662;5662;5660;5660;0,37;2;2;22644;4;1241900;220;
13.08.2019;5547;5605;5546;5605;5509;5605;-0,97;9;5;160852;29;1098580;196;
