<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.MGNT-3.21;60;20200717;210000;4848.0000000;4848.0000000;4848.0000000;4848.0000000;1
SPFB.MGNT-3.21;60;20200718;000000;3988.0000000;3988.0000000;3988.0000000;3988.0000000;1
SPFB.MGNT-3.21;60;20200729;140000;5352.0000000;5352.0000000;5345.0000000;5345.0000000;2
SPFB.MGNT-3.21;60;20200729;150000;5286.0000000;5286.0000000;5286.0000000;5286.0000000;1
SPFB.MGNT-3.21;60;20200729;160000;4845.0000000;4845.0000000;4845.0000000;4845.0000000;1
SPFB.MGNT-3.21;60;20200731;120000;4701.0000000;4701.0000000;4700.0000000;4700.0000000;30
SPFB.MGNT-3.21;60;20200803;220000;4352.0000000;4352.0000000;4352.0000000;4352.0000000;3
SPFB.MGNT-3.21;60;20200817;140000;4550.0000000;4885.0000000;4550.0000000;4885.0000000;32
SPFB.MGNT-3.21;60;20200817;160000;4548.0000000;4548.0000000;4450.0000000;4450.0000000;17
SPFB.MGNT-3.21;60;20200817;220000;4700.0000000;4701.0000000;4699.0000000;4699.0000000;15
SPFB.MGNT-3.21;60;20200818;170000;4699.0000000;4699.0000000;4699.0000000;4699.0000000;1
SPFB.MGNT-3.21;60;20200818;200000;4850.0000000;4850.0000000;4850.0000000;4850.0000000;2
SPFB.MGNT-3.21;60;20200821;230000;4405.0000000;4405.0000000;4405.0000000;4405.0000000;1
SPFB.MGNT-3.21;60;20200824;230000;4460.0000000;4460.0000000;4460.0000000;4460.0000000;1
SPFB.MGNT-3.21;60;20200825;170000;4848.0000000;4848.0000000;4436.0000000;4436.0000000;10
SPFB.MGNT-3.21;60;20200903;180000;4370.0000000;4370.0000000;4370.0000000;4370.0000000;8
SPFB.MGNT-3.21;60;20200903;200000;4700.0000000;4701.0000000;4700.0000000;4700.0000000;8
SPFB.MGNT-3.21;60;20200904;130000;4402.0000000;4402.0000000;4401.0000000;4401.0000000;10
SPFB.MGNT-3.21;60;20200904;140000;4637.0000000;4638.0000000;4637.0000000;4638.0000000;10
SPFB.MGNT-3.21;60;20200904;220000;4440.0000000;4440.0000000;4440.0000000;4440.0000000;5
SPFB.MGNT-3.21;60;20200904;230000;4638.0000000;4638.0000000;4638.0000000;4638.0000000;5
SPFB.MGNT-3.21;60;20200907;130000;4710.0000000;4710.0000000;4710.0000000;4710.0000000;20
SPFB.MGNT-3.21;60;20200910;120000;4601.0000000;4601.0000000;4601.0000000;4601.0000000;1
SPFB.MGNT-3.21;60;20200915;140000;4660.0000000;4660.0000000;4660.0000000;4660.0000000;1
SPFB.MGNT-3.21;60;20200917;170000;4750.0000000;4750.0000000;4750.0000000;4750.0000000;15
SPFB.MGNT-3.21;60;20200917;180000;4554.0000000;4554.0000000;4554.0000000;4554.0000000;10
SPFB.MGNT-3.21;60;20200917;190000;4815.0000000;4848.0000000;4815.0000000;4848.0000000;39
SPFB.MGNT-3.21;60;20200917;210000;4723.0000000;4723.0000000;4600.0000000;4627.0000000;58
SPFB.MGNT-3.21;60;20200917;230000;4842.0000000;4843.0000000;4842.0000000;4843.0000000;18
SPFB.MGNT-3.21;60;20200918;120000;4816.0000000;4816.0000000;4816.0000000;4816.0000000;1
SPFB.MGNT-3.21;60;20200921;190000;4695.0000000;4695.0000000;4695.0000000;4695.0000000;20
SPFB.MGNT-3.21;60;20200922;110000;4680.0000000;4700.0000000;4615.0000000;4690.0000000;180
SPFB.MGNT-3.21;60;20200922;120000;4682.0000000;4685.0000000;4682.0000000;4685.0000000;13
SPFB.MGNT-3.21;60;20200922;140000;4685.0000000;4685.0000000;4685.0000000;4685.0000000;10
SPFB.MGNT-3.21;60;20200922;150000;4685.0000000;4700.0000000;4685.0000000;4700.0000000;28
SPFB.MGNT-3.21;60;20200922;190000;4779.0000000;4779.0000000;4778.0000000;4778.0000000;3
SPFB.MGNT-3.21;60;20200922;230000;4868.0000000;4872.0000000;4868.0000000;4872.0000000;13
SPFB.MGNT-3.21;60;20200924;120000;4875.0000000;4879.0000000;4871.0000000;4879.0000000;11
