;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21;F_Open;F_Close;F_High;F_Low;F_Vol;F_Log_returns;F_Amihud;F_LHH;F_LIX;F_VAR;F_VAR_21;F_MACD;F_EMA_21;F_MA_21;F_Open_pos;F_Open_con
2019-01-03;3511.5;3576.0;3596.5;3576.0;;0.018201560694329544;9.645908038341168e-08;15.128646563085065;7.587042867945915;0.003318648643570217;;0.0;;;3563.0;3671.0;3687.0;3540.0;1.23230568823274;0.02986121789099805;5.903489130163178e-06;0.4699322055877365;5.585635908342507;0.0030806500545612968;0.015966269722758466;-0.33120643789561655;0.002441226593793422;0.0025956826910342734;0.01909923067461161;0.004500564009300323
2019-01-04;3590.0;3600.0;3652.5;3600.0;0.16655004446691613;0.0027816429618763294;1.5583791432204664e-07;7.986839597550725;7.248445790804498;0.005823395532925833;;0.01846153846145171;0.003515500159795515;;3660.0;3677.0;3709.0;3641.0;-0.14290345587758546;0.004634054905860552;9.41464618679858e-06;0.2383612229606586;5.854183319747316;0.004320863030714439;0.014259136110232995;-0.04736037536531512;0.0023658210024641857;0.0009774654584839837;-0.02592352507984319;-0.033379550584972884
2019-01-08;3602.5;3680.0;3688.0;3680.0;-0.10077165390896492;0.021284703289298434;2.561084049019931e-07;15.38665388271098;8.02893041369324;0.005379346570996878;;0.10800324926049143;0.009313602863355586;;3675.0;3757.0;3760.0;3621.0;0.19577880323776387;0.022067633927031594;5.2853054574183706e-06;0.4115226777463244;5.63067584810174;0.004727788045754759;0.014903108132235618;0.42027612577749096;0.004171444196717111;0.0016495117445236573;0.02637619974042682;0.0044098819289677404
2019-01-09;3679.0;3698.5;3750.0;3698.5;0.08794315863766644;0.0052863559231486335;1.606443516610986e-07;9.800180309449638;7.258997181540718;0.005135651798907229;;0.17106699046280482;0.006057794015059015;;3750.0;3765.0;3811.0;3721.0;0.32188271019168724;0.00399202126953746;2.1670523058857047e-06;0.19296389807910055;5.941564846577039;0.004306738619019452;0.014540277423622346;0.8402483663662679;0.003977658178045074;0.0009880772017654138;-0.01494794989072512;-0.0162638088943442
2019-01-10;3703.0;3830.0;3838.5;3830.0;0.6742378392490536;0.03372150126107876;1.3001932086939127e-07;9.080641109267708;8.280375788939626;0.0057884543744202545;;0.37833259768285643;0.012245355804408664;;3764.0;3865.0;3900.0;3756.0;1.0315386456089972;0.026479460316252812;2.38404602032579e-06;0.16419447746241175;6.0566544698887155;0.004662545446905033;0.015534998253313127;1.4759015312233714;0.006113039035582357;0.002619110292182203;0.13106927532473733;0.09056988602279548
2019-01-11;3830.5;3827.0;3897.0;3827.0;-0.12411842674170526;-0.0009141365311737815;9.570655474144663e-08;5.835228919325315;7.3068017526740014;0.005372232861067984;;0.5000137656993502;0.00783446194804327;;3874.0;3862.0;3955.0;3855.0;-0.260477278616693;-0.0031023809784826994;2.83251030043021e-06;0.14164719819237365;6.0836312551432306;0.0049424662917939574;0.015152981489477121;2.0026157792021877;0.00544796513286494;0.002782919177201082;-0.05516423193659714;-0.0571073389146195
2019-01-14;3819.0;3790.5;3819.0;3790.5;-0.49263047723864095;-0.007490671729156517;1.0248086314729322e-07;9.014745982289673;7.398217347414511;0.003069703033336498;;0.5227833237381674;0.0036691701414921507;;3870.0;3840.0;3875.0;3814.0;-0.2946292048929664;-0.007782140442055052;5.571307710044779e-06;0.11966352758649082;6.144237849403643;0.0026568767991815502;0.014466203339472216;2.379655398752675;0.004379102092234577;0.0035344477752614623;-0.041956602095978845;-0.03350912400242689
2019-01-15;3812.5;3920.0;3930.0;3920.0;1.4451751820936787;0.027806511868840644;9.360407796685785e-08;7.219378164303801;8.255961752629439;0.006717359336233855;;0.7337867005740009;0.0086275519541672;;3860.0;3988.0;4004.0;3860.0;0.7931174637582983;0.03262266862285301;3.986272701628796e-06;0.15042920815626643;6.041237857901398;0.006126356994176253;0.015792144502196046;3.1058140988116065;0.007621487167360996;0.005191688081293;-0.004536634802476236;-0.03360857598145739
2019-01-16;3930.5;3970.0;3999.0;3970.0;-0.1790708242645892;0.009999450447423897;6.269989921666558e-08;4.704180426132371;7.713373885192971;0.004793876266173522;;0.9612500938401354;0.008670901797089403;;3984.0;4055.0;4064.0;3984.0;-0.374537211938043;0.017664347845023798;2.497564738331195e-06;0.12428873098902819;6.099947548339635;0.004350861866121428;0.015861310124989057;3.89810575012325;0.008519076324527308;0.00542441505859137;-0.02735507921864888;-0.03992404936791083
2019-01-17;4000.0;4155.0;4166.5;4155.0;1.5718833762408755;0.03801806718752054;3.908011395405447e-08;4.573979899633523;8.545105835422403;0.007929071216878712;;1.4291916994993699;0.013995742861679927;;4056.0;4247.0;4249.0;4044.0;1.2744624305387773;0.04601558504225167;1.5863931314516635e-06;0.13771053991393165;6.068253844289149;0.006647506052202508;0.018076091951516375;5.0954123586848254;0.01234830286699573;0.008260516024110265;0.04514278050857956;-0.0017435203497450091
2019-01-18;4182.0;4152.0;4232.0;4152.0;-0.3957900373829851;-0.007199455142854916;7.563546858723747e-08;5.156084844610161;7.483587887437838;0.005375107217692203;;1.770723801746044;0.011016747239485314;;4241.0;4211.0;4290.0;4165.0;-0.05769775511649322;-0.007098941312662532;3.586268729564547e-06;0.08402008055453276;6.253590898522569;0.004527908425590601;0.018344880138515672;5.9885154219350625;0.010223079621601627;0.007539972093142389;-0.029614090082651034;-0.028922603686035275
2019-01-21;4170.0;4140.0;4267.5;4140.0;0.08152294334811638;-0.007220247973487304;6.901340869678956e-08;6.073563784064291;7.313946422904313;0.00650203676523037;;2.002297229389569;0.008521855161655711;;4222.0;4206.0;4325.0;4168.0;-0.025063410051667456;-0.0037968721456209664;1.4135724283813324e-06;0.11200136370306117;6.143061656077068;0.005116809370575705;0.01838193394768232;6.704002974113337;0.009080114490944924;0.006772037709958489;0.0342453011584638;0.035475081540340625
2019-01-22;4132.0;4200.0;4228.0;4200.0;-0.3250532672693117;0.01632297403193128;7.063278593163038e-08;6.683021884870366;7.80781702496755;0.003981815410748473;;2.2781616044217117;0.008980443666045002;;4202.0;4248.0;4281.0;4170.0;-0.12090728642731885;0.010887681516829062;1.7959602055425418e-06;0.08940318381242131;6.2419882498089985;0.0031964249314293826;0.017557330710922338;7.396445904059419;0.009169601073929945;0.008038970708868165;0.004571513229097324;-0.006999714826433023
2019-01-23;4219.0;4300.0;4328.0;4300.0;0.2936690654201244;0.01901688955731551;6.066002317423196e-08;5.990137584795628;7.929859383449998;0.004396104910987051;;2.665744014387201;0.010600399641907288;;4265.0;4338.0;4380.0;4247.0;-0.07547624789004104;0.016971231461040404;2.6067444799567187e-06;0.1065734723030511;6.138482700411357;0.004496612194608454;0.017624200575280337;8.201082001870873;0.010361345854078552;0.009051529871300534;-0.04121178565276917;-0.06323264496253556
2019-01-24;4317.0;4256.0;4425.0;4256.0;0.26076707878350325;-0.014230964533997081;8.372440799663484e-08;6.365677442826943;7.245298733859056;0.007909569295962893;;2.877573055456196;0.007591250700788699;;4339.0;4299.0;4473.0;4286.0;0.4517475221700573;-0.009261469302069614;2.8211110603538203e-06;0.08977209640090349;6.148461725736757;0.007528598358621113;0.01748208467702739;8.7320799141703;0.008421000847742999;0.008883484906760719;-0.1315385311910625;-0.1222652657395279
2019-01-25;4280.0;4191.0;4284.5;4191.0;-0.16826669797058957;-0.021013640650771492;7.813103432395581e-08;6.122406650161244;7.4156739598309604;0.006667948858536241;;2.9067473486861672;0.004575933748195871;;4304.0;4248.0;4329.0;4191.0;-0.2529807598079248;-0.013096538919844747;2.2255189678501123e-06;0.09529357798983573;6.148573096455927;0.004884722449248899;0.01772074825229385;8.992085775697888;0.006422387648337802;0.00841173215273927;0.03412307860853847;0.05070807137867539
2019-01-28;4221.5;4147.0;4229.5;4147.0;-0.49454292594179927;-0.017805333863172734;2.0028764955952532e-07;9.656195149584299;7.169132275718089;0.006371893076112989;;2.826772285351126;0.0026954592675016986;;4250.0;4215.0;4279.0;4168.0;-0.1587336292279774;-0.00826939148250716;8.095485157452923e-06;0.09233842218077086;6.16467580350255;0.004895581892175464;0.01773681844100832;9.069854195700373;0.005049598516364107;0.008426932035756618;-0.002081488553862032;0.007902450817442785
2019-01-29;4160.0;4188.0;4211.5;4188.0;-0.1623312277595219;0.006708218735118621;1.0125808341699197e-07;8.789971317560386;7.641863325160929;0.004029673732778683;;2.825294475166629;0.0034502259130366753;;4214.0;4232.0;4261.0;4173.0;-0.5451308573953271;0.004262379174001296;3.4882931432481467e-06;0.16201885304375058;5.925150666382337;0.0036447304303580098;0.017564234079141074;9.13301376323534;0.004952445405066452;0.007739750876768703;0.01753435081164678;0.007930439997001715
2019-01-30;4195.5;4164.0;4209.5;4164.0;-0.36582599575599406;-0.007536371575264766;1.9168657329026112e-07;9.36609362779477;7.154632274272503;0.0033904215651466177;;2.7586429867878905;0.0023574961918826354;;4240.0;4245.0;4255.0;4202.0;-0.07359158953262479;0.0011785505194445989;4.063711327612525e-06;0.10586428883976669;6.11349199366044;0.002795970308608184;0.016044851251271846;9.171993106936952;0.004772941782387186;0.008880355214208713;0.0065550050149210115;0.012047475979415134
2019-01-31;4200.5;4155.0;4220.0;4155.0;1.339461420613706;-0.010891137515352867;7.831384524342386e-08;7.787770923509211;7.367906509330088;0.005134218142853487;;2.6686147664640885;0.00182449483990621;;4243.0;4207.0;4259.0;4151.0;0.528802269643518;-0.008520761611803707;5.194562837499454e-06;0.14273698151361852;5.984790244007688;0.00430589703747768;0.016432161098239518;9.045475786681891;0.003465711038843855;0.007826810990840816;-0.007595357494240118;-0.0007201222738227875
