<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;60;20190103;110000;3511.5000000;3539.5000000;3482.0000000;3522.0000000;17040
MGNT;60;20190103;120000;3520.0000000;3555.0000000;3518.0000000;3549.5000000;25634
MGNT;60;20190103;130000;3552.0000000;3570.5000000;3539.0000000;3556.0000000;19670
MGNT;60;20190103;140000;3557.0000000;3574.5000000;3553.5000000;3570.5000000;19437
MGNT;60;20190103;150000;3572.5000000;3575.0000000;3558.5000000;3573.5000000;18867
MGNT;60;20190103;160000;3574.5000000;3579.0000000;3560.5000000;3577.5000000;27803
MGNT;60;20190103;170000;3578.0000000;3580.0000000;3567.0000000;3578.5000000;23217
MGNT;60;20190103;180000;3580.0000000;3583.5000000;3567.5000000;3582.0000000;26510
MGNT;60;20190103;190000;3583.0000000;3596.5000000;3560.0000000;3576.0000000;43335
MGNT;60;20190104;110000;3590.0000000;3632.0000000;3590.0000000;3626.5000000;33692
MGNT;60;20190104;120000;3626.5000000;3652.5000000;3622.0000000;3637.5000000;42367
MGNT;60;20190104;130000;3637.5000000;3638.0000000;3596.0000000;3598.5000000;34213
MGNT;60;20190104;140000;3599.5000000;3626.0000000;3597.5000000;3620.5000000;30471
MGNT;60;20190104;150000;3621.5000000;3634.0000000;3618.5000000;3622.5000000;20063
MGNT;60;20190104;160000;3623.0000000;3627.0000000;3598.5000000;3600.0000000;18011
MGNT;60;20190104;170000;3600.5000000;3600.5000000;3580.0000000;3595.0000000;13715
MGNT;60;20190104;180000;3596.0000000;3612.5000000;3592.0000000;3599.0000000;18412
MGNT;60;20190104;190000;3600.0000000;3612.5000000;3593.0000000;3600.0000000;47462
MGNT;60;20190108;110000;3602.5000000;3622.0000000;3572.0000000;3585.5000000;20013
MGNT;60;20190108;120000;3587.0000000;3600.5000000;3581.0000000;3586.0000000;18107
MGNT;60;20190108;130000;3586.5000000;3590.0000000;3563.0000000;3564.5000000;13799
MGNT;60;20190108;140000;3565.5000000;3597.5000000;3563.5000000;3593.5000000;9737
MGNT;60;20190108;150000;3595.5000000;3613.0000000;3579.5000000;3602.0000000;15299
MGNT;60;20190108;160000;3602.0000000;3624.5000000;3600.0000000;3623.0000000;15326
MGNT;60;20190108;170000;3624.0000000;3659.5000000;3618.0000000;3632.5000000;45870
MGNT;60;20190108;180000;3632.5000000;3647.5000000;3605.0000000;3645.5000000;31801
MGNT;60;20190108;190000;3646.5000000;3688.0000000;3646.0000000;3680.0000000;62414
MGNT;60;20190109;110000;3679.0000000;3695.0000000;3661.0000000;3685.5000000;18079
MGNT;60;20190109;120000;3685.0000000;3709.0000000;3669.0000000;3702.5000000;35160
MGNT;60;20190109;130000;3703.0000000;3743.0000000;3700.0000000;3743.0000000;59745
MGNT;60;20190109;140000;3743.5000000;3750.0000000;3729.0000000;3733.0000000;41494
MGNT;60;20190109;150000;3733.0000000;3735.0000000;3722.0000000;3725.5000000;9404
MGNT;60;20190109;160000;3726.5000000;3734.0000000;3700.0000000;3706.5000000;15473
MGNT;60;20190109;170000;3708.0000000;3712.5000000;3678.0000000;3683.0000000;23281
MGNT;60;20190109;180000;3684.5000000;3713.0000000;3677.5000000;3685.0000000;20914
MGNT;60;20190109;190000;3687.0000000;3698.5000000;3671.5000000;3698.5000000;29251
MGNT;60;20190110;110000;3703.0000000;3730.0000000;3699.0000000;3718.0000000;20766
MGNT;60;20190110;120000;3718.5000000;3747.5000000;3709.5000000;3747.0000000;36979
MGNT;60;20190110;130000;3747.5000000;3771.0000000;3731.0000000;3732.5000000;63266
MGNT;60;20190110;140000;3735.5000000;3792.0000000;3735.0000000;3771.5000000;48693
MGNT;60;20190110;150000;3772.0000000;3799.0000000;3770.0000000;3790.5000000;64797
MGNT;60;20190110;160000;3791.0000000;3819.0000000;3791.0000000;3813.0000000;46101
MGNT;60;20190110;170000;3813.0000000;3838.5000000;3812.5000000;3823.0000000;63971
MGNT;60;20190110;180000;3824.5000000;3825.0000000;3789.0000000;3807.5000000;43348
MGNT;60;20190110;190000;3807.5000000;3831.5000000;3802.0000000;3830.0000000;35328
MGNT;60;20190111;110000;3830.5000000;3865.0000000;3823.5000000;3856.5000000;37240
MGNT;60;20190111;120000;3857.0000000;3882.0000000;3843.5000000;3867.5000000;49006
MGNT;60;20190111;130000;3867.5000000;3883.5000000;3855.5000000;3881.5000000;33520
MGNT;60;20190111;140000;3882.5000000;3892.0000000;3860.5000000;3878.0000000;24777
MGNT;60;20190111;150000;3879.0000000;3896.0000000;3874.0000000;3887.0000000;24956
MGNT;60;20190111;160000;3886.5000000;3897.0000000;3878.5000000;3892.0000000;39034
MGNT;60;20190111;170000;3892.0000000;3893.5000000;3836.0000000;3852.5000000;64001
MGNT;60;20190111;180000;3853.5000000;3872.0000000;3816.0000000;3819.5000000;66424
MGNT;60;20190111;190000;3820.0000000;3839.0000000;3818.0000000;3827.0000000;31758
MGNT;60;20190114;110000;3819.0000000;3819.0000000;3765.0000000;3794.5000000;37625
MGNT;60;20190114;120000;3795.0000000;3800.0000000;3770.0000000;3779.0000000;27010
MGNT;60;20190114;130000;3779.5000000;3798.0000000;3773.0000000;3773.0000000;15622
