Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.09.2018;;4176;;;;;;;;;;;;
12.09.2018;;4254;;;;;;;;;;;;
13.09.2018;;4228;;;;;;;;;;;;
14.09.2018;;4323;;;;;;;;;;;;
17.09.2018;;4344;;;;;;;;;;;;
18.09.2018;4400;4400;4400;4400;4400;4400;;1;1;4400;1;8800;2;
19.09.2018;;4406;;;;;;;;;;8812;2;
20.09.2018;4468;4399;4395;4516;4395;4432;;1;11;75954;17;79182;18;
21.09.2018;4372;4351;4372;4372;4372;4372;-1,35;1;1;4372;1;78318;18;
24.09.2018;4305;4306;4303;4306;4303;4306;-1,51;1;2;8609;2;77508;18;
25.09.2018;4322;4330;4322;4322;4322;4322;0,37;3;1;12966;3;103920;24;
26.09.2018;4191;4159;4345;4345;4159;4159;-3,77;1;26;590876;141;1256018;302;
27.09.2018;3969;3952;4140;4140;3850;3968;-4,59;5;133;2730773;688;5485376;1388;
28.09.2018;4001;3959;4013;4121;3884;3959;-0,23;9;45;2684937;671;5677206;1434;
01.10.2018;3937;3946;4063;4094;3908;3908;-1,29;10;15;255883;65;6021596;1526;
02.10.2018;3954;3959;3943;3958;3943;3958;1,28;10;3;106761;27;6041434;1526;
03.10.2018;3980;3980;3980;3980;3980;3980;0,56;10;5;199000;50;5675480;1426;
04.10.2018;3970;3970;3970;3970;3970;3970;-0,25;4;1;15880;4;5629460;1418;
05.10.2018;3971;3959;3913;4009;3912;3959;-0,28;10;22;365287;92;5344650;1350;
08.10.2018;3919;3905;3959;3959;3903;3903;-1,41;3;14;368345;94;5896550;1510;
09.10.2018;3759;3748;3933;3933;3728;3748;-3,97;10;75;2733033;727;9347512;2494;
10.10.2018;3629;3609;3735;3755;3590;3609;-3,71;1;130;4620019;1273;13172850;3650;
11.10.2018;3546;3530;3621;3621;3483;3530;-2,19;1;56;1131302;319;12877440;3648;
12.10.2018;3614;3605;3553;3645;3553;3605;2,12;1;27;1485496;411;15847580;4396;
15.10.2018;3626;3662;3607;3661;3601;3661;1,55;1;9;32630;9;16105476;4398;
16.10.2018;3671;3650;3691;3691;3650;3650;-0,30;1;5;36712;10;16001600;4384;
17.10.2018;;3711;;;;;;;;;;16269024;4384;
18.10.2018;3668;3677;3704;3719;3641;3670;;10;10;245762;67;16539146;4498;
19.10.2018;3693;3692;3692;3696;3688;3690;0,54;1;5;48012;13;16665688;4514;
22.10.2018;3690;3593;3723;3723;3580;3593;-2,63;1;20;250890;68;16556544;4608;
23.10.2018;3474;3544;3593;3593;3400;3544;-1,36;10;65;632240;182;17188400;4850;
24.10.2018;3595;3558;3581;3613;3576;3587;1,21;9;37;366740;102;17185140;4830;
25.10.2018;3550;3551;3549;3590;3528;3560;-0,75;7;99;1604753;452;19878498;5598;
26.10.2018;3517;3481;3550;3550;3469;3470;-2,53;1;46;559182;159;19396132;5572;
29.10.2018;3523;3547;3465;3557;3465;3547;2,22;1;23;380510;108;19778072;5576;
30.10.2018;3622;3637;3601;3651;3598;3635;2,48;1;24;188360;52;20352652;5596;
31.10.2018;3608;3626;3655;3670;3562;3626;-0,25;1;58;743343;206;20283844;5594;
01.11.2018;3640;3615;3602;3685;3600;3601;-0,69;1;197;4615839;1268;26642550;7370;
02.11.2018;3637;3641;3612;3657;3610;3610;0,25;4;62;770992;212;27635190;7590;
06.11.2018;3705;3696;3667;3717;3667;3703;2,58;1;35;218604;59;28274400;7650;
07.11.2018;3696;3719;3669;3719;3669;3719;0,43;1;33;347415;94;29112332;7828;
08.11.2018;3724;3731;3730;3745;3703;3731;0,32;1;42;283047;76;29437590;7890;
09.11.2018;3679;3688;3720;3720;3632;3696;-0,94;1;11;209718;57;28891792;7834;
12.11.2018;3688;3650;3722;3750;3650;3650;-1,24;1;16;62699;17;28667100;7854;
13.11.2018;3630;3602;3632;3638;3602;3602;-1,32;1;9;261395;72;28729552;7976;
14.11.2018;3521;3512;3623;3623;3501;3512;-2,50;5;119;2587862;735;30259392;8616;
15.11.2018;3540;3531;3530;3559;3519;3559;1,34;10;32;495576;140;31023366;8786;
16.11.2018;3476;3451;3531;3550;3450;3451;-3,04;5;78;1383363;398;31128020;9020;
19.11.2018;3463;3465;3492;3492;3450;3465;0,41;1;30;419014;121;31850280;9192;
20.11.2018;3465;3433;3481;3488;3425;3448;-0,49;1;104;2809897;811;35510952;10344;
21.11.2018;3424;3472;3447;3484;3398;3470;0,64;2;29;253368;74;36303232;10456;
22.11.2018;3460;3470;3501;3501;3405;3470;;10;49;823547;238;36955500;10650;
23.11.2018;3450;3433;3467;3469;3428;3432;-1,10;3;17;141430;41;36575182;10654;
26.11.2018;3433;3459;3432;3500;3380;3459;0,79;5;129;2087272;608;39501780;11420;
27.11.2018;3464;3477;3471;3500;3430;3500;1,18;3;53;824320;238;40541820;11660;
28.11.2018;3477;3474;3484;3500;3453;3477;-0,66;5;52;997863;287;41243328;11872;
29.11.2018;3476;3465;3493;3493;3465;3465;-0,34;5;90;2610298;751;43139250;12450;
30.11.2018;3466;3464;3470;3495;3457;3464;-0,03;8;58;1150797;332;44526256;12854;
03.12.2018;3484;3474;3482;3496;3465;3474;0,29;1;135;3560700;1022;51345720;14780;
04.12.2018;3553;3616;3498;3685;3470;3616;4,09;5;213;5197936;1463;60546304;16744;
05.12.2018;3613;3635;3627;3641;3584;3641;0,69;7;255;5328612;1475;69363070;19082;
06.12.2018;3608;3672;3636;3680;3555;3670;0,80;1;278;7706278;2136;76876992;20936;
07.12.2018;3686;3692;3660;3733;3631;3692;0,60;1;302;13100623;3554;100887592;27326;
10.12.2018;3640;3645;3701;3709;3589;3645;-1,27;1;405;7301269;2006;105588360;28968;
11.12.2018;3601;3566;3637;3660;3552;3552;-2,55;10;214;3208823;891;108021272;30292;
12.12.2018;3556;3576;3596;3599;3511;3585;0,93;4;435;11694564;3289;126454512;35362;
