Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.12.2018;;3596;;;;;;;;;;;;
12.12.2018;;3606;;;;;;;;;;;;
13.12.2018;;3652;;;;;;;;;;;;
14.12.2018;;3636;;;;;;;;;;;;
17.12.2018;;3664;;;;;;;;;;;;
18.12.2018;;3715;;;;;;;;;;;;
19.12.2018;;3676;;;;;;;;;;;;
20.12.2018;3728;3725;3726;3733;3726;3726;;1;3;11185;3;22350;6;
21.12.2018;3676;3691;3641;3691;3641;3691;-0,94;8;5;44115;12;73820;20;
24.12.2018;3639;3651;3622;3651;3621;3651;-1,08;1;6;36385;10;138738;38;
25.12.2018;3540;3574;3674;3674;3462;3573;-2,14;1;19;141590;40;157256;44;
26.12.2018;3592;3619;3577;3619;3577;3619;1,29;1;5;28739;8;166474;46;
27.12.2018;;3556;;;;;;;;;;163576;46;
28.12.2018;;3598;;;;;;;;;;165508;46;
29.12.2018;3622;3627;3621;3622;3621;3622;;1;6;25353;7;217620;60;
03.01.2019;3656;3706;3642;3706;3629;3706;2,32;1;4;14625;4;244596;66;
04.01.2019;3744;3724;3774;3774;3724;3724;0,49;1;3;11233;3;260680;70;
08.01.2019;3741;3788;3741;3741;3741;3741;0,46;1;1;3741;1;265160;70;
09.01.2019;3813;3800;3850;3850;3800;3800;1,58;15;5;209713;55;684000;180;
10.01.2019;3874;3935;3846;3906;3846;3905;2,76;3;13;267296;69;574510;146;
11.01.2019;3970;3970;3970;3970;3970;3970;1,66;10;3;236726;59;738420;186;
14.01.2019;3904;3913;3929;3929;3864;3900;-1,76;2;10;136643;35;743470;190;
15.01.2019;4032;4057;4011;4057;3992;4057;4,03;3;8;52415;13;843856;208;
16.01.2019;4094;4101;4049;4126;4035;4075;0,44;1;27;585445;143;1763430;430;
17.01.2019;4213;4260;4102;4295;4102;4295;5,40;1;33;598235;142;2717880;638;
18.01.2019;4291;4274;4267;4340;4230;4274;-0,49;1;45;991285;231;4026108;942;
21.01.2019;4296;4278;4245;4367;4244;4292;0,42;1;32;1147124;267;4183884;978;
22.01.2019;;4328;;;;;;;;;;4232784;978;
23.01.2019;4381;4419;4300;4445;4297;4419;;1;27;569494;130;5161392;1168;
24.01.2019;4453;4397;4407;4518;4392;4411;-0,18;1;45;329519;74;5293988;1204;
25.01.2019;4297;4294;4349;4362;4264;4362;-1,11;10;20;769109;179;6097480;1420;
28.01.2019;4275;4278;4336;4336;4260;4278;-1,93;10;20;427472;100;5903640;1380;
29.01.2019;4280;4315;4268;4327;4260;4315;0,86;2;27;299601;70;5946070;1378;
