Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
22.11.2019;;3270;;;;;;;;;;;;
25.11.2019;;3252;;;;;;;;;;;;
26.11.2019;;3246;;;;;;;;;;;;
27.11.2019;;3254;;;;;;;;;;;;
28.11.2019;;3262;;;;;;;;;;;;
29.11.2019;;3295;;;;;;;;;;;;
02.12.2019;;3250;;;;;;;;;;;;
03.12.2019;;3185;;;;;;;;;;;;
04.12.2019;;3193;;;;;;;;;;;;
05.12.2019;;3201;;;;;;;;;;;;
06.12.2019;;3206;;;;;;;;;;;;
09.12.2019;;3228;;;;;;;;;;;;
10.12.2019;;3250;;;;;;;;;;;;
11.12.2019;;3237;;;;;;;;;;;;
12.12.2019;;3239;;;;;;;;;;;;
13.12.2019;;3263;;;;;;;;;;;;
16.12.2019;;3263;;;;;;;;;;;;
17.12.2019;;3268;;;;;;;;;;;;
18.12.2019;;3269;;;;;;;;;;;;
19.12.2019;;3271;;;;;;;;;;;;
20.12.2019;;3305;;;;;;;;;;;;
23.12.2019;;3338;;;;;;;;;;;;
24.12.2019;3360;3371;3359;3360;3359;3360;;1;2;6719;2;13484;4;
25.12.2019;3287;3389;3200;3374;3200;3374;0,42;1;2;6574;2;13556;4;
26.12.2019;;3450;;;;;;;;;;13800;4;
27.12.2019;3272;3425;3253;3290;3253;3290;;1;2;6543;2;13700;4;
30.12.2019;;3418;;;;;;;;;;13672;4;
03.01.2020;3262;3438;3262;3262;3262;3262;;1;1;3262;1;13752;4;
06.01.2020;3520;3413;3520;3520;3520;3520;7,91;1;1;3520;1;13652;4;
08.01.2020;;3413;;;;;;;;;;13652;4;
09.01.2020;;3437;;;;;;;;;;13748;4;
10.01.2020;;3458;;;;;;;;;;13832;4;
13.01.2020;;3464;;;;;;;;;;13856;4;
14.01.2020;3470;3470;3470;3470;3470;3470;;3;1;10410;3;20820;6;
15.01.2020;;3579;;;;;;;;;;21474;6;
16.01.2020;3760;3759;3907;3907;3687;3687;;3;3;33843;9;90216;24;
17.01.2020;;3760;;;;;;;;;;90240;24;
20.01.2020;;3971;;;;;;;;;;95304;24;
21.01.2020;;3951;;;;;;;;;;94824;24;
22.01.2020;3951;3905;3951;3951;3951;3951;;1;2;27657;7;101530;26;
23.01.2020;;3854;;;;;;;;;;100204;26;
24.01.2020;3901;3939;3901;3901;3901;3901;;2;1;7802;2;118170;30;
27.01.2020;;3861;;;;;;;;;;115830;30;
28.01.2020;;3898;;;;;;;;;;116940;30;
29.01.2020;3853;3903;3897;3929;3800;3925;;3;6;61641;16;124896;32;
30.01.2020;3803;3919;3803;3803;3803;3803;-3,11;1;1;3803;1;117570;30;
31.01.2020;3803;3892;3911;3911;3695;3695;-2,84;1;2;7606;2;108976;28;
03.02.2020;3734;3816;3726;3750;3726;3750;1,49;1;3;11202;3;91584;24;
04.02.2020;;3750;;;;;;;;;;90000;24;
05.02.2020;;3888;;;;;;;;;;93312;24;
06.02.2020;;3823;;;;;;;;;;91752;24;
07.02.2020;;3772;;;;;;;;;;90528;24;
10.02.2020;3623;3705;3623;3623;3623;3623;;2;7;43476;12;177840;48;
11.02.2020;3633;3653;3633;3633;3633;3633;0,28;2;2;10899;3;197262;54;
12.02.2020;3647;3841;3671;3769;3618;3618;-0,41;5;3;25530;7;222778;58;
13.02.2020;3850;3873;3849;3850;3849;3850;6,41;6;2;38496;10;302094;78;
14.02.2020;;3785;;;;;;;;;;295230;78;
17.02.2020;3722;3784;3799;3832;3621;3774;;1;10;74438;20;310288;82;
18.02.2020;;3723;;;;;;;;;;305286;82;
19.02.2020;;3712;;;;;;;;;;304384;82;
20.02.2020;;3740;;;;;;;;;;306680;82;
21.02.2020;;3728;;;;;;;;;;305696;82;
25.02.2020;3627;3612;3573;3730;3573;3620;;3;4;32643;9;303408;84;
26.02.2020;3536;3618;3555;3610;3420;3588;-0,88;2;8;35362;10;303912;84;
27.02.2020;3451;3420;3686;3686;3420;3420;-4,68;1;4;37964;11;342000;100;
28.02.2020;3298;3257;3307;3530;3276;3386;-0,99;5;15;310027;94;911960;280;
02.03.2020;3322;3311;3340;3355;3300;3300;-2,54;1;6;23257;7;960190;290;
03.03.2020;3285;3254;3285;3285;3285;3285;-0,46;1;1;3285;1;950168;292;
04.03.2020;3265;3260;3264;3265;3264;3265;-0,61;61;22;652960;200;2255920;692;
05.03.2020;3195;3200;3212;3217;3176;3200;-1,99;1;7;63898;20;2291200;716;
06.03.2020;3102;3089;3151;3151;3004;3089;-3,47;1;9;170632;55;2483556;804;
10.03.2020;2755;2733;2725;2768;2725;2757;-10,75;1;8;44081;16;2251992;824;
11.03.2020;;2793;;;;;;;;;;2301432;824;
12.03.2020;2668;2415;2700;2700;2496;2496;;1;4;40024;15;2014110;834;
13.03.2020;2389;2583;2328;2630;2250;2630;5,37;2;8;78838;33;2169720;840;
16.03.2020;2539;2712;2510;2729;2510;2699;2,62;1;4;45708;18;2370288;874;
17.03.2020;2805;2865;2743;2866;2743;2866;6,19;1;2;5609;2;2498280;872;
18.03.2020;;2864;;;;;;;;;;2497408;872;
19.03.2020;2910;2945;2917;2950;2880;2945;;6;34;1099842;378;3769600;1280;
20.03.2020;2999;3000;2973;3000;2973;3000;1,87;2;6;191919;64;3894000;1298;
23.03.2020;;3073;;;;;;;;;;3988754;1298;
24.03.2020;2992;3000;2976;3069;2976;3069;;1;2;17949;6;3870000;1290;
25.03.2020;3011;3035;3000;3099;2995;3035;-1,11;2;21;734763;244;3793750;1250;
26.03.2020;3076;3115;2975;3119;2974;3119;2,77;5;25;366027;119;3451420;1108;
27.03.2020;3091;3051;3100;3190;3003;3051;-2,18;1;12;142187;46;3240162;1062;
30.03.2020;3045;3077;3055;3077;3001;3077;0,85;1;5;27407;9;3243158;1054;
31.03.2020;3100;3085;3072;3145;3071;3085;0,26;8;16;99190;32;3165210;1026;
01.04.2020;3076;3050;3078;3090;3050;3050;-1,14;2;8;30755;10;3117100;1022;
02.04.2020;3078;3082;3062;3090;3047;3082;1,05;6;8;52321;17;3100492;1006;
03.04.2020;3098;3133;3073;3150;3073;3135;1,72;5;12;139428;45;3076606;982;
06.04.2020;3172;3191;3145;3190;3115;3190;1,75;4;11;88820;28;3088888;968;
07.04.2020;3244;3212;3135;3289;3135;3289;3,10;1;7;22710;7;3109216;968;
08.04.2020;3204;3275;3145;3275;3145;3275;-0,43;2;3;16022;5;3176750;970;
09.04.2020;3275;3257;3333;3333;3257;3257;-0,55;2;4;16375;5;3139748;964;
10.04.2020;;3311;;;;;;;;;;3191804;964;
13.04.2020;3205;3188;3281;3281;3178;3188;;2;19;314082;98;3098736;972;
14.04.2020;3252;3250;3269;3269;3195;3250;1,94;5;5;71539;22;3081000;948;
15.04.2020;3227;3161;3246;3246;3189;3189;-1,88;2;3;19361;6;3015594;954;
16.04.2020;3153;3135;3150;3212;3135;3135;-1,69;1;7;126100;40;2997060;956;
17.04.2020;3133;3147;3135;3135;3126;3126;-0,29;1;2;15666;5;3008532;956;
20.04.2020;3135;3135;3135;3135;3135;3135;0,29;1;1;3135;1;3003330;958;
21.04.2020;3089;3138;3109;3140;3005;3140;0,16;2;35;268784;87;3188208;1016;
22.04.2020;3147;3129;3140;3193;3117;3117;-0,73;1;5;18882;6;3160290;1010;
23.04.2020;3210;3266;3117;3266;3117;3266;4,78;1;20;154096;48;3213744;984;
24.04.2020;;3139;;;;;;;;;;3088776;984;
27.04.2020;3270;3285;3265;3285;3265;3285;;1;4;13081;4;3225870;982;
28.04.2020;3347;3329;3300;3387;3286;3329;1,34;4;21;190789;57;3255762;978;
29.04.2020;3351;3351;3351;3351;3351;3351;0,66;1;1;3351;1;3277278;978;
30.04.2020;3517;3554;3440;3654;3375;3654;9,04;2;33;1269482;361;3063548;862;
04.05.2020;3645;3640;3544;3679;3535;3640;-0,38;2;10;94760;26;3035760;834;
05.05.2020;3664;3621;3698;3720;3616;3621;-0,52;1;15;80612;22;3135786;866;
06.05.2020;3619;3619;3619;3619;3619;3619;-0,06;1;1;3619;1;3141292;868;
07.05.2020;;3609;;;;;;;;;;3132612;868;
08.05.2020;3588;3588;3588;3588;3588;3588;;7;3;89700;25;3243552;904;
12.05.2020;3587;3538;3564;3590;3564;3590;0,06;6;3;39456;11;3240808;916;
13.05.2020;3556;3569;3510;3614;3488;3569;-0,58;1;22;277380;78;3454792;968;
14.05.2020;3487;3474;3569;3569;3473;3474;-2,66;1;11;104605;30;3557376;1024;
15.05.2020;3489;3483;3493;3495;3483;3483;0,26;2;4;17443;5;3580524;1028;
18.05.2020;3532;3572;3511;3572;3509;3572;2,56;1;18;130681;37;3650584;1022;
19.05.2020;3595;3601;3597;3607;3566;3607;0,98;1;5;50330;14;3766646;1046;
20.05.2020;3598;3588;3606;3617;3534;3606;-0,03;2;18;176295;49;3559296;992;
21.05.2020;3560;3538;3576;3576;3546;3546;-1,66;1;10;42722;12;3580456;1012;
22.05.2020;3511;3542;3511;3511;3511;3511;-0,99;1;1;3511;1;3584504;1012;
25.05.2020;3583;3577;3570;3585;3570;3580;1,96;1;4;42999;12;3698618;1034;
26.05.2020;3581;3566;3549;3592;3549;3552;-0,78;1;12;128914;36;3908336;1096;
27.05.2020;3578;3682;3535;3692;3535;3692;3,94;1;28;196773;55;3851372;1046;
28.05.2020;3717;3734;3685;3760;3678;3734;1,14;1;38;367950;99;3517428;942;
29.05.2020;3697;3669;3758;3758;3669;3669;-1,74;2;29;347505;94;3874464;1056;
01.06.2020;3721;3744;3658;3760;3643;3750;2,21;2;95;721831;194;3691584;986;
02.06.2020;3780;3804;3753;3828;3736;3803;1,41;6;118;1515668;401;3872472;1018;
03.06.2020;3781;3790;3828;3834;3741;3790;-0,34;1;65;884709;234;4540420;1198;
04.06.2020;3743;3720;3796;3800;3698;3741;-1,29;1;89;860843;230;5170800;1390;
05.06.2020;3744;3775;3740;3775;3723;3775;0,91;2;37;520452;139;5805950;1538;
08.06.2020;3847;3876;3762;3898;3762;3862;2,30;2;373;2388957;621;8348904;2154;
09.06.2020;3866;3855;3866;3895;3835;3835;-0,70;3;332;2443157;632;10593540;2748;
10.06.2020;3900;3902;3865;3940;3836;3899;1,67;3;605;8006425;2053;15030504;3852;
11.06.2020;3946;3919;3910;4015;3858;3918;0,49;6;1042;10803612;2738;21335036;5444;
15.06.2020;3905;3898;3909;3949;3804;3896;-0,56;7;772;21147026;5415;42246524;10838;
16.06.2020;3885;3866;3897;3939;3855;3863;-0,85;6;954;20603582;5304;54642044;14134;
17.06.2020;3860;3850;3874;3895;3823;3855;-0,21;8;1466;30938420;8015;84538300;21958;
18.06.2020;3876;3883;3835;3899;3819;3874;0,49;1;2935;53726225;13863;111504228;28716;
19.06.2020;3929;3985;3861;3995;3861;3995;3,12;6;4238;92102899;23439;145564080;36528;
22.06.2020;4029;4113;3985;4119;3954;4113;2,95;1;5313;107839122;26769;179162280;43560;
23.06.2020;4183;4176;4091;4245;4091;4173;1,46;3;3997;99537901;23793;187577568;44918;
25.06.2020;4156;4149;4189;4206;4106;4154;-0,46;2;4150;99168768;23862;185717538;44762;
26.06.2020;4225;4226;4163;4264;4130;4228;1,78;1;3912;89987819;21301;188750064;44664;
29.06.2020;4192;4172;4210;4248;4151;4182;-1,09;4;2945;92214667;22000;197410696;47318;
30.06.2020;4125;4082;4181;4213;4066;4074;-2,58;1;3872;115772010;28066;182416416;44688;
02.07.2020;4181;4245;4070;4258;4054;4247;4,25;26;4581;123555346;29553;211477410;49818;
03.07.2020;4241;4254;4241;4269;4218;4244;-0,07;1;2650;66617694;15707;210292236;49434;
06.07.2020;4343;4364;4258;4406;4240;4369;2,94;2;4264;118624506;27313;208381000;47750;
07.07.2020;4325;4281;4362;4377;4271;4282;-1,99;4;3510;97363219;22513;187978710;43910;
08.07.2020;4259;4251;4283;4310;4217;4251;-0,72;2;2835;77289646;18146;185301090;43590;
09.07.2020;4354;4379;4245;4415;4232;4351;2,35;2;6387;174577577;40099;183585196;41924;
10.07.2020;4359;4332;4359;4409;4314;4320;-0,71;18;4972;106497012;24432;194428824;44882;
13.07.2020;4347;4363;4334;4390;4305;4354;0,79;1;3083;78451378;18047;199022608;45616;
14.07.2020;4246;4282;4360;4364;4161;4277;-1,77;2;4931;133087402;31343;193948908;45294;
15.07.2020;4315;4324;4271;4361;4267;4317;0,94;1;3196;88826855;20587;203643104;47096;
16.07.2020;4323;4339;4320;4389;4245;4335;0,42;4;5507;128888357;29815;240727720;55480;
17.07.2020;4325;4325;4330;4355;4293;4330;-0,12;2;2009;49606170;11469;247217000;57160;
20.07.2020;4432;4510;4330;4514;4298;4510;4,16;17;4588;175428193;39585;279565880;61988;
21.07.2020;4594;4676;4506;4684;4493;4671;3,57;3;6042;249369478;54281;403342408;86258;
22.07.2020;4703;4698;4667;4756;4633;4696;0,54;2;8410;271596701;57746;479092644;101978;
