Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
19.02.2020;;3820;;;;;;;;;;;;
20.02.2020;;3820;;;;;;;;;;;;
21.02.2020;;3807;;;;;;;;;;;;
25.02.2020;;3677;;;;;;;;;;;;
26.02.2020;;3696;;;;;;;;;;;;
27.02.2020;;3499;;;;;;;;;;;;
28.02.2020;;3306;;;;;;;;;;;;
02.03.2020;;3360;;;;;;;;;;;;
03.03.2020;;3302;;;;;;;;;;;;
04.03.2020;;3278;;;;;;;;;;;;
05.03.2020;;3268;;;;;;;;;;;;
06.03.2020;;3136;;;;;;;;;;;;
10.03.2020;2859;2774;2859;2859;2859;2859;;8;1;22872;8;44384;16;
11.03.2020;;2835;;;;;;;;;;45360;16;
12.03.2020;;2451;;;;;;;;;;39216;16;
13.03.2020;;2622;;;;;;;;;;41952;16;
16.03.2020;2862;2753;2863;2863;2859;2860;;1;3;20034;7;82590;30;
17.03.2020;;2881;;;;;;;;;;86430;30;
18.03.2020;2862;2861;2863;2863;2862;2862;;4;4;20037;7;108718;38;
19.03.2020;;2999;;;;;;;;;;113962;38;
20.03.2020;3085;3132;3251;3251;2588;2588;;1;2;12341;4;131544;42;
23.03.2020;;3120;;;;;;;;;;131040;42;
24.03.2020;3000;3164;3000;3000;3000;3000;;2;1;6000;2;120232;38;
25.03.2020;;3197;;;;;;;;;;121486;38;
26.03.2020;;3385;;;;;;;;;;128630;38;
27.03.2020;3253;3278;3840;3840;2931;3100;;1;6;58553;18;91784;28;
30.03.2020;2848;3279;2848;2848;2848;2848;-8,13;1;1;2848;1;91812;28;
31.03.2020;;3200;;;;;;;;;;89600;28;
01.04.2020;;3261;;;;;;;;;;91308;28;
02.04.2020;;3304;;;;;;;;;;92512;28;
03.04.2020;3398;3324;3499;3499;3297;3297;;1;2;6796;2;106368;32;
