<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.MTSI-3.21;60;20200728;140000;33128.0000000;33128.0000000;33128.0000000;33128.0000000;1
SPFB.MTSI-3.21;60;20200730;110000;32057.0000000;32057.0000000;32057.0000000;32057.0000000;1
SPFB.MTSI-3.21;60;20200805;110000;34178.0000000;34178.0000000;34178.0000000;34178.0000000;1
SPFB.MTSI-3.21;60;20200902;150000;33000.0000000;33000.0000000;33000.0000000;33000.0000000;7
SPFB.MTSI-3.21;60;20201015;170000;33500.0000000;33500.0000000;33500.0000000;33500.0000000;2
SPFB.MTSI-3.21;60;20201015;200000;32902.0000000;32902.0000000;32902.0000000;32902.0000000;1
SPFB.MTSI-3.21;60;20201015;210000;32900.0000000;32900.0000000;32900.0000000;32900.0000000;2
SPFB.MTSI-3.21;60;20201015;220000;32810.0000000;32810.0000000;32810.0000000;32810.0000000;1
SPFB.MTSI-3.21;60;20201015;230000;32810.0000000;32810.0000000;32702.0000000;32702.0000000;7
SPFB.MTSI-3.21;60;20201016;110000;32605.0000000;32605.0000000;32302.0000000;32302.0000000;5
SPFB.MTSI-3.21;60;20201016;130000;32300.0000000;32300.0000000;32300.0000000;32300.0000000;1
SPFB.MTSI-3.21;60;20201016;160000;32872.0000000;32872.0000000;32872.0000000;32872.0000000;1
SPFB.MTSI-3.21;60;20201021;180000;32547.0000000;32547.0000000;32547.0000000;32547.0000000;2
SPFB.MTSI-3.21;60;20201022;170000;32729.0000000;32729.0000000;32729.0000000;32729.0000000;8
SPFB.MTSI-3.21;60;20201109;130000;33129.0000000;33129.0000000;33129.0000000;33129.0000000;1
SPFB.MTSI-3.21;60;20201109;140000;32702.0000000;32702.0000000;32702.0000000;32702.0000000;1
SPFB.MTSI-3.21;60;20201111;130000;32903.0000000;32905.0000000;32903.0000000;32905.0000000;6
SPFB.MTSI-3.21;60;20201111;140000;32872.0000000;32872.0000000;32872.0000000;32872.0000000;1
SPFB.MTSI-3.21;60;20201111;150000;32873.0000000;32873.0000000;32873.0000000;32873.0000000;1
SPFB.MTSI-3.21;60;20201111;170000;32702.0000000;32702.0000000;32702.0000000;32702.0000000;7
SPFB.MTSI-3.21;60;20201113;150000;32400.0000000;32400.0000000;32400.0000000;32400.0000000;3
SPFB.MTSI-3.21;60;20201116;160000;32370.0000000;32370.0000000;32370.0000000;32370.0000000;1
SPFB.MTSI-3.21;60;20201116;230000;33042.0000000;33042.0000000;33042.0000000;33042.0000000;5
SPFB.MTSI-3.21;60;20201117;110000;33042.0000000;33042.0000000;33042.0000000;33042.0000000;5
SPFB.MTSI-3.21;60;20201117;150000;32690.0000000;32690.0000000;32690.0000000;32690.0000000;2
SPFB.MTSI-3.21;60;20201119;150000;32430.0000000;32430.0000000;32400.0000000;32400.0000000;2
SPFB.MTSI-3.21;60;20201119;230000;32694.0000000;32700.0000000;32694.0000000;32700.0000000;3
SPFB.MTSI-3.21;60;20201120;110000;32200.0000000;32200.0000000;32200.0000000;32200.0000000;12
SPFB.MTSI-3.21;60;20201120;140000;32200.0000000;32200.0000000;32200.0000000;32200.0000000;1
SPFB.MTSI-3.21;60;20201120;180000;32115.0000000;32115.0000000;32100.0000000;32100.0000000;7
SPFB.MTSI-3.21;60;20201120;200000;32100.0000000;32100.0000000;32100.0000000;32100.0000000;5
SPFB.MTSI-3.21;60;20201124;000000;32100.0000000;32100.0000000;32100.0000000;32100.0000000;1
