Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
09.09.2019;;27302;;;;;;;;;;;;
10.09.2019;;26942;;;;;;;;;;;;
11.09.2019;;27144;;;;;;;;;;;;
12.09.2019;;26780;;;;;;;;;;;;
13.09.2019;;26805;;;;;;;;;;;;
16.09.2019;;26876;;;;;;;;;;;;
17.09.2019;;26990;;;;;;;;;;;;
18.09.2019;;27119;;;;;;;;;;;;
19.09.2019;;27025;;;;;;;;;;;;
20.09.2019;;27061;;;;;;;;;;;;
23.09.2019;;26984;;;;;;;;;;;;
24.09.2019;;26571;;;;;;;;;;;;
25.09.2019;;26441;;;;;;;;;;;;
26.09.2019;;26544;;;;;;;;;;;;
27.09.2019;;26533;;;;;;;;;;;;
30.09.2019;;26459;;;;;;;;;;;;
01.10.2019;;26428;;;;;;;;;;;;
02.10.2019;;26122;;;;;;;;;;;;
03.10.2019;;26168;;;;;;;;;;;;
04.10.2019;;26235;;;;;;;;;;;;
07.10.2019;;26425;;;;;;;;;;;;
08.10.2019;;25970;;;;;;;;;;;;
09.10.2019;;26889;;;;;;;;;;;;
10.10.2019;;27097;;;;;;;;;;;;
11.10.2019;;27180;;;;;;;;;;;;
14.10.2019;26981;27008;26981;26981;26981;26981;;1;1;26981;1;54016;2;
15.10.2019;;27179;;;;;;;;;;54358;2;
16.10.2019;;27174;;;;;;;;;;54348;2;
17.10.2019;27095;27083;27143;27143;27000;27000;;1;2;81286;3;216664;8;
18.10.2019;;27291;;;;;;;;;;218328;8;
21.10.2019;;27110;;;;;;;;;;216880;8;
22.10.2019;27387;27387;27387;27387;27387;27387;;2;1;54774;2;328644;12;
23.10.2019;;27343;;;;;;;;;;328116;12;
24.10.2019;;27728;;;;;;;;;;332736;12;
25.10.2019;;28060;;;;;;;;;;336720;12;
28.10.2019;28500;28737;28500;28500;28500;28500;;1;1;28500;1;402318;14;
29.10.2019;28999;29000;28998;29000;28998;29000;1,75;1;3;86996;3;580000;20;
30.10.2019;;29051;;;;;;;;;;581020;20;
31.10.2019;;28900;;;;;;;;;;578000;20;
01.11.2019;27684;29000;28492;29173;27110;29000;;1;17;1716386;62;3538000;122;
05.11.2019;;28884;;;;;;;;;;3523848;122;
06.11.2019;;29500;;;;;;;;;;3599000;122;
07.11.2019;29715;30000;29400;30000;29400;30000;;1;5;148576;5;3900000;130;
08.11.2019;;30499;;;;;;;;;;3964870;130;
11.11.2019;29959;29900;29950;30000;29900;29900;;2;7;329550;11;3887000;130;
12.11.2019;30063;30200;29950;30200;29950;30200;1,00;1;14;601250;20;3926000;130;
13.11.2019;;30311;;;;;;;;;;3940430;130;
14.11.2019;29911;29911;29911;29911;29911;29911;;2;1;59822;2;4008074;134;
15.11.2019;30087;30040;30249;30249;29995;30040;0,43;1;3;180523;6;4205600;140;
18.11.2019;;30130;;;;;;;;;;4218200;140;
19.11.2019;30431;30444;30431;30431;30431;30431;;1;1;30431;1;4323048;142;
20.11.2019;30700;30700;30700;30700;30700;30700;0,88;2;1;61400;2;4482200;146;
21.11.2019;;30899;;;;;;;;;;4511254;146;
22.11.2019;30499;30495;30497;30502;30495;30495;;1;4;121995;4;4696230;154;
25.11.2019;30808;30364;30800;31000;30307;30364;-0,43;1;27;1817652;59;6133528;202;
26.11.2019;30429;30298;30459;30460;30318;30423;0,19;1;5;213002;7;5938408;196;
27.11.2019;30150;30129;30150;30150;30150;30150;-0,90;1;5;150750;5;5905284;196;
28.11.2019;29933;29758;30461;30461;29758;29758;-1,30;2;8;808181;27;5534988;186;
29.11.2019;30014;29837;30126;30127;29845;29845;0,29;1;5;150070;5;5549682;186;
02.12.2019;;29759;;;;;;;;;;5535174;186;
03.12.2019;;29403;;;;;;;;;;5468958;186;
04.12.2019;29671;29600;29689;29689;29600;29600;;1;5;148356;5;5801600;196;
05.12.2019;29714;29899;29109;29899;29109;29899;1,01;1;16;505139;17;6039598;202;
06.12.2019;29738;29678;29499;29839;29499;29835;-0,21;1;8;237907;8;6054312;204;
09.12.2019;29528;29718;29100;29721;29095;29721;-0,38;1;100;3070926;104;10936224;368;
10.12.2019;;29411;;;;;;;;;;10823248;368;
11.12.2019;29527;29661;29499;29661;29480;29560;;1;105;9389649;318;27584730;930;
12.12.2019;30108;30050;29790;30216;29790;30050;1,66;1;6;632270;21;27946500;930;
13.12.2019;29785;29713;29176;29913;29176;29713;-1,12;4;5;357418;12;27870794;938;
16.12.2019;30041;29745;30038;30190;29745;29745;0,11;3;40;3394617;113;33433380;1124;
17.12.2019;30204;30227;30024;30360;29922;30227;1,62;1;24;1359165;45;35063320;1160;
18.12.2019;30528;30388;30301;30778;30107;30388;0,53;2;141;10409982;341;45946656;1512;
19.12.2019;30420;30249;30698;30700;30146;30309;-0,26;1;164;8700093;286;50031846;1654;
20.12.2019;30247;30354;30251;30365;30053;30362;0,18;1;93;4567257;151;49719852;1638;
23.12.2019;30547;30514;30320;30743;30200;30520;0,52;1;209;10355565;339;52545108;1722;
24.12.2019;30413;30422;30547;30594;30242;30412;-0,35;1;165;9488931;312;51169804;1682;
25.12.2019;30639;30800;30323;30854;30323;30847;1,43;1;135;8241804;269;53407200;1734;
26.12.2019;30896;30945;30803;30983;30605;30949;0,33;1;169;10411889;337;60033300;1940;
27.12.2019;31058;30924;30999;31290;30818;30955;0,02;2;246;10963353;353;61600608;1992;
30.12.2019;31124;31144;31073;31320;30885;31152;0,64;1;168;10768973;346;59049024;1896;
03.01.2020;31116;31113;31061;31180;30809;31123;-0,09;3;127;8339106;268;63283842;2034;
06.01.2020;31284;31244;31185;33133;31069;33133;6,46;5;92;5631170;180;63237856;2024;
08.01.2020;31463;31696;32100;32129;31132;31567;-4,73;1;424;27750176;882;65927680;2080;
09.01.2020;32040;32460;31670;32500;31504;32363;2,52;1;622;42997236;1342;80760480;2488;
10.01.2020;32451;32174;32386;32999;32079;32130;-0,72;6;397;28037351;864;68144532;2118;
13.01.2020;31951;32075;32035;32220;31785;32129;0,00;1;285;18179963;569;66331100;2068;
14.01.2020;32199;31871;32175;32294;31863;31897;-0,72;1;180;16968879;527;82482148;2588;
15.01.2020;31913;32043;32099;32145;31705;32121;0,70;1;217;14935303;468;81196962;2534;
16.01.2020;32065;32124;32045;32390;31874;32246;0,39;1;257;18277094;570;86670552;2698;
17.01.2020;32310;32408;32298;32454;31983;32432;0,58;1;258;26655939;825;103381520;3190;
20.01.2020;32630;32873;32485;32923;32341;32918;1,50;1;247;14389929;441;104141664;3168;
21.01.2020;32908;33080;32809;33298;32522;33140;0,67;1;305;21126677;642;108568560;3282;
22.01.2020;33505;33600;33203;33800;33196;33563;1,28;1;393;35447881;1058;113299200;3372;
23.01.2020;33338;33162;33600;33780;32833;33111;-1,35;1;441;33071657;992;107511204;3242;
24.01.2020;33554;33820;33180;33860;33180;33820;2,14;1;185;15837708;472;109373880;3234;
27.01.2020;33311;32857;33790;33862;32720;32917;-2,67;1;442;40439181;1214;94496732;2876;
28.01.2020;33018;32862;32713;33347;32713;32870;-0,14;1;316;27603434;836;91750704;2792;
29.01.2020;32886;32988;32786;33050;32681;33041;0,52;1;272;16113906;490;92168472;2794;
30.01.2020;33080;33226;33154;33395;32616;33226;0,56;1;509;27158695;821;92168924;2774;
31.01.2020;33144;32823;33135;33500;32783;32871;-1,07;1;274;16903479;510;91641816;2792;
03.02.2020;33168;33276;32622;33390;32523;33275;1,23;2;425;32305980;974;102756288;3088;
04.02.2020;33483;33427;33112;33778;33100;33419;0,43;1;280;23036412;688;97406278;2914;
05.02.2020;33432;33278;33414;33700;33192;33268;-0,45;1;395;27146731;812;99834000;3000;
06.02.2020;33302;33217;33479;33539;33012;33251;-0,05;1;261;17849685;536;97790848;2944;
07.02.2020;33215;33220;33306;33519;32895;33255;0,01;1;409;29295620;882;90159080;2714;
10.02.2020;33092;33141;33282;33343;32834;33151;-0,31;1;261;16976190;513;90276084;2724;
11.02.2020;33284;33353;33131;33519;33000;33370;0,66;1;267;17008148;511;91654044;2748;
12.02.2020;33662;33994;33357;34129;33235;34000;1,89;1;341;19187151;570;89540196;2634;
13.02.2020;33975;33852;33983;34122;33783;33851;-0,44;2;216;13929858;410;89707800;2650;
14.02.2020;34072;34137;33711;34204;33710;34136;0,84;1;258;19216558;564;88210008;2584;
17.02.2020;34239;34207;34113;34375;34011;34174;0,11;1;187;14072032;411;85996398;2514;
18.02.2020;34077;34166;34269;34395;33869;34220;0,14;1;271;19764546;580;91974872;2692;
19.02.2020;34691;34915;34200;34982;34014;34885;1,94;1;313;18629304;537;96993870;2778;
20.02.2020;35127;34811;34999;35330;34807;34811;-0,21;2;393;28874577;822;98793618;2838;
21.02.2020;34922;35089;34702;35400;34580;35110;0,86;1;451;35654858;1021;106810916;3044;
25.02.2020;34515;33899;34813;34813;33850;33850;-3,59;1;503;39968242;1158;106307264;3136;
26.02.2020;33627;34095;33813;34350;33181;34019;0,50;5;635;48692379;1448;96011520;2816;
27.02.2020;33304;32843;34008;34024;32715;32891;-3,32;1;553;34402534;1033;82304558;2506;
28.02.2020;32279;32222;33250;33405;30672;32379;-1,56;3;1202;78277068;2425;83132760;2580;
02.03.2020;32462;32785;32143;33322;31517;32785;1,25;2;1069;92028995;2835;80716670;2462;
03.03.2020;33022;32904;33000;33550;32581;32986;0,61;1;866;51414877;1557;79496064;2416;
04.03.2020;32405;32950;32570;33190;32079;32960;-0,08;1;442;28224860;871;74071600;2248;
05.03.2020;32897;33037;33129;33159;32551;32991;0,09;5;265;15494399;471;80213836;2428;
06.03.2020;31921;31894;33130;33130;31269;32020;-2,94;1;779;38401463;1203;82350308;2582;
10.03.2020;30682;29344;31842;32135;28054;29380;-8,24;1;1577;116285736;3790;61387648;2092;
11.03.2020;29310;29251;29916;30634;28378;29395;0,05;1;347;18231086;622;69207866;2366;
12.03.2020;28373;27298;29313;29850;27214;27285;-7,18;1;1301;126912017;4473;81621020;2990;
13.03.2020;27967;26798;27001;29335;25631;26798;-1,78;3;1124;86669977;3099;76427896;2852;
16.03.2020;26284;26676;27098;27978;23500;26640;-0,59;9;933;82584271;3142;93152592;3492;
17.03.2020;26284;26658;25600;27146;25600;26683;0,16;1;579;50884967;1936;86211972;3234;
18.03.2020;26021;25878;26740;27299;25350;25882;-3,00;1;621;51782540;1990;52014780;2010;
19.03.2020;26164;26518;25750;26650;25076;26520;2,46;1;349;23835389;911;33465716;1262;
