Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.12.2018;;23258;;;;;;;;;;;;
12.12.2018;;24227;;;;;;;;;;;;
13.12.2018;;24251;;;;;;;;;;;;
14.12.2018;;24401;;;;;;;;;;;;
17.12.2018;;24238;;;;;;;;;;;;
18.12.2018;;24744;;;;;;;;;;;;
19.12.2018;;24895;;;;;;;;;;;;
20.12.2018;;25180;;;;;;;;;;;;
21.12.2018;;25180;;;;;;;;;;;;
24.12.2018;;24280;;;;;;;;;;;;
25.12.2018;;24063;;;;;;;;;;;;
26.12.2018;;24248;;;;;;;;;;;;
27.12.2018;;24211;;;;;;;;;;;;
28.12.2018;;24491;;;;;;;;;;;;
29.12.2018;;24498;;;;;;;;;;;;
03.01.2019;;24777;;;;;;;;;;;;
04.01.2019;;25687;;;;;;;;;;;;
08.01.2019;;25867;;;;;;;;;;;;
09.01.2019;;25877;;;;;;;;;;;;
10.01.2019;25850;25850;25850;25850;25850;25850;;1;1;25850;1;51700;2;
11.01.2019;;26130;;;;;;;;;;52260;2;
14.01.2019;25911;26189;25002;27399;25001;27399;;5;9;414580;16;157134;6;
15.01.2019;;26011;;;;;;;;;;156066;6;
16.01.2019;;25980;;;;;;;;;;155880;6;
17.01.2019;;26325;;;;;;;;;;157950;6;
18.01.2019;;26447;;;;;;;;;;158682;6;
21.01.2019;26499;26499;26499;26499;26499;26499;;1;1;26499;1;211992;8;
22.01.2019;26421;26335;26593;26593;26335;26335;-0,62;2;2;79263;3;316020;12;
23.01.2019;;27186;;;;;;;;;;326232;12;
24.01.2019;27212;27178;27212;27212;27212;27212;;1;1;27212;1;326136;12;
25.01.2019;;26786;;;;;;;;;;321432;12;
28.01.2019;;26530;;;;;;;;;;318360;12;
29.01.2019;26687;26680;26690;26692;26680;26680;;1;3;80062;3;320160;12;
30.01.2019;;26690;;;;;;;;;;320280;12;
31.01.2019;;26846;;;;;;;;;;322152;12;
01.02.2019;;26895;;;;;;;;;;322740;12;
04.02.2019;;27099;;;;;;;;;;325188;12;
05.02.2019;;27209;;;;;;;;;;326508;12;
06.02.2019;;27003;;;;;;;;;;324036;12;
07.02.2019;26704;26704;26704;26704;26704;26704;;1;1;26704;1;373856;14;
08.02.2019;26361;26100;26604;26604;26016;26159;-2,04;1;6;158163;6;522000;20;
11.02.2019;24835;25301;26032;26032;24570;24570;-6,07;5;8;645707;26;1619264;64;
12.02.2019;;26185;;;;;;;;;;1675840;64;
13.02.2019;;26154;;;;;;;;;;1673856;64;
14.02.2019;26200;26344;26200;26200;26200;26200;;1;1;26200;1;1686016;64;
15.02.2019;;26610;;;;;;;;;;1703040;64;
18.02.2019;26123;26196;26050;26196;26050;26196;;1;2;52246;2;1728936;66;
19.02.2019;;25725;;;;;;;;;;1697850;66;
20.02.2019;25819;25700;26175;26175;25700;25700;;1;4;103275;4;1901800;74;
21.02.2019;25300;25300;25300;25300;25300;25300;-1,56;3;1;75900;3;2024000;80;
22.02.2019;;25661;;;;;;;;;;2052880;80;
25.02.2019;;25666;;;;;;;;;;2053280;80;
26.02.2019;25886;25837;25934;25934;25837;25837;;1;2;51771;2;2170308;84;
27.02.2019;26028;25750;26084;26084;25750;25750;-0,34;1;2;156170;6;2472000;96;
28.02.2019;25502;25502;25502;25502;25502;25502;-0,96;1;1;25502;1;2397188;94;
01.03.2019;26001;25825;26059;26062;25825;25825;1,27;1;3;104005;4;2582500;100;
04.03.2019;26303;26286;26184;26333;26184;26333;1,97;8;3;263033;10;3101748;118;
05.03.2019;26214;26224;26193;26225;26193;26225;-0,41;2;2;78643;3;3251776;124;
06.03.2019;;26258;;;;;;;;;;3255992;124;
07.03.2019;25743;25777;25726;25777;25726;25777;;1;2;77229;3;3247902;126;
11.03.2019;26062;25950;26110;26121;25901;25901;0,48;2;5;208495;8;3633000;140;
12.03.2019;26409;26343;26673;26673;26340;26343;1,71;1;4;132043;5;3951450;150;
13.03.2019;26218;26150;26257;26257;26050;26050;-1,11;2;42;2962648;113;9518600;364;
14.03.2019;26189;26060;26500;26500;26000;26000;-0,19;3;6;261888;10;9798560;376;
15.03.2019;26402;26271;26639;26639;26332;26345;1,33;1;30;3194582;121;15867684;604;
18.03.2019;26319;26700;26210;26700;26160;26700;1,35;1;229;31240651;1187;71609400;2682;
19.03.2019;26673;26496;26850;26949;26428;26428;-1,02;2;329;26272756;985;104129280;3930;
20.03.2019;26403;26098;26617;26796;26065;26077;-1,33;10;493;26165454;991;121616680;4660;
21.03.2019;26689;27175;25895;27688;25755;26978;3,46;3;910;70165415;2629;195605650;7198;
22.03.2019;26932;26845;27000;27095;26718;26845;-0,49;3;341;15108653;561;202411300;7540;
25.03.2019;26565;26381;26710;26836;26275;26370;-1,77;4;502;26750945;1007;212578098;8058;
26.03.2019;26433;26456;26340;26728;26202;26354;-0,06;2;241;14273747;540;227627424;8604;
27.03.2019;26309;26100;26357;26520;26011;26012;-1,30;1;274;12391665;471;231454800;8868;
28.03.2019;25862;25658;26079;26325;25643;25658;-1,36;1;316;22965595;888;243597052;9494;
29.03.2019;25516;25430;25711;25836;25300;25457;-0,78;1;381;26383118;1034;265285760;10432;
01.04.2019;25464;25530;25396;25613;25291;25515;0,23;1;515;26482780;1040;280013040;10968;
02.04.2019;25740;25920;25441;26053;25441;25920;1,59;3;963;68699945;2669;379987200;14660;
03.04.2019;26104;26065;25885;26249;25865;26065;0,56;2;316;14174673;543;389254710;14934;
