Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
12.03.2019;;26807;;;;;;;;;;;;
13.03.2019;;27015;;;;;;;;;;;;
14.03.2019;;26843;;;;;;;;;;;;
15.03.2019;;26980;;;;;;;;;;;;
18.03.2019;;26882;;;;;;;;;;;;
19.03.2019;;27066;;;;;;;;;;;;
20.03.2019;;26766;;;;;;;;;;;;
21.03.2019;27225;27222;27154;27254;27154;27254;;1;3;163348;6;326664;12;
22.03.2019;;26984;;;;;;;;;;323808;12;
25.03.2019;;26418;;;;;;;;;;317016;12;
26.03.2019;;26410;;;;;;;;;;316920;12;
27.03.2019;;26047;;;;;;;;;;312564;12;
28.03.2019;;25815;;;;;;;;;;309780;12;
29.03.2019;25100;25489;25100;25100;25100;25100;;1;1;25100;1;356846;14;
01.04.2019;;25498;;;;;;;;;;356972;14;
02.04.2019;;25599;;;;;;;;;;358386;14;
03.04.2019;;25729;;;;;;;;;;360206;14;
04.04.2019;;25722;;;;;;;;;;360108;14;
05.04.2019;;26204;;;;;;;;;;366856;14;
08.04.2019;25407;25120;25420;25420;25401;25401;;2;2;76222;3;452160;18;
09.04.2019;25161;25115;25194;25194;25127;25127;-1,08;1;2;50321;2;452070;18;
10.04.2019;;24988;;;;;;;;;;449784;18;
11.04.2019;25008;25596;24992;25043;24981;25043;;2;10;550169;22;1330992;52;
12.04.2019;;25192;;;;;;;;;;1309984;52;
15.04.2019;;25109;;;;;;;;;;1305668;52;
16.04.2019;24542;24542;24542;24542;24542;24542;;2;1;49084;2;1374352;56;
17.04.2019;;24891;;;;;;;;;;1393896;56;
18.04.2019;;24824;;;;;;;;;;1390144;56;
19.04.2019;;24980;;;;;;;1;99296;4;1398880;56;
22.04.2019;;24944;;;;;;;;;;1396864;56;
23.04.2019;;24787;;;;;;;;;;1388072;56;
24.04.2019;;24669;;;;;;;;;;1381464;56;
25.04.2019;24532;24289;24532;24532;24532;24532;;1;1;24532;1;1360184;56;
26.04.2019;;24416;;;;;;;;;;1367296;56;
29.04.2019;;24302;;;;;;;;;;1360912;56;
30.04.2019;;24250;;;;;;;;;;1358000;56;
02.05.2019;;24865;;;;;;;;;;1392440;56;
03.05.2019;25131;25140;25122;25140;25122;25140;;6;6;502617;20;1659240;66;
06.05.2019;;24870;;;;;;;;;;1641420;66;
07.05.2019;24542;24542;24542;24542;24542;24542;;3;1;73626;3;1767024;72;
08.05.2019;;24711;;;;;;;;;;1779192;72;
10.05.2019;;24248;;;;;;;;;;1745856;72;
13.05.2019;;24206;;;;;;;;;;1742832;72;
14.05.2019;;24196;;;;;;;;;;1742112;72;
15.05.2019;24383;24387;24380;24387;24380;24387;;1;3;73148;3;1853412;76;
16.05.2019;24055;24053;24056;24056;24053;24053;-1,37;1;3;120274;5;1972346;82;
17.05.2019;;23939;;;;;;;;;;1962998;82;
20.05.2019;24486;24271;24593;24593;24271;24271;;1;3;73457;3;2135848;88;
21.05.2019;24186;24152;24200;24200;24152;24152;-0,49;1;3;169304;7;2415200;100;
