Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.06.2019;26050;26027;28000;28000;24100;24100;;1;2;52100;2;;;
13.06.2019;;26021;;;;;;;;;;;;
14.06.2019;;26036;;;;;;;;;;;;
17.06.2019;;26008;;;;;;;;;;;;
18.06.2019;;26399;;;;;;;;;;;;
19.06.2019;;26189;;;;;;;;;;;;
20.06.2019;;26467;;;;;;;;;;;;
21.06.2019;;25778;;;;;;;;;;;;
24.06.2019;;25921;;;;;;;;;;;;
25.06.2019;;25996;;;;;;;;;;;;
26.06.2019;;26692;;;;;;;;;;;;
27.06.2019;;26499;;;;;;;;;;;;
28.06.2019;;26563;;;;;;;;;;;;
01.07.2019;;26568;;;;;;;;;;;;
02.07.2019;;26065;;;;;;;;;;;;
03.07.2019;;26235;;;;;;;;;;;;
04.07.2019;;26322;;;;;;;;;;;;
05.07.2019;;26306;;;;;;;;;;;;
08.07.2019;;26767;;;;;;;;;;;;
09.07.2019;;27001;;;;;;;;;;;;
10.07.2019;;26709;;;;;;;;;;;;
11.07.2019;26700;26700;26700;26700;26700;26700;;2;1;53400;2;106800;4;
12.07.2019;;26713;;;;;;;;;;106852;4;
15.07.2019;;26678;;;;;;;;;;106712;4;
16.07.2019;25749;26365;25749;25749;25749;25749;;1;1;25749;1;158190;6;
17.07.2019;;26315;;;;;;;;;;157890;6;
18.07.2019;26315;26047;26315;26315;26315;26315;;2;1;52630;2;260470;10;
19.07.2019;;26021;;;;;;;;;;260210;10;
22.07.2019;;26020;;;;;;;;;;260200;10;
23.07.2019;;26328;;;;;;;;;;263280;10;
24.07.2019;25934;25996;25934;25934;25934;25934;;1;1;25934;1;311952;12;
25.07.2019;;26261;;;;;;;;;;315132;12;
26.07.2019;;26373;;;;;;;;;;316476;12;
29.07.2019;;26231;;;;;;;;;;314772;12;
30.07.2019;26993;26657;27343;27343;26556;26657;;1;10;539856;20;1226222;46;
31.07.2019;26853;26617;26853;26853;26853;26853;0,74;2;1;53706;2;1330850;50;
01.08.2019;25998;26207;25998;25998;25998;25998;-3,18;1;1;25998;1;1257936;48;
02.08.2019;;25851;;;;;;;;;;1240848;48;
05.08.2019;26153;25918;26409;26447;25925;25925;;1;5;235375;9;1710588;66;
06.08.2019;25937;26000;25595;27500;25580;26000;0,29;1;10;363119;14;1664000;64;
07.08.2019;25980;25980;25980;25980;25980;25980;-0,08;6;1;155880;6;1974480;76;
08.08.2019;26037;25996;26167;26167;25987;25996;0,06;1;4;104148;4;1819720;70;
09.08.2019;;25976;;;;;;;;;;1818320;70;
12.08.2019;;25944;;;;;;;;;;1816080;70;
13.08.2019;25492;25477;25622;25622;25459;25459;;4;5;280417;11;1324804;52;
14.08.2019;25174;25337;25342;25342;24297;24297;-4,56;1;6;176221;7;1216176;48;
15.08.2019;;25725;;;;;;;;;;1234800;48;
16.08.2019;;25285;;;;;;;;;;1213680;48;
19.08.2019;25612;25580;25612;25612;25612;25612;;1;1;25612;1;1279000;50;
20.08.2019;25188;25069;25490;25490;25014;25014;-2,34;2;3;125940;5;1253450;50;
21.08.2019;25567;25574;25547;25574;25547;25574;2,24;3;2;102269;4;1329848;52;
22.08.2019;;25718;;;;;;;;;;1337336;52;
23.08.2019;24971;25247;25220;25220;24222;24222;;1;4;99882;4;1211856;48;
26.08.2019;25642;25642;25642;25642;25642;25642;5,86;1;1;25642;1;1282100;50;
27.08.2019;26098;26102;25800;26388;25800;26102;1,79;1;4;104392;4;1357304;52;
28.08.2019;25858;25858;25858;25858;25858;25858;-0,94;1;3;103432;4;1292900;50;
29.08.2019;26324;26283;26324;26324;26324;26324;1,80;1;1;26324;1;1314150;50;
30.08.2019;26472;26502;26389;26609;26389;26503;0,68;1;12;344137;13;1749132;66;
02.09.2019;26602;26602;26602;26602;26602;26602;0,37;1;1;26602;1;1808936;68;
03.09.2019;26447;26204;26565;26575;26202;26202;-1,50;1;3;79342;3;1834280;70;
04.09.2019;26946;27002;26612;27000;26612;27000;3,05;1;6;323346;12;1944144;72;
05.09.2019;27242;27111;27001;27499;27000;27111;0,41;1;116;3459757;127;8567076;316;
06.09.2019;27084;27006;27127;27127;27003;27003;-0,40;1;7;595852;22;9668148;358;
09.09.2019;27013;26803;27276;27276;26803;26803;-0,74;1;20;1107513;41;11793320;440;
10.09.2019;26838;26843;26600;26960;26600;26864;0,23;1;61;2334907;87;16481602;614;
11.09.2019;26970;26751;26777;27190;26745;26745;-0,44;1;13;539394;20;17067138;638;
12.09.2019;26650;26462;26762;26792;26460;26460;-1,07;1;37;3038080;114;21381296;808;
13.09.2019;26488;26341;26475;26564;26301;26341;-0,45;1;20;2277944;86;25708816;976;
16.09.2019;26403;26300;26200;26571;26200;26571;0,87;1;54;6521425;247;37819400;1438;
17.09.2019;26560;26605;26582;26683;26300;26605;0,13;1;82;3559080;134;41557010;1562;
18.09.2019;26720;26819;26565;26930;26565;26819;0,80;2;135;9432124;353;56051710;2090;
19.09.2019;26832;26588;26917;26973;26550;26588;-0,86;2;336;22351303;833;73755112;2774;
20.09.2019;26553;26597;26924;26924;26400;26657;0,26;1;358;35899283;1352;99951526;3758;
23.09.2019;26592;26560;26446;26855;26352;26562;-0,36;1;478;41430634;1558;137474560;5176;
24.09.2019;26432;26254;26451;26619;26179;26300;-0,99;1;415;29762276;1126;162827308;6202;
25.09.2019;26119;26015;26215;26317;25800;26015;-1,08;1;1069;60962489;2334;183613870;7058;
26.09.2019;26171;26113;26063;26260;25850;26113;0,38;1;275;20910737;799;198458800;7600;
27.09.2019;26075;26181;26205;26239;25952;26181;0,26;2;223;15566578;597;205835022;7862;
30.09.2019;26172;26060;26181;26345;26022;26060;-0,46;2;217;21670028;828;209887240;8054;
01.10.2019;26019;26073;25932;26200;25578;26073;0,05;1;348;16834460;647;208740438;8006;
02.10.2019;25984;25771;26069;26106;25762;25762;-1,19;1;784;35858207;1380;221372890;8590;
03.10.2019;25752;25775;25730;25870;25621;25775;0,05;1;1004;44345105;1722;226974650;8806;
04.10.2019;25814;25879;25916;25918;25721;25879;0,40;1;571;24548886;951;223646318;8642;
07.10.2019;25950;26009;25889;26090;25807;26001;0,47;2;333;16711965;644;219099816;8424;
08.10.2019;25848;25686;26000;26031;25650;25720;-1,08;1;387;18946293;733;221259204;8614;
09.10.2019;26180;26425;25724;26509;25578;26430;2,76;2;1347;74534713;2847;227942050;8626;
10.10.2019;26533;26670;26415;26680;26365;26659;0,87;1;518;26055101;982;235869480;8844;
11.10.2019;26839;26990;26645;27019;26625;26990;1,24;1;865;50377664;1877;251600780;9322;
14.10.2019;26883;26750;26984;27073;26728;26750;-0,89;1;357;27662782;1029;246421000;9212;
15.10.2019;26803;26998;26779;27000;26605;26985;0,88;1;369;26106069;974;250163468;9266;
16.10.2019;26977;26994;26965;27034;26934;26990;0,02;1;152;7877180;292;251152176;9304;
17.10.2019;26824;26836;26960;26960;26670;26857;-0,49;1;330;22076266;823;248984408;9278;
18.10.2019;26962;27119;26845;27145;26725;27119;0,98;1;439;30952053;1148;254538934;9386;
21.10.2019;26976;26940;27122;27125;26840;26910;-0,77;1;246;14054733;521;250326480;9292;
22.10.2019;27092;27198;26901;27299;26890;27185;1,02;1;344;18395174;679;254464488;9356;
23.10.2019;27161;27268;27170;27318;27001;27262;0,28;1;447;26454530;974;261772800;9600;
24.10.2019;27708;27761;27266;28310;27170;27784;1,92;1;1170;95759506;3456;281218930;10130;
25.10.2019;27883;28070;27850;28143;27532;28016;0,84;1;412;21720844;779;284966640;10152;
28.10.2019;28509;28705;28120;28828;27780;28665;2,32;1;579;33099388;1161;292618770;10194;
29.10.2019;28721;28824;28701;28851;28500;28843;0,62;1;272;14906167;519;303747312;10538;
30.10.2019;28898;29006;28560;29053;28560;29012;0,59;1;215;15345011;531;300850232;10372;
31.10.2019;28769;28586;29096;29097;28509;28529;-1,66;1;227;15362862;534;292263264;10224;
01.11.2019;28743;28752;28528;28909;28507;28743;0,75;2;205;11037332;384;294995520;10260;
05.11.2019;28996;29044;28765;29179;28765;29046;1,05;2;157;8524818;294;297526736;10244;
06.11.2019;29126;29308;29000;29322;28907;29322;0,95;1;174;10194173;350;301637936;10292;
07.11.2019;29701;29996;29264;30064;29154;30000;2,31;1;442;31364576;1056;316157840;10540;
08.11.2019;30096;30048;29994;30410;29834;29920;-0,27;1;240;14145098;470;318028032;10584;
11.11.2019;29853;29881;29852;30154;29700;29881;-0,13;1;160;7791568;261;315005502;10542;
12.11.2019;30204;30003;29911;30467;29910;29986;0,35;5;418;27334643;905;325172514;10838;
13.11.2019;29919;29950;29906;30066;29728;29902;-0,28;4;272;13433634;449;330648000;11040;
14.11.2019;29973;29829;30224;30224;29828;29836;-0,22;4;145;8092792;270;331996770;11130;
15.11.2019;29951;30050;30007;30142;29726;30068;0,78;2;186;10572632;353;335718600;11172;
18.11.2019;29857;29765;30300;30349;29554;29746;-1,07;2;220;12808623;429;325331450;10930;
19.11.2019;30346;30592;29450;30660;29450;30623;2,95;2;349;19543026;644;344710656;11268;
20.11.2019;30713;30688;30597;30934;30406;30705;0,27;1;308;19226638;626;350395584;11418;
21.11.2019;30554;30650;30693;30728;30450;30650;-0,18;1;167;9960498;326;348245300;11362;
22.11.2019;30734;30601;30509;30904;30509;30601;-0,16;1;166;8421187;274;349035006;11406;
25.11.2019;31377;31052;30539;31800;30528;31016;1,36;2;654;50580051;1612;352315992;11346;
26.11.2019;30830;30682;30980;31283;30643;30682;-1,08;1;266;16463055;534;338606552;11036;
27.11.2019;30713;30700;31200;31499;30471;30705;0,08;1;275;16370159;533;338129800;11014;
28.11.2019;30595;30660;30798;30800;30491;30660;-0,15;1;102;4589248;150;337811880;11018;
29.11.2019;30534;30453;30694;30789;30405;30410;-0,82;1;110;4641236;152;335896590;11030;
02.12.2019;30698;30575;30462;30800;30462;30624;0,70;6;252;10959091;357;336202700;10996;
03.12.2019;30309;30279;30550;30670;30020;30274;-1,14;1;361;20185577;666;332281746;10974;
04.12.2019;30348;30351;30054;30570;30054;30349;0,25;1;103;6008845;198;331190112;10912;
05.12.2019;30417;30392;30345;30599;30016;30392;0,14;1;239;12774971;420;323917936;10658;
06.12.2019;30270;30149;30548;30548;30131;30162;-0,76;5;186;9777351;323;320242678;10622;
09.12.2019;30234;30261;30206;30500;30064;30261;0,33;1;302;12607409;417;319556160;10560;
10.12.2019;30253;30245;30182;30425;30161;30213;-0,16;1;133;7412063;245;318056420;10516;
11.12.2019;30475;30557;30307;30588;30200;30559;1,14;1;772;44554453;1462;328182180;10740;
12.12.2019;30701;30556;30577;30919;30526;30552;-0,02;1;330;19986517;651;321021336;10506;
13.12.2019;30462;30445;30501;30626;30340;30437;-0,38;1;268;12824519;421;319307160;10488;
16.12.2019;30710;30700;30565;30958;30498;30672;0,77;1;722;36697979;1195;318727400;10382;
17.12.2019;30945;31007;30725;31076;30725;31026;1,15;1;326;19309565;624;319372100;10300;
18.12.2019;31392;31359;31070;31600;30995;31354;1,06;1;575;31956691;1018;302927940;9660;
19.12.2019;31376;31175;31158;31700;31091;31700;1,10;1;303;18417671;587;282009050;9046;
