<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;60;20190103;110000;240.8500000;240.9000000;238.5000000;239.3500000;88310
MTSS;60;20190103;120000;239.4000000;239.6000000;237.0000000;237.1000000;106320
MTSS;60;20190103;130000;237.2000000;238.9000000;237.2000000;238.2500000;42300
MTSS;60;20190103;140000;238.0000000;239.0000000;237.9500000;238.7500000;26400
MTSS;60;20190103;150000;238.7500000;239.4500000;238.4500000;239.1000000;70030
MTSS;60;20190103;160000;238.9500000;239.4000000;238.7500000;239.1000000;22340
MTSS;60;20190103;170000;239.1000000;239.5500000;238.6500000;238.8500000;27560
MTSS;60;20190103;180000;239.0000000;241.5000000;238.7000000;241.3500000;439010
MTSS;60;20190103;190000;241.3500000;241.3500000;239.1000000;240.5000000;112380
MTSS;60;20190104;110000;240.4000000;241.9000000;240.4000000;241.3000000;72570
MTSS;60;20190104;120000;241.1000000;242.4500000;240.5500000;240.7500000;142360
MTSS;60;20190104;130000;240.6500000;241.1500000;240.0500000;240.8000000;32970
MTSS;60;20190104;140000;240.6000000;241.1000000;240.1500000;240.3500000;18510
MTSS;60;20190104;150000;240.3500000;241.2500000;239.8500000;240.9000000;50650
MTSS;60;20190104;160000;240.8500000;241.0000000;240.0500000;240.3500000;14830
MTSS;60;20190104;170000;240.3500000;240.9500000;239.5500000;240.9500000;44510
MTSS;60;20190104;180000;240.9500000;246.6000000;240.3000000;245.9500000;1101680
MTSS;60;20190104;190000;246.1500000;248.6000000;245.5500000;248.6000000;591300
MTSS;60;20190108;110000;248.7500000;249.8500000;247.7000000;249.0000000;243690
MTSS;60;20190108;120000;249.0000000;250.5000000;248.3000000;248.3000000;278990
MTSS;60;20190108;130000;248.3000000;248.7000000;248.1000000;248.2500000;69310
MTSS;60;20190108;140000;248.4000000;249.2000000;248.1500000;248.8500000;37690
MTSS;60;20190108;150000;248.8000000;249.4500000;248.3000000;248.4500000;63730
MTSS;60;20190108;160000;248.4000000;248.9500000;248.3000000;248.3000000;33350
MTSS;60;20190108;170000;248.3500000;249.0000000;248.0500000;248.1000000;39890
MTSS;60;20190108;180000;248.1500000;252.8000000;248.1500000;252.2500000;828330
MTSS;60;20190108;190000;252.1500000;253.0000000;250.0500000;250.0500000;336220
MTSS;60;20190109;110000;252.7000000;253.3500000;250.0000000;250.9500000;263810
MTSS;60;20190109;120000;250.9000000;251.0000000;250.0500000;250.8500000;79000
MTSS;60;20190109;130000;250.7000000;250.9000000;250.0000000;250.2500000;63560
MTSS;60;20190109;140000;250.3000000;250.3500000;249.3000000;249.8000000;103120
MTSS;60;20190109;150000;249.8500000;249.9000000;249.1000000;249.1500000;69680
MTSS;60;20190109;160000;249.3000000;251.6500000;249.1000000;249.9000000;159010
MTSS;60;20190109;170000;250.0000000;250.5500000;249.2000000;250.2000000;111600
MTSS;60;20190109;180000;250.3000000;252.1000000;249.1500000;251.8500000;1016010
MTSS;60;20190109;190000;251.8500000;252.3000000;249.9000000;252.0000000;465260
MTSS;60;20190110;110000;251.1500000;251.8500000;249.1500000;249.7000000;111930
MTSS;60;20190110;120000;249.6500000;250.7500000;249.2000000;250.0000000;126090
MTSS;60;20190110;130000;250.0000000;251.0000000;249.9500000;250.2500000;80810
MTSS;60;20190110;140000;250.2500000;251.6500000;250.2500000;251.0500000;141360
MTSS;60;20190110;150000;251.0500000;251.7000000;251.0500000;251.4000000;90920
MTSS;60;20190110;160000;251.5000000;252.0000000;251.1000000;251.9500000;171670
MTSS;60;20190110;170000;251.8500000;252.4000000;251.7500000;251.9500000;170880
MTSS;60;20190110;180000;251.9500000;254.8500000;251.7500000;254.3500000;742220
MTSS;60;20190110;190000;254.3500000;256.0000000;253.8500000;256.0000000;679390
MTSS;60;20190111;110000;255.0000000;255.0000000;253.6500000;254.4000000;144980
MTSS;60;20190111;120000;254.4000000;255.4000000;253.8000000;254.0000000;147630
MTSS;60;20190111;130000;254.0500000;254.9500000;254.0000000;254.5500000;63460
MTSS;60;20190111;140000;254.5000000;254.6500000;253.6500000;254.3000000;117130
