<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.POLY-6.21;60;20210104;190000;20993.0000000;20993.0000000;20993.0000000;20993.0000000;1
SPFB.POLY-6.21;60;20210104;210000;20691.0000000;20691.0000000;20691.0000000;20691.0000000;1
SPFB.POLY-6.21;60;20210105;130000;16893.0000000;21780.0000000;16893.0000000;21780.0000000;11
SPFB.POLY-6.21;60;20210108;150000;18748.0000000;18748.0000000;18748.0000000;18748.0000000;1
SPFB.POLY-6.21;60;20210114;110000;17511.0000000;17676.0000000;15064.0000000;16700.0000000;25
SPFB.POLY-6.21;60;20210115;230000;16700.0000000;16700.0000000;16700.0000000;16700.0000000;1
SPFB.POLY-6.21;60;20210118;190000;16950.0000000;16999.0000000;16950.0000000;16999.0000000;4
SPFB.POLY-6.21;60;20210120;140000;16849.0000000;16850.0000000;16849.0000000;16850.0000000;3
SPFB.POLY-6.21;60;20210121;110000;16900.0000000;16900.0000000;16900.0000000;16900.0000000;4
SPFB.POLY-6.21;60;20210122;160000;17000.0000000;17000.0000000;17000.0000000;17000.0000000;1
SPFB.POLY-6.21;60;20210125;110000;17244.0000000;17244.0000000;17244.0000000;17244.0000000;1
SPFB.POLY-6.21;60;20210125;140000;17648.0000000;17648.0000000;17648.0000000;17648.0000000;1
SPFB.POLY-6.21;60;20210125;180000;17646.0000000;17646.0000000;17646.0000000;17646.0000000;1
SPFB.POLY-6.21;60;20210125;190000;17250.0000000;17250.0000000;17250.0000000;17250.0000000;1
SPFB.POLY-6.21;60;20210127;170000;16400.0000000;16400.0000000;16400.0000000;16400.0000000;1
SPFB.POLY-6.21;60;20210128;180000;16577.0000000;16577.0000000;16577.0000000;16577.0000000;1
SPFB.POLY-6.21;60;20210203;230000;17100.0000000;17100.0000000;17100.0000000;17100.0000000;1
SPFB.POLY-6.21;60;20210205;170000;16611.0000000;16611.0000000;16611.0000000;16611.0000000;1
SPFB.POLY-6.21;60;20210210;140000;16798.0000000;16798.0000000;16798.0000000;16798.0000000;6
SPFB.POLY-6.21;60;20210215;140000;16796.0000000;16797.0000000;16796.0000000;16797.0000000;2
SPFB.POLY-6.21;60;20210215;150000;16151.0000000;17000.0000000;16151.0000000;17000.0000000;12
SPFB.POLY-6.21;60;20210217;170000;16399.0000000;16399.0000000;16399.0000000;16399.0000000;30
SPFB.POLY-6.21;60;20210217;180000;16202.0000000;16202.0000000;16202.0000000;16202.0000000;12
SPFB.POLY-6.21;60;20210219;130000;15949.0000000;15949.0000000;15949.0000000;15949.0000000;1
SPFB.POLY-6.21;60;20210219;180000;15949.0000000;16149.0000000;15949.0000000;16149.0000000;19
SPFB.POLY-6.21;60;20210219;190000;16170.0000000;16170.0000000;16170.0000000;16170.0000000;9
SPFB.POLY-6.21;60;20210220;160000;16050.0000000;16050.0000000;16050.0000000;16050.0000000;1
SPFB.POLY-6.21;60;20210222;110000;16250.0000000;16250.0000000;16250.0000000;16250.0000000;3
SPFB.POLY-6.21;60;20210224;130000;15960.0000000;15960.0000000;15950.0000000;15950.0000000;15
SPFB.POLY-6.21;60;20210224;180000;15802.0000000;15802.0000000;15802.0000000;15802.0000000;2
SPFB.POLY-6.21;60;20210225;120000;15750.0000000;15750.0000000;15700.0000000;15700.0000000;18
SPFB.POLY-6.21;60;20210225;150000;15544.0000000;15550.0000000;15544.0000000;15550.0000000;3
SPFB.POLY-6.21;60;20210225;160000;15417.0000000;15417.0000000;15417.0000000;15417.0000000;1
SPFB.POLY-6.21;60;20210225;170000;15309.0000000;15309.0000000;15309.0000000;15309.0000000;2
SPFB.POLY-6.21;60;20210225;180000;15310.0000000;15310.0000000;15310.0000000;15310.0000000;2
SPFB.POLY-6.21;60;20210225;230000;15298.0000000;15350.0000000;15298.0000000;15350.0000000;6
SPFB.POLY-6.21;60;20210226;120000;15300.0000000;15300.0000000;15300.0000000;15300.0000000;2
SPFB.POLY-6.21;60;20210226;140000;14901.0000000;14901.0000000;14900.0000000;14900.0000000;2
SPFB.POLY-6.21;60;20210226;150000;14920.0000000;14920.0000000;14920.0000000;14920.0000000;1
SPFB.POLY-6.21;60;20210226;190000;14919.0000000;14919.0000000;14900.0000000;14900.0000000;6
SPFB.POLY-6.21;60;20210301;080000;14568.0000000;14568.0000000;14568.0000000;14568.0000000;1
SPFB.POLY-6.21;60;20210301;140000;15049.0000000;15125.0000000;15049.0000000;15100.0000000;22
SPFB.POLY-6.21;60;20210301;160000;15097.0000000;15097.0000000;15050.0000000;15050.0000000;2
SPFB.POLY-6.21;60;20210301;170000;15000.0000000;15000.0000000;15000.0000000;15000.0000000;1
SPFB.POLY-6.21;60;20210301;230000;15010.0000000;15010.0000000;15010.0000000;15010.0000000;1
SPFB.POLY-6.21;60;20210302;110000;14900.0000000;14900.0000000;14900.0000000;14900.0000000;2
SPFB.POLY-6.21;60;20210302;120000;14850.0000000;14850.0000000;14800.0000000;14800.0000000;3
SPFB.POLY-6.21;60;20210302;130000;14800.0000000;14800.0000000;14750.0000000;14750.0000000;5
SPFB.POLY-6.21;60;20210302;150000;14850.0000000;14850.0000000;14800.0000000;14800.0000000;4
SPFB.POLY-6.21;60;20210302;160000;14800.0000000;14800.0000000;14800.0000000;14800.0000000;1
SPFB.POLY-6.21;60;20210302;170000;14820.0000000;14820.0000000;14800.0000000;14800.0000000;7
SPFB.POLY-6.21;60;20210302;200000;14950.0000000;14950.0000000;14950.0000000;14950.0000000;1
SPFB.POLY-6.21;60;20210302;220000;15048.0000000;15048.0000000;15048.0000000;15048.0000000;2
SPFB.POLY-6.21;60;20210303;110000;15049.0000000;15049.0000000;15048.0000000;15048.0000000;2
SPFB.POLY-6.21;60;20210303;120000;15247.0000000;15248.0000000;15099.0000000;15100.0000000;14
SPFB.POLY-6.21;60;20210303;140000;14901.0000000;14901.0000000;14900.0000000;14900.0000000;3
SPFB.POLY-6.21;60;20210303;160000;14950.0000000;14950.0000000;14950.0000000;14950.0000000;1
SPFB.POLY-6.21;60;20210303;170000;14901.0000000;14901.0000000;14900.0000000;14900.0000000;3
SPFB.POLY-6.21;60;20210303;190000;14825.0000000;14825.0000000;14825.0000000;14825.0000000;1
SPFB.POLY-6.21;60;20210303;200000;14850.0000000;14850.0000000;14850.0000000;14850.0000000;1
SPFB.POLY-6.21;60;20210303;230000;14839.0000000;14839.0000000;14839.0000000;14839.0000000;1
SPFB.POLY-6.21;60;20210304;080000;14839.0000000;14839.0000000;14839.0000000;14839.0000000;1
SPFB.POLY-6.21;60;20210304;090000;14839.0000000;14875.0000000;14839.0000000;14875.0000000;2
SPFB.POLY-6.21;60;20210304;100000;14850.0000000;14850.0000000;14850.0000000;14850.0000000;2
SPFB.POLY-6.21;60;20210304;120000;14738.0000000;14738.0000000;14738.0000000;14738.0000000;2
SPFB.POLY-6.21;60;20210304;130000;14500.0000000;14520.0000000;14500.0000000;14520.0000000;31
SPFB.POLY-6.21;60;20210304;140000;14519.0000000;14700.0000000;14519.0000000;14699.0000000;13
SPFB.POLY-6.21;60;20210304;180000;14750.0000000;14750.0000000;14600.0000000;14600.0000000;2
SPFB.POLY-6.21;60;20210304;190000;14600.0000000;14600.0000000;14600.0000000;14600.0000000;1
SPFB.POLY-6.21;60;20210304;200000;14651.0000000;14651.0000000;14572.0000000;14650.0000000;5
SPFB.POLY-6.21;60;20210304;220000;14570.0000000;14570.0000000;14570.0000000;14570.0000000;1
SPFB.POLY-6.21;60;20210304;230000;14451.0000000;14451.0000000;14451.0000000;14451.0000000;1
SPFB.POLY-6.21;60;20210305;110000;14799.0000000;14799.0000000;14749.0000000;14749.0000000;3
SPFB.POLY-6.21;60;20210305;120000;14500.0000000;14500.0000000;14500.0000000;14500.0000000;2
SPFB.POLY-6.21;60;20210305;140000;14600.0000000;14600.0000000;14600.0000000;14600.0000000;1
SPFB.POLY-6.21;60;20210305;210000;14624.0000000;14624.0000000;14624.0000000;14624.0000000;2
SPFB.POLY-6.21;60;20210309;100000;14945.0000000;14945.0000000;14945.0000000;14945.0000000;1
SPFB.POLY-6.21;60;20210309;120000;14888.0000000;14888.0000000;14814.0000000;14814.0000000;12
SPFB.POLY-6.21;60;20210309;140000;15038.0000000;15038.0000000;15038.0000000;15038.0000000;1
SPFB.POLY-6.21;60;20210309;150000;15088.0000000;15088.0000000;15034.0000000;15034.0000000;2
SPFB.POLY-6.21;60;20210309;160000;15008.0000000;15008.0000000;14988.0000000;15002.0000000;6
SPFB.POLY-6.21;60;20210309;200000;15200.0000000;15200.0000000;15001.0000000;15001.0000000;38
SPFB.POLY-6.21;60;20210309;210000;15000.0000000;15000.0000000;15000.0000000;15000.0000000;1
SPFB.POLY-6.21;60;20210310;110000;15150.0000000;15188.0000000;15150.0000000;15188.0000000;2
SPFB.POLY-6.21;60;20210310;120000;15000.0000000;15000.0000000;14988.0000000;14988.0000000;7
SPFB.POLY-6.21;60;20210310;170000;14975.0000000;14975.0000000;14975.0000000;14975.0000000;1
