Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
14.10.2020;;18211;;;;;;;;;;;;
15.10.2020;;18048;;;;;;;;;;;;
16.10.2020;;18172;;;;;;;;;;;;
19.10.2020;;18236;;;;;;;;;;;;
20.10.2020;;18021;;;;;;;;;;;;
21.10.2020;;18107;;;;;;;;;;;;
22.10.2020;;18196;;;;;;;;;;;;
23.10.2020;;17794;;;;;;;;;;;;
26.10.2020;;17825;;;;;;;;;;;;
27.10.2020;;18114;;;;;;;;;;;;
28.10.2020;;17261;;;;;;;;;;;;
29.10.2020;;17202;;;;;;;;;;;;
30.10.2020;;17071;;;;;;;;;;;;
02.11.2020;;17822;;;;;;;;;;;;
03.11.2020;;18313;;;;;;;;;;;;
05.11.2020;;18974;;;;;;;;;;;;
06.11.2020;20694;19550;20694;20694;20694;20694;;1;1;20694;1;39100;2;
09.11.2020;19933;17285;19999;19999;19900;19900;-3,84;1;3;59799;3;138280;8;
10.11.2020;;17206;;;;;;;;;;137648;8;
11.11.2020;;17021;;;;;;;;;;136168;8;
12.11.2020;;17460;;;;;;;;;;139680;8;
13.11.2020;;17635;;;;;;;;;;141080;8;
16.11.2020;;17499;;;;;;;;;;139992;8;
17.11.2020;;17225;;;;;;;;;;137800;8;
18.11.2020;;17438;;;;;;;;;;139504;8;
19.11.2020;;17135;;;;;;;;;;137080;8;
20.11.2020;;17197;;;;;;;;;;137576;8;
23.11.2020;;16517;;;;;;;;;;132136;8;
24.11.2020;;16131;;;;;;;;;;129048;8;
25.11.2020;;16098;;;;;;;;;;128784;8;
26.11.2020;;16477;;;;;;;;;;131816;8;
27.11.2020;;16323;;;;;;;;;;130584;8;
30.11.2020;;16079;;;;;;;;;;128632;8;
01.12.2020;17110;16902;17110;17111;17110;17111;;3;2;153993;9;439452;26;
02.12.2020;17000;17000;17000;17000;17000;17000;-0,65;2;2;51000;3;544000;32;
03.12.2020;16950;16860;17001;17001;16800;16800;-1,18;1;5;101702;6;674400;40;
04.12.2020;;16394;;;;;;;;;;655760;40;
07.12.2020;;16454;;;;;;;;;;658160;40;
08.12.2020;;16785;;;;;;;;;;671400;40;
09.12.2020;17436;16642;18808;18964;16700;16700;;2;17;540523;31;1231508;74;
10.12.2020;;16692;;;;;;;;;;1235208;74;
11.12.2020;16387;16650;15001;16650;15001;16650;;1;16;278586;17;1332000;80;
14.12.2020;16280;16149;16387;16387;16149;16149;-3,01;2;7;195357;12;1679496;104;
15.12.2020;;16490;;;;;;;;;;1714960;104;
16.12.2020;16606;16405;17819;17819;16366;16405;;1;26;747269;45;2526370;154;
17.12.2020;17147;17350;16500;17500;16500;17350;5,76;1;77;2040475;119;5447900;314;
18.12.2020;17092;17149;17125;17150;16907;17150;-1,15;1;13;341836;20;5521978;322;
21.12.2020;17469;16920;17499;18400;16900;16920;-1,34;1;67;3074482;176;7038720;416;
22.12.2020;17193;17108;17179;17255;17100;17178;1,52;1;15;378254;22;7048496;412;
23.12.2020;17154;17247;17050;17250;17050;17248;0,41;2;13;274458;16;7071270;410;
24.12.2020;17154;17272;17130;17300;17130;17300;0,30;2;5;240160;14;7081520;410;
25.12.2020;;17129;;;;;;;;;;7022890;410;
28.12.2020;17110;17150;17101;17250;16850;17150;;1;15;941050;55;7443100;434;
29.12.2020;17376;17520;17300;17520;17199;17520;2,16;1;45;1303165;75;10091520;576;
30.12.2020;17714;17611;17662;17843;17403;17652;0,75;1;36;1771434;100;11588038;658;
04.01.2021;17770;18510;17546;18564;17000;18510;4,86;1;193;5846229;329;11513220;622;
05.01.2021;18542;18650;18679;18810;18201;18700;1,03;5;101;2595937;140;8877400;476;
06.01.2021;18647;18500;18600;18872;18350;18500;-1,07;1;41;1267976;68;9583000;518;
08.01.2021;18101;17816;18516;18637;17676;17816;-3,70;1;137;3764944;208;12684992;712;
11.01.2021;17854;17833;17850;18050;17700;17999;1,03;1;56;1696086;95;11341788;636;
12.01.2021;17656;17378;17651;18100;17200;17378;-3,45;1;106;3178027;180;15744468;906;
13.01.2021;17418;17476;17250;17530;17210;17450;0,41;1;31;627060;36;16077920;920;
14.01.2021;17263;17217;17437;17440;17200;17245;-1,18;1;33;1173915;68;15357564;892;
15.01.2021;16993;16792;17289;17289;16705;16950;-1,71;1;133;4452240;262;19613056;1168;
18.01.2021;16883;16901;16775;17150;16711;16901;-0,29;3;45;1570111;93;19774170;1170;
19.01.2021;16887;16660;16901;17100;16660;16660;-1,43;1;63;2144678;127;21791280;1308;
20.01.2021;16808;17033;16620;17100;16550;17100;2,64;1;50;1546360;92;23846200;1400;
21.01.2021;17101;17139;17064;17340;16948;17186;0,50;1;87;2496771;146;21697974;1266;
22.01.2021;17066;17288;17084;17330;16601;17288;0,59;2;135;4829776;283;19016800;1100;
25.01.2021;17483;17520;17390;17630;17316;17520;1,34;2;95;3234404;185;17309760;988;
26.01.2021;17374;17170;17507;17825;17100;17170;-2,00;1;92;2797161;161;18577940;1082;
27.01.2021;16680;16673;17170;17207;16440;16702;-2,73;1;90;2735515;164;20741212;1244;
28.01.2021;16710;16906;16612;16906;16165;16705;0,02;10;155;4411314;264;23262656;1376;
29.01.2021;16763;16539;16885;17108;16400;16539;-0,99;1;330;10393359;620;36749658;2222;
01.02.2021;17541;17639;16495;18849;16440;17700;7,02;4;514;17225277;982;31150474;1766;
02.02.2021;17279;17152;17400;17700;16905;17165;-3,02;1;270;8121231;470;30496256;1778;
03.02.2021;17186;17115;17201;17319;17031;17130;-0,20;1;73;2268544;132;29780100;1740;
04.02.2021;16769;16609;17127;17140;16466;16626;-2,94;1;274;8619159;514;29829764;1796;
05.02.2021;16784;16703;16682;16938;16601;16680;0,32;1;109;2769364;165;29564310;1770;
08.02.2021;16888;16980;16790;17000;16704;16980;1,80;1;91;2837253;168;30530040;1798;
09.02.2021;16777;16793;16802;16950;16611;16793;-1,10;1;57;1275069;76;31335738;1866;
10.02.2021;16675;16550;16798;16939;16543;16543;-1,49;1;77;2001049;120;31147100;1882;
11.02.2021;16514;16539;16570;16623;16392;16539;-0,02;1;34;677091;41;31523334;1906;
12.02.2021;16251;16388;16351;16400;16076;16400;-0,84;1;64;1560074;96;31071648;1896;
15.02.2021;16650;16708;16430;16770;16401;16700;1,83;1;101;2447540;147;33850408;2026;
16.02.2021;16717;16561;16770;16898;16455;16455;-1,47;5;202;7154979;428;36136102;2182;
17.02.2021;16424;16162;16623;16662;16151;16163;-1,78;1;91;2562084;156;37883728;2344;
18.02.2021;16050;15801;16087;16214;15700;15801;-2,24;1;132;3932139;245;41651436;2636;
19.02.2021;15937;16050;15753;16162;15723;16050;1,58;2;74;2024031;127;40381800;2516;
20.02.2021;16041;16068;16050;16069;16004;16069;0,12;1;7;112286;7;40523496;2522;
22.02.2021;16017;16220;15902;16250;15806;16220;0,94;3;44;1281345;80;40744640;2512;
