Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
03.12.2020;;17043;;;;;;;;;;;;
04.12.2020;;16570;;;;;;;;;;;;
07.12.2020;;16630;;;;;;;;;;;;
08.12.2020;;16965;;;;;;;;;;;;
09.12.2020;;16821;;;;;;;;;;;;
10.12.2020;;16871;;;;;;;;;;;;
11.12.2020;;16805;;;;;;;;;;;;
14.12.2020;;16260;;;;;;;;;;;;
15.12.2020;;16667;;;;;;;;;;;;
16.12.2020;;16716;;;;;;;;;;;;
17.12.2020;;17449;;;;;;;;;;;;
18.12.2020;;17304;;;;;;;;;;;;
21.12.2020;;17165;;;;;;;;;;;;
22.12.2020;;17257;;;;;;;;;;;;
23.12.2020;;17337;;;;;;;;;;;;
24.12.2020;;17304;;;;;;;;;;;;
25.12.2020;;17316;;;;;;;;;;;;
28.12.2020;;17266;;;;;;;;;;;;
29.12.2020;;17712;;;;;;;;;;;;
30.12.2020;;17753;;;;;;;;;;;;
04.01.2021;20993;18676;20993;20993;20993;20993;;1;1;20993;1;37352;2;
05.01.2021;20170;18788;20691;21780;16893;21780;3,75;3;8;242036;12;413336;22;
06.01.2021;;18658;;;;;;;;;;410476;22;
08.01.2021;18748;18358;18748;18748;18748;18748;;1;1;18748;1;440592;24;
11.01.2021;;17975;;;;;;;;;;431400;24;
12.01.2021;;17548;;;;;;;;;;421152;24;
13.01.2021;;17732;;;;;;;;;;425568;24;
14.01.2021;16834;16951;17511;17676;15064;16700;;3;15;420842;25;474628;28;
15.01.2021;;16900;;;;;;;;;;473200;28;
18.01.2021;16929;16990;16700;16999;16700;16999;;1;5;84646;5;543680;32;
19.01.2021;;16850;;;;;;;;;;539200;32;
20.01.2021;16850;16850;16849;16850;16849;16850;;2;2;50549;3;640300;38;
21.01.2021;16900;16900;16900;16900;16900;16900;0,30;3;2;67600;4;642200;38;
22.01.2021;17000;17000;17000;17000;17000;17000;0,59;1;1;17000;1;646000;38;
25.01.2021;17447;17300;17244;17648;17244;17250;1,47;1;4;69788;4;657400;38;
26.01.2021;;17250;;;;;;;;;;655500;38;
27.01.2021;16400;16501;16400;16400;16400;16400;;1;1;16400;1;627038;38;
28.01.2021;16577;16650;16577;16577;16577;16577;1,08;1;1;16577;1;666000;40;
29.01.2021;;16650;;;;;;;;;;666000;40;
01.02.2021;;17851;;;;;;;;;;714040;40;
02.02.2021;;17290;;;;;;;;;;691600;40;
03.02.2021;;17210;;;;;;;;;;688400;40;
04.02.2021;17100;16700;17100;17100;17100;17100;;1;1;17100;1;668000;40;
