Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
14.10.2020;17733;18000;17200;18000;17200;18000;;1;3;53200;3;108000;6;
15.10.2020;17840;17862;17808;18824;17520;18824;4,58;1;24;428158;24;643032;36;
16.10.2020;18366;18345;17609;18820;17609;18345;-2,54;1;17;348953;19;1064010;58;
19.10.2020;18345;18345;18345;18345;18345;18345;;1;1;18345;1;1100700;60;
20.10.2020;17929;17803;17905;18756;17801;17801;-2,96;1;10;233083;13;1424240;80;
21.10.2020;17789;17834;18000;18312;17500;17834;0,18;1;16;462524;26;2104412;118;
22.10.2020;18165;17990;17834;18200;17834;17990;0,88;1;22;635789;35;3166240;176;
23.10.2020;17853;17705;18250;18250;17705;17705;-1,58;1;6;160679;9;3328540;188;
26.10.2020;17750;17639;17680;17800;17680;17800;0,54;1;9;213000;12;3175020;180;
27.10.2020;17867;17900;17850;17900;17850;17900;0,56;1;3;53600;3;3186200;178;
28.10.2020;16539;17080;15701;17377;15701;17377;-2,92;1;2;33078;2;3040240;178;
29.10.2020;;17019;;;;;;;;;;3029382;178;
30.10.2020;;16888;;;;;;;;;;3006064;178;
02.11.2020;17419;17631;17360;17672;17343;17672;;1;5;87094;5;3138318;178;
03.11.2020;;18117;;;;;;;;;;3224826;178;
05.11.2020;18713;18768;18696;18719;18696;18719;;1;9;261986;14;2852736;152;
06.11.2020;19035;19380;19000;19400;18232;19400;3,64;1;53;1218218;64;1395360;72;
09.11.2020;17888;17147;18452;19599;17100;17147;-11,61;1;133;3452476;193;5315570;310;
10.11.2020;17343;17050;17490;17822;16958;17050;-0,57;1;250;7995006;461;16129300;946;
11.11.2020;17033;16868;17098;17848;16646;16868;-1,07;2;81;2503870;147;19060840;1130;
12.11.2020;17231;17265;17105;17397;17105;17265;2,35;2;14;361857;21;19543980;1132;
13.11.2020;17214;17452;17187;17452;17088;17452;1,08;1;58;1411552;82;21500864;1232;
16.11.2020;17306;17347;17429;17458;17075;17347;-0,60;2;28;848012;49;22447018;1294;
17.11.2020;17141;17013;17168;17291;16900;16900;-2,58;2;17;497097;29;22116900;1300;
18.11.2020;16402;17265;16900;17269;14601;17265;2,16;3;20;574061;35;22340910;1294;
19.11.2020;17007;16976;17157;17157;16950;16992;-1,58;2;12;323133;19;21695328;1278;
20.11.2020;17037;17038;17000;17068;17000;17068;0,45;1;8;136296;8;21570108;1266;
23.11.2020;16561;16320;16890;16890;16201;16310;-4,44;1;54;1407726;85;21216000;1300;
24.11.2020;16085;15944;16505;16599;15900;15944;-2,24;1;37;659500;41;21492512;1348;
25.11.2020;15935;15952;16045;16045;15834;15961;0,11;1;27;493985;31;21662816;1358;
26.11.2020;16201;16319;15970;16413;15880;16319;2,24;1;23;502227;31;22357030;1370;
27.11.2020;16239;16175;16280;16445;15909;15909;-2,51;2;36;893129;55;22256800;1376;
30.11.2020;15519;15922;16089;16632;13883;15922;0,08;3;157;6254211;403;21940516;1378;
01.12.2020;16523;16746;16059;16889;15996;16746;5,18;1;53;941828;57;22238688;1328;
02.12.2020;16734;16769;16798;16828;16501;16769;0,14;1;24;602414;36;22973530;1370;
03.12.2020;16757;16648;16744;16855;16601;16601;-1,00;1;6;117299;7;22774464;1368;
04.12.2020;16417;16246;16590;16649;16161;16249;-2,12;1;44;1017867;62;22971844;1414;
07.12.2020;16131;16350;16124;16491;16001;16101;-0,91;1;31;516182;32;22497600;1376;
08.12.2020;16501;16500;16211;16685;16211;16452;2,18;4;9;247514;15;22638000;1372;
09.12.2020;16602;16565;16699;16797;16401;16565;0,69;1;269;5262899;317;17558900;1060;
10.12.2020;16203;16349;16401;16449;16000;16349;-1,30;1;13;307864;19;17624222;1078;
11.12.2020;16158;16395;16101;16395;15701;16395;0,28;1;20;533202;33;17345910;1058;
14.12.2020;16121;15931;16251;16251;15931;15931;-2,83;2;97;2595512;161;12394318;778;
15.12.2020;16093;16308;16001;16308;16001;16308;2,37;1;27;466683;29;12459312;764;
16.12.2020;16260;16337;16188;16337;16179;16337;0,18;1;33;861786;53;11272530;690;
17.12.2020;16856;17057;16406;17120;16242;17057;4,41;1;104;3506135;208;5697038;334;
