<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
POLY;60;20190103;110000;736.0000000;736.0000000;728.0000000;729.2000000;6228
POLY;60;20190103;120000;729.2000000;732.0000000;726.2000000;729.5000000;8228
POLY;60;20190103;130000;729.4000000;732.9000000;728.8000000;732.3000000;5668
POLY;60;20190103;140000;732.5000000;735.0000000;732.5000000;733.8000000;10751
POLY;60;20190103;150000;734.2000000;739.0000000;734.2000000;737.0000000;13770
POLY;60;20190103;160000;737.0000000;738.4000000;734.3000000;738.3000000;3457
POLY;60;20190103;170000;738.5000000;739.5000000;736.4000000;738.7000000;6667
POLY;60;20190103;180000;738.6000000;739.7000000;736.4000000;738.5000000;8559
POLY;60;20190103;190000;738.3000000;748.0000000;737.6000000;748.0000000;44876
POLY;60;20190104;110000;746.9000000;746.9000000;740.2000000;746.2000000;3514
POLY;60;20190104;120000;746.2000000;756.4000000;746.2000000;755.6000000;14045
POLY;60;20190104;130000;755.0000000;756.1000000;749.2000000;754.1000000;3761
POLY;60;20190104;140000;755.0000000;756.0000000;752.4000000;752.5000000;6988
POLY;60;20190104;150000;752.5000000;756.2000000;749.2000000;752.8000000;20064
POLY;60;20190104;160000;751.7000000;752.4000000;746.3000000;747.5000000;6634
POLY;60;20190104;170000;747.2000000;750.4000000;744.1000000;746.8000000;7970
POLY;60;20190104;180000;747.6000000;747.7000000;741.7000000;742.8000000;8748
POLY;60;20190104;190000;742.2000000;747.2000000;742.2000000;747.2000000;20524
POLY;60;20190108;110000;748.1000000;748.1000000;734.2000000;735.2000000;7691
POLY;60;20190108;120000;736.6000000;742.0000000;736.2000000;737.2000000;10139
POLY;60;20190108;130000;736.9000000;742.0000000;736.5000000;737.7000000;5568
POLY;60;20190108;140000;738.8000000;741.2000000;736.8000000;738.4000000;3922
POLY;60;20190108;150000;738.4000000;738.5000000;734.5000000;736.5000000;6514
POLY;60;20190108;160000;736.5000000;738.0000000;735.1000000;735.1000000;2079
POLY;60;20190108;170000;735.2000000;736.3000000;734.1000000;734.1000000;5784
POLY;60;20190108;180000;734.3000000;734.5000000;731.0000000;732.3000000;13434
POLY;60;20190108;190000;733.0000000;734.1000000;731.2000000;732.1000000;27421
POLY;60;20190109;110000;730.0000000;739.7000000;727.5000000;736.2000000;6040
POLY;60;20190109;120000;736.0000000;737.0000000;732.0000000;732.9000000;5629
POLY;60;20190109;130000;732.9000000;735.4000000;732.6000000;734.3000000;2341
POLY;60;20190109;140000;734.3000000;735.9000000;733.4000000;734.4000000;8601
POLY;60;20190109;150000;734.8000000;737.3000000;734.4000000;736.8000000;3529
POLY;60;20190109;160000;736.5000000;739.4000000;735.0000000;737.3000000;6855
POLY;60;20190109;170000;738.4000000;738.7000000;734.1000000;734.2000000;9104
POLY;60;20190109;180000;734.7000000;737.4000000;734.7000000;735.3000000;14076
POLY;60;20190109;190000;736.0000000;739.7000000;734.4000000;739.7000000;35402
POLY;60;20190110;110000;739.5000000;742.1000000;734.3000000;737.7000000;3265
POLY;60;20190110;120000;737.7000000;737.9000000;730.4000000;736.1000000;18356
POLY;60;20190110;130000;736.4000000;738.5000000;735.3000000;735.5000000;8854
POLY;60;20190110;140000;735.5000000;737.3000000;734.3000000;735.0000000;3595
POLY;60;20190110;150000;735.2000000;736.9000000;733.4000000;734.7000000;6079
POLY;60;20190110;160000;734.7000000;735.7000000;733.7000000;734.3000000;4780
POLY;60;20190110;170000;734.6000000;735.9000000;733.6000000;733.9000000;36075
POLY;60;20190110;180000;734.2000000;738.3000000;733.8000000;737.6000000;24798
POLY;60;20190110;190000;737.7000000;738.4000000;736.5000000;737.5000000;58162
POLY;60;20190111;110000;738.8000000;738.8000000;734.9000000;736.1000000;1352
POLY;60;20190111;120000;735.4000000;735.5000000;733.1000000;733.9000000;14401
POLY;60;20190111;130000;734.0000000;734.0000000;731.0000000;732.0000000;8353
POLY;60;20190111;140000;732.0000000;734.1000000;731.4000000;733.9000000;4351
POLY;60;20190111;150000;734.0000000;735.8000000;733.7000000;735.8000000;2038
POLY;60;20190111;160000;735.6000000;736.7000000;732.9000000;736.7000000;9645
POLY;60;20190111;170000;736.4000000;736.8000000;734.8000000;735.4000000;13103
POLY;60;20190111;180000;735.5000000;735.6000000;734.4000000;735.3000000;25405
POLY;60;20190111;190000;735.3000000;740.0000000;733.6000000;740.0000000;73325
POLY;60;20190114;110000;734.8000000;738.0000000;732.8000000;734.5000000;5584
POLY;60;20190114;120000;735.4000000;737.5000000;733.5000000;735.7000000;7370
POLY;60;20190114;130000;736.0000000;737.0000000;734.8000000;735.8000000;2056
POLY;60;20190114;140000;735.5000000;735.5000000;733.3000000;733.6000000;3505
POLY;60;20190114;150000;735.7000000;736.5000000;734.8000000;735.8000000;1546
POLY;60;20190114;160000;736.1000000;736.1000000;732.8000000;733.5000000;10411
POLY;60;20190114;170000;733.0000000;734.7000000;732.7000000;733.8000000;1802
POLY;60;20190114;180000;733.6000000;740.0000000;733.0000000;737.0000000;14754
POLY;60;20190114;190000;737.4000000;738.6000000;736.1000000;738.6000000;29708
POLY;60;20190115;110000;740.4000000;743.6000000;735.3000000;738.2000000;3988
POLY;60;20190115;120000;738.1000000;742.0000000;735.1000000;735.3000000;14782
POLY;60;20190115;130000;735.6000000;735.8000000;734.4000000;735.8000000;10578
POLY;60;20190115;140000;736.0000000;738.3000000;735.4000000;737.0000000;3057
POLY;60;20190115;150000;736.2000000;737.0000000;734.6000000;734.9000000;3640
POLY;60;20190115;160000;734.7000000;736.7000000;733.0000000;733.0000000;8374
POLY;60;20190115;170000;733.0000000;733.7000000;731.0000000;731.4000000;17157
POLY;60;20190115;180000;731.9000000;734.3000000;731.5000000;734.3000000;22711
POLY;60;20190115;190000;734.6000000;734.7000000;731.1000000;734.6000000;32298
POLY;60;20190116;110000;738.8000000;738.8000000;732.7000000;735.2000000;2047
POLY;60;20190116;120000;734.6000000;735.2000000;731.0000000;731.9000000;7485
POLY;60;20190116;130000;732.0000000;732.4000000;730.2000000;731.6000000;12786
POLY;60;20190116;140000;731.8000000;732.3000000;728.7000000;729.3000000;18121
POLY;60;20190116;150000;730.1000000;730.1000000;727.8000000;728.8000000;6793
POLY;60;20190116;160000;728.7000000;730.6000000;728.5000000;730.5000000;15856
POLY;60;20190116;170000;730.1000000;730.1000000;725.2000000;725.4000000;20052
POLY;60;20190116;180000;725.5000000;731.2000000;725.3000000;730.4000000;6075
POLY;60;20190116;190000;731.2000000;731.5000000;726.8000000;730.0000000;31119
POLY;60;20190117;110000;730.3000000;732.4000000;726.2000000;728.6000000;3394
POLY;60;20190117;120000;728.1000000;728.1000000;723.2000000;725.4000000;11228
POLY;60;20190117;130000;725.9000000;725.9000000;722.3000000;724.4000000;18235
POLY;60;20190117;140000;724.7000000;726.1000000;723.5000000;724.1000000;6187
POLY;60;20190117;150000;724.4000000;726.1000000;723.0000000;723.3000000;7061
POLY;60;20190117;160000;723.0000000;725.0000000;720.3000000;724.0000000;16597
POLY;60;20190117;170000;725.1000000;725.2000000;723.5000000;723.7000000;5291
POLY;60;20190117;180000;723.9000000;725.8000000;722.5000000;725.0000000;8476
POLY;60;20190117;190000;725.5000000;729.0000000;724.9000000;729.0000000;46853
POLY;60;20190118;110000;726.0000000;729.6000000;724.0000000;727.0000000;2940
POLY;60;20190118;120000;727.0000000;736.7000000;726.7000000;729.8000000;47078
POLY;60;20190118;130000;729.0000000;731.8000000;728.7000000;730.7000000;4532
POLY;60;20190118;140000;730.5000000;730.7000000;725.7000000;725.8000000;6597
POLY;60;20190118;150000;725.8000000;728.3000000;725.6000000;727.4000000;5376
POLY;60;20190118;160000;727.1000000;728.4000000;726.4000000;727.9000000;3495
POLY;60;20190118;170000;728.0000000;728.0000000;721.3000000;721.7000000;11792
POLY;60;20190118;180000;721.7000000;724.8000000;720.0000000;724.4000000;18585
POLY;60;20190118;190000;724.3000000;725.2000000;720.5000000;725.0000000;28060
POLY;60;20190121;110000;727.0000000;727.0000000;721.3000000;723.2000000;3104
POLY;60;20190121;120000;724.0000000;724.0000000;720.0000000;721.4000000;10550
POLY;60;20190121;130000;721.0000000;721.6000000;718.6000000;719.3000000;14763
POLY;60;20190121;140000;719.0000000;719.4000000;717.4000000;717.8000000;4384
POLY;60;20190121;150000;718.1000000;719.8000000;717.5000000;718.1000000;12202
POLY;60;20190121;160000;717.8000000;719.8000000;717.4000000;718.6000000;8563
