<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.ROSN-6.21;60;20200721;230000;40793.0000000;40793.0000000;40793.0000000;40793.0000000;1
SPFB.ROSN-6.21;60;20200727;130000;39715.0000000;40807.0000000;36000.0000000;40807.0000000;6
SPFB.ROSN-6.21;60;20200729;130000;37996.0000000;37996.0000000;37996.0000000;37996.0000000;2
SPFB.ROSN-6.21;60;20200729;220000;35495.0000000;35495.0000000;35085.0000000;35085.0000000;2
SPFB.ROSN-6.21;60;20200807;110000;36200.0000000;36200.0000000;36200.0000000;36200.0000000;1
SPFB.ROSN-6.21;60;20200814;230000;38900.0000000;38900.0000000;38900.0000000;38900.0000000;1
SPFB.ROSN-6.21;60;20200902;180000;36080.0000000;38700.0000000;36080.0000000;38700.0000000;6
SPFB.ROSN-6.21;60;20201118;160000;45659.0000000;45659.0000000;45659.0000000;45659.0000000;1
SPFB.ROSN-6.21;60;20201119;120000;44203.0000000;44203.0000000;44203.0000000;44203.0000000;1
SPFB.ROSN-6.21;60;20201119;130000;44203.0000000;44203.0000000;44203.0000000;44203.0000000;1
SPFB.ROSN-6.21;60;20201124;110000;46700.0000000;46700.0000000;46700.0000000;46700.0000000;1
SPFB.ROSN-6.21;60;20201210;000000;43644.0000000;43701.0000000;43644.0000000;43701.0000000;2
SPFB.ROSN-6.21;60;20201214;170000;45886.0000000;45886.0000000;45886.0000000;45886.0000000;1
SPFB.ROSN-6.21;60;20201215;190000;45669.0000000;45669.0000000;45669.0000000;45669.0000000;1
SPFB.ROSN-6.21;60;20201221;180000;42780.0000000;42780.0000000;42780.0000000;42780.0000000;1
SPFB.ROSN-6.21;60;20201228;190000;44180.0000000;44180.0000000;44180.0000000;44180.0000000;1
SPFB.ROSN-6.21;60;20210104;220000;43636.0000000;43636.0000000;43636.0000000;43636.0000000;1
SPFB.ROSN-6.21;60;20210104;230000;43870.0000000;43870.0000000;43870.0000000;43870.0000000;1
SPFB.ROSN-6.21;60;20210105;170000;44314.0000000;44314.0000000;44314.0000000;44314.0000000;1
SPFB.ROSN-6.21;60;20210105;190000;45068.0000000;45068.0000000;45068.0000000;45068.0000000;1
SPFB.ROSN-6.21;60;20210106;150000;45392.0000000;45392.0000000;45392.0000000;45392.0000000;1
SPFB.ROSN-6.21;60;20210108;170000;47920.0000000;47920.0000000;47920.0000000;47920.0000000;1
SPFB.ROSN-6.21;60;20210111;180000;47281.0000000;47281.0000000;47200.0000000;47200.0000000;2
SPFB.ROSN-6.21;60;20210113;140000;49204.0000000;49204.0000000;49204.0000000;49204.0000000;1
SPFB.ROSN-6.21;60;20210113;170000;48950.0000000;48950.0000000;48950.0000000;48950.0000000;1
SPFB.ROSN-6.21;60;20210113;190000;48911.0000000;48950.0000000;48911.0000000;48950.0000000;2
SPFB.ROSN-6.21;60;20210114;110000;48800.0000000;48800.0000000;48800.0000000;48800.0000000;1
SPFB.ROSN-6.21;60;20210114;160000;49942.0000000;50167.0000000;49942.0000000;50164.0000000;6
SPFB.ROSN-6.21;60;20210114;170000;50235.0000000;50235.0000000;50100.0000000;50100.0000000;2
SPFB.ROSN-6.21;60;20210114;180000;50239.0000000;50239.0000000;50239.0000000;50239.0000000;1
SPFB.ROSN-6.21;60;20210114;210000;50348.0000000;50348.0000000;50346.0000000;50346.0000000;5
SPFB.ROSN-6.21;60;20210115;170000;50600.0000000;50600.0000000;50600.0000000;50600.0000000;6
SPFB.ROSN-6.21;60;20210115;180000;50804.0000000;51226.0000000;50801.0000000;51226.0000000;18
SPFB.ROSN-6.21;60;20210115;190000;51200.0000000;51352.0000000;51133.0000000;51133.0000000;4
SPFB.ROSN-6.21;60;20210115;200000;50505.0000000;50505.0000000;50505.0000000;50505.0000000;17
SPFB.ROSN-6.21;60;20210118;120000;50500.0000000;50500.0000000;50500.0000000;50500.0000000;3
SPFB.ROSN-6.21;60;20210118;190000;51478.0000000;51478.0000000;51478.0000000;51478.0000000;1
SPFB.ROSN-6.21;60;20210119;110000;51763.0000000;52000.0000000;51763.0000000;52000.0000000;4
SPFB.ROSN-6.21;60;20210119;130000;50995.0000000;51003.0000000;50995.0000000;51003.0000000;2
SPFB.ROSN-6.21;60;20210119;170000;50815.0000000;50817.0000000;50815.0000000;50817.0000000;2
SPFB.ROSN-6.21;60;20210119;180000;50991.0000000;50991.0000000;50991.0000000;50991.0000000;14
SPFB.ROSN-6.21;60;20210120;170000;50949.0000000;50949.0000000;50949.0000000;50949.0000000;1
SPFB.ROSN-6.21;60;20210120;210000;50916.0000000;50922.0000000;50916.0000000;50922.0000000;2
SPFB.ROSN-6.21;60;20210121;180000;50000.0000000;50000.0000000;50000.0000000;50000.0000000;1
SPFB.ROSN-6.21;60;20210122;120000;48988.0000000;48988.0000000;48698.0000000;48698.0000000;3
SPFB.ROSN-6.21;60;20210122;140000;48759.0000000;48759.0000000;48728.0000000;48728.0000000;3
SPFB.ROSN-6.21;60;20210122;180000;48976.0000000;48977.0000000;48976.0000000;48977.0000000;4
SPFB.ROSN-6.21;60;20210125;110000;49700.0000000;49700.0000000;49700.0000000;49700.0000000;1
SPFB.ROSN-6.21;60;20210125;180000;49096.0000000;49096.0000000;49096.0000000;49096.0000000;1
SPFB.ROSN-6.21;60;20210126;000000;49325.0000000;49325.0000000;49325.0000000;49325.0000000;1
SPFB.ROSN-6.21;60;20210126;110000;49156.0000000;49156.0000000;49137.0000000;49137.0000000;3
SPFB.ROSN-6.21;60;20210126;130000;49350.0000000;49523.0000000;49350.0000000;49523.0000000;4
SPFB.ROSN-6.21;60;20210126;180000;49100.0000000;49100.0000000;49100.0000000;49100.0000000;2
SPFB.ROSN-6.21;60;20210127;150000;48950.0000000;48950.0000000;48950.0000000;48950.0000000;4
SPFB.ROSN-6.21;60;20210127;180000;48327.0000000;48327.0000000;48314.0000000;48314.0000000;3
SPFB.ROSN-6.21;60;20210128;170000;48300.0000000;48300.0000000;48300.0000000;48300.0000000;1
SPFB.ROSN-6.21;60;20210128;210000;48000.0000000;48220.0000000;48000.0000000;48220.0000000;6
SPFB.ROSN-6.21;60;20210129;120000;47837.0000000;47837.0000000;47837.0000000;47837.0000000;1
SPFB.ROSN-6.21;60;20210129;140000;47721.0000000;47721.0000000;47456.0000000;47456.0000000;3
SPFB.ROSN-6.21;60;20210129;210000;47002.0000000;47002.0000000;47002.0000000;47002.0000000;1
SPFB.ROSN-6.21;60;20210201;140000;46990.0000000;46990.0000000;46990.0000000;46990.0000000;2
SPFB.ROSN-6.21;60;20210202;120000;48259.0000000;48270.0000000;48259.0000000;48270.0000000;20
SPFB.ROSN-6.21;60;20210203;120000;48900.0000000;48900.0000000;48900.0000000;48900.0000000;1
SPFB.ROSN-6.21;60;20210203;130000;48450.0000000;48450.0000000;48450.0000000;48450.0000000;1
SPFB.ROSN-6.21;60;20210204;180000;49177.0000000;49190.0000000;49177.0000000;49190.0000000;3
SPFB.ROSN-6.21;60;20210205;110000;49639.0000000;49639.0000000;49639.0000000;49639.0000000;3
SPFB.ROSN-6.21;60;20210205;120000;49600.0000000;49600.0000000;49600.0000000;49600.0000000;1
SPFB.ROSN-6.21;60;20210205;130000;49906.0000000;49906.0000000;49648.0000000;49666.0000000;6
SPFB.ROSN-6.21;60;20210205;140000;49666.0000000;49690.0000000;49666.0000000;49690.0000000;3
SPFB.ROSN-6.21;60;20210205;170000;49531.0000000;49531.0000000;49531.0000000;49531.0000000;1
SPFB.ROSN-6.21;60;20210205;180000;49632.0000000;49703.0000000;49632.0000000;49703.0000000;3
SPFB.ROSN-6.21;60;20210208;110000;50568.0000000;50568.0000000;50568.0000000;50568.0000000;1
