Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
10.03.2020;;33429;;;;;;;;;;;;
11.03.2020;;32116;;;;;;;;;;;;
12.03.2020;;28375;;;;;;;;;;;;
13.03.2020;;27377;;;;;;;;;;;;
16.03.2020;;26253;;;;;;;;;;;;
17.03.2020;;25064;;;;;;;;;;;;
18.03.2020;;23844;;;;;;;;;;;;
19.03.2020;;26826;;;;;;;;;;;;
20.03.2020;;28901;;;;;;;;;;;;
23.03.2020;;27611;;;;;;;;;;;;
24.03.2020;;30000;;;;;;;;;;;;
25.03.2020;32999;30825;32999;32999;32999;32999;;1;1;32999;1;61650;2;
26.03.2020;;32331;;;;;;;;;;64662;2;
27.03.2020;33000;30733;33000;33000;33000;33000;;1;1;33000;1;122932;4;
30.03.2020;;30513;;;;;;;;;;122052;4;
31.03.2020;;32139;;;;;;;;;;128556;4;
01.04.2020;34244;32589;34244;34244;34244;34244;;1;1;34244;1;195534;6;
02.04.2020;;33500;;;;;;;;;;201000;6;
03.04.2020;34500;35000;34500;34500;34500;34500;;1;1;34500;1;280000;8;
06.04.2020;;35018;;;;;;;;;;280144;8;
07.04.2020;;34602;;;;;;;;;;276816;8;
08.04.2020;;34659;;;;;;;;;;277272;8;
09.04.2020;;35831;;;;;;;;;;286648;8;
10.04.2020;;35101;;;;;;;;;;280808;8;
13.04.2020;33600;34217;33600;33600;33600;33600;;1;1;33600;1;205302;6;
14.04.2020;;33500;;;;;;;;;;201000;6;
15.04.2020;33083;31128;33500;33500;33000;33000;;2;3;198500;6;498048;16;
16.04.2020;;30956;;;;;;;;;;495296;16;
17.04.2020;;31618;;;;;;;;;;505888;16;
20.04.2020;;31119;;;;;;;;;;497904;16;
21.04.2020;;30701;;;;;;;;;;491216;16;
22.04.2020;;32492;;;;;;;;;;519872;16;
23.04.2020;;33911;;;;;;;;;;542576;16;
24.04.2020;;32668;;;;;;;;;;522688;16;
27.04.2020;;32559;;;;;;;;;;520944;16;
28.04.2020;;32699;;;;;;;;;;523184;16;
29.04.2020;;34028;;;;;;;;;;544448;16;
30.04.2020;;33696;;;;;;;;;;539136;16;
04.05.2020;;33339;;;;;;;;;;533424;16;
05.05.2020;;34457;;;;;;;;;;551312;16;
06.05.2020;;33955;;;;;;;;;;543280;16;
07.05.2020;;34532;;;;;;;;;;552512;16;
08.05.2020;;34600;;;;;;;;;;553600;16;
12.05.2020;;35373;;;;;;;;;;565968;16;
13.05.2020;;34958;;;;;;;;;;559328;16;
14.05.2020;;34972;;;;;;;;;;559552;16;
15.05.2020;;35248;;;;;;;;;;563968;16;
18.05.2020;;37584;;;;;;;;;;601344;16;
19.05.2020;;37768;;;;;;;;;;604288;16;
20.05.2020;;37980;;;;;;;;;;607680;16;
21.05.2020;;36956;;;;;;;;;;591296;16;
22.05.2020;;36620;;;;;;;;;;585920;16;
25.05.2020;;37496;;;;;;;;;;599936;16;
26.05.2020;;37639;;;;;;;;;;602224;16;
27.05.2020;39999;37523;39999;39999;39999;39999;;2;1;79998;2;750460;20;
28.05.2020;36210;37747;39680;39680;33222;38704;-3,24;1;4;144839;4;754940;20;
29.05.2020;38100;37383;38100;38100;38100;38100;-1,56;1;1;38100;1;822426;22;
01.06.2020;34602;37930;34602;34602;34602;34602;-9,18;2;1;69204;2;682740;18;
02.06.2020;;38547;;;;;;;;;;693846;18;
03.06.2020;;39643;;;;;;;;;;713574;18;
04.06.2020;;39006;;;;;;;;;;702108;18;
05.06.2020;;40038;;;;;;;;;;720684;18;
08.06.2020;;40088;;;;;;;;;;721584;18;
09.06.2020;;40050;;;;;;;;;;720900;18;
10.06.2020;;39953;;;;;;;;;;719154;18;
11.06.2020;;37365;;;;;;;;;;672570;18;
15.06.2020;;37751;;;;;;;;;;679518;18;
16.06.2020;;38600;;;;;;;;;;694800;18;
17.06.2020;39479;38431;39479;39479;39479;39479;;1;1;39479;1;768620;20;
18.06.2020;38581;38602;34999;42162;34999;42162;6,80;1;2;77161;2;772040;20;
19.06.2020;;38592;;;;;;;;;;771840;20;
22.06.2020;;38520;;;;;;;;;;770400;20;
23.06.2020;;38664;;;;;;;;;;773280;20;
25.06.2020;37863;37971;38697;38697;37028;37028;;1;2;75725;2;759420;20;
26.06.2020;;37869;;;;;;;;;;757380;20;
