Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
08.06.2020;;40547;;;;;;;;;;;;
09.06.2020;;40674;;;;;;;;;;;;
10.06.2020;;40413;;;;;;;;;;;;
11.06.2020;;37788;;;;;;;;;;;;
15.06.2020;;38174;;;;;;;;;;;;
16.06.2020;;39037;;;;;;;;;;;;
17.06.2020;;38863;;;;;;;;;;;;
18.06.2020;;39029;;;;;;;;;;;;
19.06.2020;;39016;;;;;;;;;;;;
22.06.2020;;38937;;;;;;;;;;;;
23.06.2020;;39084;;;;;;;;;;;;
25.06.2020;;38390;;;;;;;;;;;;
26.06.2020;;38293;;;;;;;;;;;;
29.06.2020;;37965;;;;;;;;;;;;
30.06.2020;;37700;;;;;;;;;;;;
02.07.2020;;38173;;;;;;;;;;;;
03.07.2020;;38001;;;;;;;;;;;;
06.07.2020;;38412;;;;;;;;;;;;
07.07.2020;;38207;;;;;;;;;;;;
08.07.2020;;37948;;;;;;;;;;;;
09.07.2020;;37690;;;;;;;;;;;;
10.07.2020;;37615;;;;;;;;;;;;
13.07.2020;;37027;;;;;;;;;;;;
14.07.2020;;36727;;;;;;;;;;;;
15.07.2020;;36990;;;;;;;;;;;;
16.07.2020;;37425;;;;;;;;;;;;
17.07.2020;;37446;;;;;;;;;;;;
20.07.2020;;37510;;;;;;;;;;;;
21.07.2020;;37940;;;;;;;;;;;;
22.07.2020;40793;37785;40793;40793;40793;40793;;1;1;40793;1;75570;2;
23.07.2020;;37746;;;;;;;;;;75492;2;
24.07.2020;;37204;;;;;;;;;;74408;2;
27.07.2020;38040;37021;39715;40807;36000;40807;;1;6;228239;6;222126;6;
28.07.2020;;36969;;;;;;;;;;221814;6;
29.07.2020;37996;37317;37996;37996;37996;37996;;1;2;75992;2;373170;10;
30.07.2020;35290;36716;35495;35495;35085;35085;-7,66;1;2;70580;2;293728;8;
31.07.2020;;36856;;;;;;;;;;294848;8;
03.08.2020;;37014;;;;;;;;;;296112;8;
04.08.2020;;37271;;;;;;;;;;298168;8;
05.08.2020;;37859;;;;;;;;;;302872;8;
06.08.2020;;38078;;;;;;;;;;304624;8;
07.08.2020;36200;38016;36200;36200;36200;36200;;1;1;36200;1;304128;8;
10.08.2020;;38105;;;;;;;;;;304840;8;
11.08.2020;;38380;;;;;;;;;;307040;8;
12.08.2020;;38982;;;;;;;;;;311856;8;
13.08.2020;;38899;;;;;;;;;;311192;8;
14.08.2020;;38900;;;;;;;;;;311200;8;
17.08.2020;38900;39911;38900;38900;38900;38900;;1;1;38900;1;319288;8;
18.08.2020;;39911;;;;;;;;;;319288;8;
19.08.2020;;39911;;;;;;;;;;319288;8;
20.08.2020;;39349;;;;;;;;;;314792;8;
21.08.2020;;39585;;;;;;;;;;316680;8;
24.08.2020;;39909;;;;;;;;;;319272;8;
25.08.2020;;39876;;;;;;;;;;319008;8;
26.08.2020;;39875;;;;;;;;;;319000;8;
27.08.2020;;39874;;;;;;;;;;318992;8;
28.08.2020;;39241;;;;;;;;;;313928;8;
31.08.2020;;38452;;;;;;;;;;307616;8;
01.09.2020;;38488;;;;;;;;;;307904;8;
02.09.2020;37390;38485;36080;38700;36080;38700;;1;5;224340;6;307880;8;
03.09.2020;;37797;;;;;;;;;;302376;8;
04.09.2020;;38322;;;;;;;;;;306576;8;
07.09.2020;;38441;;;;;;;;;;307528;8;
08.09.2020;;38044;;;;;;;;;;304352;8;
09.09.2020;;38280;;;;;;;;;;306240;8;
10.09.2020;;38014;;;;;;;;;;304112;8;
11.09.2020;;38210;;;;;;;;;;305680;8;
14.09.2020;;38477;;;;;;;;;;307816;8;
15.09.2020;;39708;;;;;;;;;;317664;8;
16.09.2020;;39635;;;;;;;;;;317080;8;
17.09.2020;;38999;;;;;;;;;;311992;8;
18.09.2020;;38523;;;;;;;;;;308184;8;
21.09.2020;;37649;;;;;;;;;;301192;8;
22.09.2020;;38518;;;;;;;;;;308144;8;
23.09.2020;;38612;;;;;;;;;;308896;8;
24.09.2020;;38866;;;;;;;;;;310928;8;
25.09.2020;;39133;;;;;;;;;;313064;8;
28.09.2020;;39669;;;;;;;;;;317352;8;
29.09.2020;;39639;;;;;;;;;;317112;8;
30.09.2020;;39543;;;;;;;;;;316344;8;
01.10.2020;;39716;;;;;;;;;;317728;8;
02.10.2020;;39250;;;;;;;;;;314000;8;
05.10.2020;;40116;;;;;;;;;;320928;8;
06.10.2020;;40480;;;;;;;;;;323840;8;
07.10.2020;;39987;;;;;;;;;;319896;8;
08.10.2020;;40234;;;;;;;;;;321872;8;
09.10.2020;;39763;;;;;;;;;;318104;8;
12.10.2020;;39464;;;;;;;;;;315712;8;
13.10.2020;;39123;;;;;;;;;;312984;8;
14.10.2020;;39566;;;;;;;;;;316528;8;
15.10.2020;;39063;;;;;;;;;;312504;8;
16.10.2020;;39471;;;;;;;;;;315768;8;
19.10.2020;;39305;;;;;;;;;;314440;8;
20.10.2020;;39500;;;;;;;;;;316000;8;
21.10.2020;;39244;;;;;;;;;;313952;8;
22.10.2020;;38884;;;;;;;;;;311072;8;
23.10.2020;;38647;;;;;;;;;;309176;8;
26.10.2020;;38383;;;;;;;;;;307064;8;
27.10.2020;;38054;;;;;;;;;;304432;8;
28.10.2020;;36059;;;;;;;;;;288472;8;
29.10.2020;;35963;;;;;;;;;;287704;8;
30.10.2020;;36182;;;;;;;;;;289456;8;
02.11.2020;;36598;;;;;;;;;;292784;8;
03.11.2020;;38299;;;;;;;;;;306392;8;
05.11.2020;;39331;;;;;;;;;;314648;8;
06.11.2020;;39308;;;;;;;;;;314464;8;
09.11.2020;;41129;;;;;;;;;;329032;8;
10.11.2020;;42469;;;;;;;;;;339752;8;
11.11.2020;;43593;;;;;;;;;;348744;8;
12.11.2020;;42298;;;;;;;;;;338384;8;
13.11.2020;;42535;;;;;;;;;;340280;8;
16.11.2020;;43736;;;;;;;;;;349888;8;
17.11.2020;;44840;;;;;;;;;;358720;8;
18.11.2020;45659;46567;45659;45659;45659;45659;;1;1;45659;1;465670;10;
19.11.2020;44203;44203;44203;44203;44203;44203;-3,19;1;2;88406;2;530436;12;
20.11.2020;;46049;;;;;;;;;;552588;12;
23.11.2020;;46851;;;;;;;;;;562212;12;
24.11.2020;46700;46700;46700;46700;46700;46700;;1;1;46700;1;653800;14;
25.11.2020;;47179;;;;;;;;;;660506;14;
26.11.2020;;46342;;;;;;;;;;648788;14;
27.11.2020;;45899;;;;;;;;;;642586;14;
30.11.2020;;45622;;;;;;;;;;638708;14;
01.12.2020;;45352;;;;;;;;;;634928;14;
02.12.2020;;44690;;;;;;;;;;625660;14;
03.12.2020;;43971;;;;;;;;;;615594;14;
04.12.2020;;44295;;;;;;;;;;620130;14;
07.12.2020;;44889;;;;;;;;;;628446;14;
08.12.2020;;42941;;;;;;;;;;601174;14;
09.12.2020;;44093;;;;;;;;;;617302;14;
10.12.2020;43673;44415;43644;43701;43644;43701;;1;2;87345;2;444150;10;
11.12.2020;;44987;;;;;;;;;;449870;10;
14.12.2020;45886;44938;45886;45886;45886;45886;;1;1;45886;1;449380;10;
15.12.2020;45669;45932;45669;45669;45669;45669;-0,47;1;1;45669;1;459320;10;
16.12.2020;;45289;;;;;;;;;;452890;10;
17.12.2020;;45155;;;;;;;;;;451550;10;
18.12.2020;;45132;;;;;;;;;;451320;10;
21.12.2020;42780;42922;42780;42780;42780;42780;;1;1;42780;1;343376;8;
22.12.2020;;44018;;;;;;;;;;352144;8;
23.12.2020;;43984;;;;;;;;;;351872;8;
24.12.2020;;44302;;;;;;;;;;354416;8;
25.12.2020;;44297;;;;;;;;;;354376;8;
28.12.2020;44180;44180;44180;44180;44180;44180;;1;1;44180;1;353440;8;
29.12.2020;;44249;;;;;;;;;;353992;8;
30.12.2020;;44387;;;;;;;;;;355096;8;
04.01.2021;;44923;;;;;;;;;;359384;8;
05.01.2021;44222;45068;43636;45068;43636;45068;;1;4;176888;4;450680;10;
06.01.2021;45392;45469;45392;45392;45392;45392;0,72;1;1;45392;1;363752;8;
08.01.2021;47920;47920;47920;47920;47920;47920;5,57;1;1;47920;1;383360;8;
11.01.2021;47241;47417;47281;47281;47200;47200;-1,50;1;2;94481;2;379336;8;
12.01.2021;;47846;;;;;;;;;;382768;8;
13.01.2021;49004;48911;49204;49204;48911;48950;;1;4;196015;4;586932;12;
14.01.2021;50014;50239;48800;50239;48800;50239;2,63;1;7;500139;10;1205736;24;
15.01.2021;50793;51133;50348;51352;50346;51133;1,78;1;13;1676161;33;4397438;86;
18.01.2021;50551;51478;50505;51478;50500;51478;0,68;1;5;1061563;21;4221196;82;
19.01.2021;51131;50991;51763;52000;50815;50991;-0,95;1;13;1124885;22;2753514;54;
20.01.2021;50949;50925;50949;50949;50949;50949;-0,08;1;1;50949;1;2851800;56;
21.01.2021;50613;49936;50916;50922;50000;50000;-1,86;1;3;151838;3;2696544;54;
22.01.2021;48852;48977;48988;48988;48698;48977;-2,05;2;9;488523;10;3232482;66;
25.01.2021;49398;49457;49700;49700;49096;49096;0,24;1;2;98796;2;3066334;62;
26.01.2021;49268;49127;49325;49523;49100;49100;0,01;1;10;492678;10;3242382;66;
27.01.2021;48679;48314;48950;48950;48314;48314;-1,60;2;4;340755;7;2512328;52;
28.01.2021;48300;48169;48300;48300;48300;48300;-0,03;1;1;48300;1;2601126;54;
29.01.2021;47879;47456;48000;48220;47456;47456;-1,75;1;7;478785;10;2942272;62;
01.02.2021;46994;47187;47002;47002;46990;46990;-0,98;1;3;140982;3;2831220;60;
02.02.2021;48267;48510;48259;48270;48259;48270;2,72;5;5;965349;20;2910600;60;
03.02.2021;48675;48800;48900;48900;48450;48450;0,37;1;2;97350;2;3025600;62;
04.02.2021;49186;48930;49177;49190;49177;49190;1,53;1;3;147557;3;3033660;62;
05.02.2021;49666;49703;49639;49906;49531;49703;1,04;1;16;844325;17;3379804;68;
08.02.2021;50479;50337;50568;50568;50389;50389;1,38;1;2;100957;2;3624264;72;
09.02.2021;50320;49983;50377;50582;49772;50100;-0,57;1;7;452883;9;3598776;72;
10.02.2021;49424;49504;49522;49522;49185;49185;-1,83;1;4;296545;6;3465280;70;
11.02.2021;50317;50360;50100;50360;50100;50360;2,39;1;3;301900;6;3424480;68;
12.02.2021;50138;50335;49156;50527;49156;50527;0,33;1;10;501378;10;3724790;74;
15.02.2021;50937;51840;50214;51506;50190;51501;1,93;1;16;814998;16;4250880;82;
16.02.2021;52433;52660;52000;52660;52000;52660;2,25;2;13;1677860;32;6108560;116;
17.02.2021;50891;50800;51068;51068;50800;50800;-3,53;4;5;407129;8;5384800;106;
18.02.2021;50949;50602;50754;51093;50602;50602;-0,39;1;11;866131;17;6173444;122;
19.02.2021;50785;51120;50538;51120;49629;51120;1,02;6;15;1625124;32;6747840;132;
20.02.2021;51039;51068;51025;51054;51021;51054;-0,13;1;4;204154;4;6843112;134;
22.02.2021;51083;51252;51054;51298;51054;51298;0,48;1;6;919497;18;8610336;168;
24.02.2021;51389;51552;51300;51600;51131;51552;0,50;1;15;822220;16;8763840;170;
25.02.2021;52694;53049;52100;53125;51850;53118;3,04;1;39;3161648;60;13792740;260;
26.02.2021;52580;52089;52945;52945;51850;52150;-1,82;1;38;4627019;88;11667936;224;
01.03.2021;52184;51984;52055;52611;51871;51871;-0,54;2;17;1200221;23;11852352;228;
02.03.2021;51856;52500;52125;52500;51000;52500;1,21;1;40;3370617;65;15330000;292;
03.03.2021;52891;53090;52499;53187;52240;53100;1,14;5;49;4389959;83;19430940;366;
04.03.2021;53586;53900;53014;53927;52637;53900;1,51;1;293;30972913;578;57134000;1060;
05.03.2021;54745;55664;53919;55664;53827;55664;3,27;1;294;30602294;559;96187392;1728;
09.03.2021;56826;57050;55556;57899;55300;56750;1,95;5;509;67566066;1189;166586000;2920;
10.03.2021;56486;56100;56811;57263;56050;56065;-1,21;3;299;35416457;627;151470000;2700;
11.03.2021;56243;57046;55896;57087;55500;56889;1,47;1;245;32114662;571;185627684;3254;
12.03.2021;57065;56949;56917;57412;56657;56934;0,08;1;286;32013719;561;198068622;3478;
15.03.2021;57564;57602;57197;58010;56988;57685;1,32;1;814;82086400;1426;256098492;4446;
16.03.2021;56925;57565;57545;57805;56108;57350;-0,58;2;1845;243811137;4283;496670820;8628;
17.03.2021;56329;55364;57326;57465;55254;55377;-3,44;1;3900;449111840;7973;687399424;12416;
18.03.2021;55515;55741;55422;55955;55079;55921;0,98;1;2914;370785004;6679;869671082;15602;
19.03.2021;55034;55506;55920;55920;54171;55501;-0,75;1;4042;529038761;9613;903193632;16272;
22.03.2021;56108;56263;55509;56691;55500;56155;1,18;1;3317;405321040;7224;1018472826;18102;
23.03.2021;56412;57235;56243;57443;55713;57131;1,74;9;5110;681680891;12084;1307934220;22852;
24.03.2021;56984;57320;57170;57753;56400;57303;0,30;1;4675;655994818;11512;1309647360;22848;
25.03.2021;57133;57200;57266;57561;56653;57191;-0,20;1;4415;607040618;10625;1410780800;24664;
26.03.2021;58035;58131;57132;58537;57132;58112;1,61;5;5244;673899563;11612;1397352978;24038;
29.03.2021;58050;57731;58194;58591;57501;57838;-0,47;1;4694;628852213;10833;1458746908;25268;
30.03.2021;57407;57123;57837;58115;56804;57236;-1,04;2;2691;374180266;6518;1437214680;25160;
31.03.2021;57268;57470;57236;57632;56905;57530;0,51;1;2195;280268970;4894;1461921860;25438;
01.04.2021;57057;56731;57530;57799;56526;56871;-1,14;2;3824;525149479;9204;1488281054;26234;
02.04.2021;57076;57010;56726;57366;56725;57135;0,46;1;1286;183557636;3216;1481803920;25992;
05.04.2021;56497;56332;57126;57148;56077;56303;-1,46;1;2305;302826567;5360;1513415512;26866;
06.04.2021;55668;55211;56310;56623;54884;55162;-2,03;1;3476;461598345;8292;1438798660;26060;
07.04.2021;55369;55356;55154;55866;54679;55339;0,32;1;2751;349321590;6309;1488633552;26892;
08.04.2021;55242;55003;55340;55806;54808;55070;-0,49;2;1783;202792980;3671;1484310958;26986;
09.04.2021;54404;53885;55046;55249;53829;53881;-2,16;1;2621;320496401;5891;1397345820;25932;
12.04.2021;53879;53960;53879;54223;53379;53960;0,15;1;3704;583236603;10825;1360331600;25210;
