Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
09.09.2019;;44914;;;;;;;;;;;;
10.09.2019;;44156;;;;;;;;;;;;
11.09.2019;40109;44179;40109;40109;40109;40109;;2;1;80218;2;176716;4;
12.09.2019;;43545;;;;;;;;;;174180;4;
13.09.2019;;43385;;;;;;;;;;173540;4;
16.09.2019;41643;44636;43899;43899;39386;39386;;1;2;83285;2;178544;4;
17.09.2019;;45164;;;;;;;;;;180656;4;
18.09.2019;;44982;;;;;;;;;;179928;4;
19.09.2019;;43181;;;;;;;;;;172724;4;
20.09.2019;;43181;;;;;;;;;;172724;4;
23.09.2019;;43181;;;;;;;;;;172724;4;
24.09.2019;;43181;;;;;;;;;;172724;4;
25.09.2019;;43181;;;;;;;;;;172724;4;
26.09.2019;;43171;;;;;;;;;;172684;4;
27.09.2019;;43166;;;;;;;;;;172664;4;
30.09.2019;;43180;;;;;;;;;;172720;4;
01.10.2019;;43181;;;;;;;;;;172724;4;
02.10.2019;43181;43180;43181;43181;43181;43181;;1;1;43181;1;172720;4;
03.10.2019;;43156;;;;;;;;;;172624;4;
04.10.2019;;43114;;;;;;;;;;172456;4;
07.10.2019;;43171;;;;;;;;;;172684;4;
08.10.2019;;43649;;;;;;;;;;174596;4;
09.10.2019;;43582;;;;;;;;;;174328;4;
10.10.2019;;43051;;;;;;;;;;172204;4;
11.10.2019;;43283;;;;;;;;;;173132;4;
14.10.2019;;43319;;;;;;;;;;173276;4;
15.10.2019;;43380;;;;;;;;;;173520;4;
16.10.2019;;43590;;;;;;;;;;174360;4;
17.10.2019;;43760;;;;;;;;;;175040;4;
18.10.2019;41781;43587;41781;41781;41781;41781;;1;1;41781;1;87174;2;
21.10.2019;;43243;;;;;;;;;;86486;2;
22.10.2019;;43649;;;;;;;;;;87298;2;
23.10.2019;;43979;;;;;;;;;;87958;2;
24.10.2019;;44216;;;;;;;;;;88432;2;
25.10.2019;;44254;;;;;;;;;;88508;2;
28.10.2019;;44151;;;;;;;;;;88302;2;
29.10.2019;;44799;;;;;;;;;;89598;2;
30.10.2019;;45085;;;;;;;;;;90170;2;
31.10.2019;;44742;;;;;;;;;;89484;2;
01.11.2019;;45517;;;;;;;;;;91034;2;
05.11.2019;;46540;;;;;;;;;;93080;2;
06.11.2019;;46385;;;;;;;;;;92770;2;
07.11.2019;;47538;;;;;;;;;;95076;2;
08.11.2019;;46477;;;;;;;;;;92954;2;
11.11.2019;;46167;;;;;;;;;;92334;2;
12.11.2019;;47214;;;;;;;;;;94428;2;
13.11.2019;;47014;;;;;;;;;;94028;2;
14.11.2019;;46641;;;;;;;;;;93282;2;
15.11.2019;;46767;;;;;;;;;;93534;2;
18.11.2019;;46081;;;;;;;;;;92162;2;
19.11.2019;;46137;;;;;;;;;;92274;2;
20.11.2019;47938;45932;47938;47938;47938;47938;;1;1;47938;1;183728;4;
21.11.2019;44696;46132;44696;44696;44696;44696;-6,76;1;1;44696;1;92264;2;
22.11.2019;;46234;;;;;;;;;;92468;2;
25.11.2019;;46452;;;;;;;;;;92904;2;
26.11.2019;;45799;;;;;;;;;;91598;2;
27.11.2019;;45455;;;;;;;;;;90910;2;
28.11.2019;;45432;;;;;;;;;;90864;2;
29.11.2019;;44910;;;;;;;;;;89820;2;
02.12.2019;;44501;;;;;;;;;;89002;2;
03.12.2019;;44177;;;;;;;;;;88354;2;
04.12.2019;;45226;;;;;;;;;;90452;2;
05.12.2019;;44540;;;;;;;;;;89080;2;
06.12.2019;44000;45483;44000;44000;44000;44000;;150;1;6600000;150;13735866;302;
09.12.2019;46819;45586;46850;46850;44500;46850;6,48;1;5;7210200;154;91172;2;
10.12.2019;46000;45717;45050;46950;45050;46950;0,21;180;3;18399800;400;1920114;42;
11.12.2019;46951;46699;46699;46990;46699;46990;0,08;16;3;939028;20;466990;10;
12.12.2019;;46184;;;;;;;;;;461840;10;
13.12.2019;45229;45862;45229;45229;45229;45229;;1;1;45229;1;366896;8;
16.12.2019;;45705;;;;;;;;;;365640;8;
17.12.2019;;45993;;;;;;;;;;367944;8;
18.12.2019;;46247;;;;;;;;;;369976;8;
19.12.2019;;45745;;;;;;;;;;365960;8;
20.12.2019;;45808;;;;;;;;;;366464;8;
23.12.2019;;45675;;;;;;;;;;365400;8;
24.12.2019;;45918;;;;;;;;;;367344;8;
25.12.2019;;46187;;;;;;;;;;369496;8;
26.12.2019;;46153;;;;;;;;;;369224;8;
27.12.2019;;46072;;;;;;;;;;368576;8;
30.12.2019;;45634;;;;;;;;;;365072;8;
03.01.2020;;46206;;;;;;;;;;369648;8;
06.01.2020;;46151;;;;;;;;;;369208;8;
08.01.2020;;45836;;;;;;;;;;366688;8;
09.01.2020;;46660;;;;;;;;;;373280;8;
10.01.2020;47000;47939;47000;47000;47000;47000;;3;1;141000;3;383512;8;
13.01.2020;;48675;;;;;;;;;;389400;8;
14.01.2020;;48182;;;;;;;;;;385456;8;
15.01.2020;;48075;;;;;;;;;;384600;8;
16.01.2020;;48614;;;;;;;;;;388912;8;
17.01.2020;;49204;;;;;;;;;;393632;8;
20.01.2020;;49205;;;;;;;;;;393640;8;
21.01.2020;;49288;;;;;;;;;;394304;8;
22.01.2020;;48362;;;;;;;;;;386896;8;
23.01.2020;;47808;;;;;;;;;;382464;8;
