Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
09.12.2019;;46270;;;;;;;;;;;;
10.12.2019;;46403;;;;;;;;;;;;
11.12.2019;;46789;;;;;;;;;;;;
12.12.2019;;46877;;;;;;;;;;;;
13.12.2019;;46550;;;;;;;;;;;;
16.12.2019;;46391;;;;;;;;;;;;
17.12.2019;;46683;;;;;;;;;;;;
18.12.2019;;46940;;;;;;;;;;;;
19.12.2019;;46431;;;;;;;;;;;;
20.12.2019;;46495;;;;;;;;;;;;
23.12.2019;;46360;;;;;;;;;;;;
24.12.2019;;46607;;;;;;;;;;;;
25.12.2019;;46880;;;;;;;;;;;;
26.12.2019;45578;46845;47748;47748;43391;43430;;1;4;182313;4;;;
27.12.2019;;46763;;;;;;;;;;;;
30.12.2019;;46318;;;;;;;;;;;;
03.01.2020;;46899;;;;;;;;;;;;
06.01.2020;;46843;;;;;;;;;;;;
08.01.2020;;46523;;;;;;;;;;;;
09.01.2020;;47359;;;;;;;;;;;;
10.01.2020;;48058;;;;;;;;;;;;
13.01.2020;48899;49405;48899;48899;48899;48899;;2;1;97798;2;197620;4;
14.01.2020;50644;48905;50644;50644;50644;50644;3,57;1;1;50644;1;293430;6;
15.01.2020;;48796;;;;;;;;;;292776;6;
16.01.2020;;49343;;;;;;;;;;296058;6;
17.01.2020;50197;49942;50197;50197;50197;50197;;2;1;100394;2;499420;10;
20.01.2020;;49943;;;;;;;;;;499430;10;
21.01.2020;;50027;;;;;;;;;;500270;10;
22.01.2020;;49087;;;;;;;;;;490870;10;
23.01.2020;;48525;;;;;;;;;;485250;10;
24.01.2020;;48754;;;;;;;;;;487540;10;
27.01.2020;;48023;;;;;;;;;;480230;10;
28.01.2020;;49022;;;;;;;;;;490220;10;
29.01.2020;;49404;;;;;;;;;;494040;10;
30.01.2020;;49430;;;;;;;;;;494300;10;
31.01.2020;;49250;;;;;;;;;;492500;10;
03.02.2020;;49326;;;;;;;;;;493260;10;
04.02.2020;;49286;;;;;;;;;;492860;10;
05.02.2020;;49104;;;;;;;;;;491040;10;
06.02.2020;;48735;;;;;;;;;;487350;10;
07.02.2020;;47260;;;;;;;;;;472600;10;
10.02.2020;46014;45968;43832;48225;43832;48225;;1;4;184057;4;459680;10;
11.02.2020;;45999;;;;;;;;;;459990;10;
12.02.2020;45451;46999;42901;48000;42901;48000;;1;2;90901;2;563988;12;
13.02.2020;;46798;;;;;;;;;;561576;12;
14.02.2020;;46799;;;;;;;;;;561588;12;
17.02.2020;;46795;;;;;;;;;;561540;12;
18.02.2020;;46135;;;;;;;;;;553620;12;
19.02.2020;45100;47399;43000;47500;43000;47500;;1;3;180400;4;568788;12;
20.02.2020;;47969;;;;;;;;;;575628;12;
21.02.2020;;47209;;;;;;;;;;566508;12;
25.02.2020;45978;45372;46200;46200;45200;45200;;2;4;505756;11;1451904;32;
26.02.2020;;44999;;;;;;;;;;1439968;32;
27.02.2020;;42964;;;;;;;;;;1374848;32;
28.02.2020;41419;40746;41419;41419;41419;41419;;1;1;41419;1;1385364;34;
02.03.2020;42200;40119;42200;42200;42200;42200;1,89;1;1;42200;1;1364046;34;
03.03.2020;42843;41400;42843;42843;42843;42843;1,52;1;1;42843;1;1490400;36;
04.03.2020;;42169;;;;;;;;;;1518084;36;
05.03.2020;;41818;;;;;;;;;;1505448;36;
06.03.2020;;39875;;;;;;;;;;1435500;36;
10.03.2020;34934;32935;34000;37136;34000;34000;;1;4;139736;4;1317400;40;
11.03.2020;30757;31642;30757;30757;30757;30757;-9,54;1;1;30757;1;1202396;38;
12.03.2020;30827;28001;30800;30853;30800;30853;0,31;1;2;61653;2;1120040;40;
13.03.2020;30360;26972;28049;31917;28000;28000;-9,25;1;3;151800;5;1186768;44;
16.03.2020;25253;25865;28000;28000;24033;26966;-3,69;1;6;176768;7;982870;38;
17.03.2020;;24694;;;;;;;;;;938372;38;
18.03.2020;25043;23492;21884;28133;21808;25257;;1;4;125215;5;986664;42;
19.03.2020;;25500;;;;;;;;;;1071000;42;
20.03.2020;;28474;;;;;;;;;;1195908;42;
23.03.2020;27092;27203;24826;29358;24826;29358;;1;2;54184;2;1142526;42;
