<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;60;20190103;110000;429.0000000;429.1000000;427.0000000;427.5500000;187310
ROSN;60;20190103;120000;427.2000000;427.8000000;425.1500000;425.9500000;236380
ROSN;60;20190103;130000;425.7000000;428.7000000;425.5000000;427.9000000;145130
ROSN;60;20190103;140000;427.8500000;429.1000000;427.3500000;427.9500000;115420
ROSN;60;20190103;150000;428.1500000;428.9500000;427.9000000;428.1000000;54330
ROSN;60;20190103;160000;428.0500000;428.9000000;427.9500000;428.7000000;59250
ROSN;60;20190103;170000;428.6000000;429.8000000;428.2500000;429.3000000;112160
ROSN;60;20190103;180000;429.3500000;429.3500000;426.2000000;426.8000000;159610
ROSN;60;20190103;190000;426.9000000;426.9000000;422.4000000;425.8500000;457860
ROSN;60;20190104;110000;427.2000000;439.0000000;426.2000000;429.6000000;359190
ROSN;60;20190104;120000;429.6000000;432.0000000;428.6000000;430.9500000;208740
ROSN;60;20190104;130000;430.6000000;431.4000000;428.7500000;429.6000000;152030
ROSN;60;20190104;140000;430.0000000;430.1500000;428.3500000;428.5500000;97950
ROSN;60;20190104;150000;429.0500000;430.3500000;428.1000000;429.1000000;104530
ROSN;60;20190104;160000;429.1500000;429.9500000;428.4500000;429.6500000;113750
ROSN;60;20190104;170000;429.7000000;430.9500000;429.4500000;429.8500000;262150
ROSN;60;20190104;180000;429.9500000;431.2000000;429.9500000;430.0000000;79220
ROSN;60;20190104;190000;430.0000000;430.8000000;429.2500000;430.4000000;256090
ROSN;60;20190108;110000;427.0000000;427.0000000;423.2000000;423.3500000;424870
ROSN;60;20190108;120000;423.4000000;423.9000000;421.1000000;421.7000000;313890
ROSN;60;20190108;130000;421.6500000;423.3500000;421.4000000;421.4000000;172230
ROSN;60;20190108;140000;421.5000000;423.5000000;421.3000000;422.5500000;159360
ROSN;60;20190108;150000;422.6500000;422.8500000;421.6000000;422.4500000;123810
ROSN;60;20190108;160000;422.4500000;422.4500000;421.1000000;421.4500000;127220
ROSN;60;20190108;170000;421.2500000;422.3500000;420.6500000;421.0500000;124780
ROSN;60;20190108;180000;421.0500000;422.9500000;420.9500000;421.9000000;266540
ROSN;60;20190108;190000;421.7500000;423.6000000;421.0000000;423.6000000;319560
ROSN;60;20190109;110000;425.0000000;428.5500000;425.0000000;427.3000000;336010
ROSN;60;20190109;120000;427.3000000;427.7500000;425.6000000;426.5000000;199720
ROSN;60;20190109;130000;426.5000000;428.9000000;426.4500000;428.6500000;206020
ROSN;60;20190109;140000;428.6500000;428.8000000;427.9000000;428.4500000;217710
ROSN;60;20190109;150000;428.4500000;428.5000000;427.8000000;427.8000000;101850
ROSN;60;20190109;160000;427.8000000;428.1500000;426.7000000;426.7500000;152530
ROSN;60;20190109;170000;426.8500000;428.5000000;426.7500000;428.2000000;260200
ROSN;60;20190109;180000;428.3000000;428.4500000;426.4000000;427.9500000;428180
ROSN;60;20190109;190000;427.9500000;428.0000000;426.6500000;427.7000000;508680
ROSN;60;20190110;110000;427.7500000;427.8000000;424.7500000;425.0000000;173400
ROSN;60;20190110;120000;425.1000000;425.7000000;424.0000000;424.9500000;186710
ROSN;60;20190110;130000;424.7500000;425.8500000;424.2000000;425.0000000;223090
ROSN;60;20190110;140000;425.0000000;427.6500000;424.8500000;426.2000000;310750
ROSN;60;20190110;150000;426.3000000;428.9500000;426.3000000;428.2000000;244140
ROSN;60;20190110;160000;428.1000000;429.5500000;428.0000000;429.0500000;122620
ROSN;60;20190110;170000;429.1500000;431.6000000;429.1500000;430.1000000;232680
ROSN;60;20190110;180000;429.9500000;433.0000000;429.7500000;431.6000000;455680
ROSN;60;20190110;190000;431.6500000;432.5000000;430.6500000;432.1000000;538730
ROSN;60;20190111;110000;432.0000000;433.3000000;431.3500000;432.5000000;157270
ROSN;60;20190111;120000;432.5000000;433.8500000;431.9000000;433.8000000;407490
ROSN;60;20190111;130000;433.7000000;434.4000000;433.6500000;434.1000000;410100
ROSN;60;20190111;140000;434.1000000;434.9000000;434.0000000;434.7500000;209350
ROSN;60;20190111;150000;434.7500000;434.8500000;434.1000000;434.8000000;161810
ROSN;60;20190111;160000;434.7000000;435.3000000;434.5000000;434.7000000;231640
ROSN;60;20190111;170000;434.8000000;435.0500000;432.6000000;432.6000000;463170
ROSN;60;20190111;180000;432.7500000;433.2000000;430.2000000;431.3500000;309540
ROSN;60;20190111;190000;431.5000000;434.6000000;431.4000000;434.6000000;488380
ROSN;60;20190114;110000;434.0500000;434.0500000;428.3000000;429.3500000;264280
ROSN;60;20190114;120000;429.2000000;429.4500000;426.5000000;427.0000000;395010
ROSN;60;20190114;130000;426.9500000;427.6000000;425.2000000;425.8000000;348900
ROSN;60;20190114;140000;425.7000000;426.0500000;424.8500000;425.7000000;186350
ROSN;60;20190114;150000;425.7000000;425.9500000;425.1000000;425.4500000;165260
ROSN;60;20190114;160000;425.4500000;425.9500000;425.2500000;425.5000000;186690
ROSN;60;20190114;170000;425.5000000;427.5000000;425.1500000;426.7000000;183090
ROSN;60;20190114;180000;426.4000000;428.0000000;426.4000000;426.9000000;288910
ROSN;60;20190114;190000;426.8000000;427.9000000;426.6000000;427.9000000;332020
ROSN;60;20190115;110000;428.6000000;429.3500000;427.5500000;428.5500000;137300
ROSN;60;20190115;120000;428.5000000;431.3500000;428.4000000;431.2000000;467220
ROSN;60;20190115;130000;431.2000000;431.2500000;429.2000000;429.6500000;223640
ROSN;60;20190115;140000;429.6000000;429.7500000;425.8000000;426.0500000;270970
ROSN;60;20190115;150000;426.1500000;427.2500000;424.1000000;424.1000000;369540
ROSN;60;20190115;160000;424.0500000;424.8000000;423.0500000;423.8500000;287350
ROSN;60;20190115;170000;423.9000000;423.9000000;421.3000000;422.0500000;457140
ROSN;60;20190115;180000;421.8500000;423.4000000;421.3000000;422.9000000;247930
ROSN;60;20190115;190000;422.9000000;424.3500000;422.7000000;424.3500000;400140
ROSN;60;20190116;110000;424.4500000;426.9000000;424.3500000;425.8500000;313990
ROSN;60;20190116;120000;425.8500000;426.9000000;421.5500000;423.1500000;656190
ROSN;60;20190116;130000;423.2500000;423.8500000;422.1500000;422.7500000;203250
ROSN;60;20190116;140000;422.7500000;423.2000000;422.0000000;422.2000000;237470
ROSN;60;20190116;150000;422.1000000;423.3500000;422.0000000;422.4000000;103820
ROSN;60;20190116;160000;422.4000000;422.8500000;422.0000000;422.2000000;146740
ROSN;60;20190116;170000;422.2000000;422.2000000;420.0000000;420.1500000;421350
ROSN;60;20190116;180000;420.1500000;421.2000000;420.0000000;421.1500000;412970
ROSN;60;20190116;190000;421.1000000;421.4500000;420.2500000;421.0000000;587620
ROSN;60;20190117;110000;422.0000000;422.4500000;418.1500000;418.5000000;307880
ROSN;60;20190117;120000;418.5000000;419.6500000;418.2000000;419.2500000;304940
ROSN;60;20190117;130000;419.1500000;420.0000000;418.3000000;418.5000000;336050
ROSN;60;20190117;140000;418.6000000;419.7500000;418.2000000;418.7500000;249300
ROSN;60;20190117;150000;418.8000000;419.5000000;418.1000000;418.4500000;326310
ROSN;60;20190117;160000;418.4500000;418.8000000;416.5500000;417.1000000;399590
ROSN;60;20190117;170000;417.1000000;417.4000000;415.3000000;415.8000000;537580
ROSN;60;20190117;180000;415.6500000;416.0000000;414.6500000;415.5000000;471380
ROSN;60;20190117;190000;415.5500000;416.3500000;414.2000000;415.9000000;531940
ROSN;60;20190118;110000;418.7000000;421.9500000;417.6000000;420.7500000;729770
ROSN;60;20190118;120000;420.7500000;420.8500000;418.1000000;419.2000000;858100
ROSN;60;20190118;130000;419.1000000;421.2000000;418.7000000;420.3000000;382260
