<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.YNDF-9.20;60;20200407;140000;29444.0000000;29444.0000000;24444.0000000;24444.0000000;4
SPFB.YNDF-9.20;60;20200407;180000;27200.0000000;27200.0000000;27200.0000000;27200.0000000;2
SPFB.YNDF-9.20;60;20200408;180000;27190.0000000;27190.0000000;27190.0000000;27190.0000000;1
SPFB.YNDF-9.20;60;20200415;120000;27409.0000000;27409.0000000;27409.0000000;27409.0000000;1
SPFB.YNDF-9.20;60;20200415;160000;27100.0000000;27100.0000000;27100.0000000;27100.0000000;1
SPFB.YNDF-9.20;60;20200416;190000;27177.0000000;27177.0000000;27177.0000000;27177.0000000;1
SPFB.YNDF-9.20;60;20200420;210000;27095.0000000;27095.0000000;27095.0000000;27095.0000000;1
SPFB.YNDF-9.20;60;20200421;160000;26900.0000000;26900.0000000;26900.0000000;26900.0000000;1
SPFB.YNDF-9.20;60;20200421;180000;27290.0000000;27290.0000000;27290.0000000;27290.0000000;1
SPFB.YNDF-9.20;60;20200421;200000;26490.0000000;26490.0000000;26490.0000000;26490.0000000;1
SPFB.YNDF-9.20;60;20200422;160000;25666.0000000;25666.0000000;25666.0000000;25666.0000000;1
SPFB.YNDF-9.20;60;20200422;180000;28489.0000000;28489.0000000;28489.0000000;28489.0000000;1
SPFB.YNDF-9.20;60;20200424;130000;28489.0000000;28489.0000000;28489.0000000;28489.0000000;1
SPFB.YNDF-9.20;60;20200428;110000;28487.0000000;28487.0000000;28487.0000000;28487.0000000;1
SPFB.YNDF-9.20;60;20200428;170000;28457.0000000;28457.0000000;28457.0000000;28457.0000000;2
SPFB.YNDF-9.20;60;20200429;150000;28000.0000000;28000.0000000;28000.0000000;28000.0000000;1
SPFB.YNDF-9.20;60;20200506;210000;28000.0000000;28000.0000000;28000.0000000;28000.0000000;1
SPFB.YNDF-9.20;60;20200507;110000;28000.0000000;28000.0000000;28000.0000000;28000.0000000;1
SPFB.YNDF-9.20;60;20200513;170000;30000.0000000;30000.0000000;30000.0000000;30000.0000000;4
SPFB.YNDF-9.20;60;20200514;110000;29100.0000000;29100.0000000;29000.0000000;29000.0000000;5
SPFB.YNDF-9.20;60;20200514;120000;29099.0000000;29100.0000000;29099.0000000;29100.0000000;2
SPFB.YNDF-9.20;60;20200514;170000;28800.0000000;28800.0000000;28800.0000000;28800.0000000;1
SPFB.YNDF-9.20;60;20200514;190000;28799.0000000;28800.0000000;28799.0000000;28800.0000000;2
SPFB.YNDF-9.20;60;20200515;150000;29000.0000000;29000.0000000;29000.0000000;29000.0000000;1
SPFB.YNDF-9.20;60;20200518;130000;29700.0000000;29700.0000000;29700.0000000;29700.0000000;1
