Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
04.09.2020;;49525;;;;;;;;;;;;
07.09.2020;;50976;;;;;;;;;;;;
08.09.2020;;48669;;;;;;;;;;;;
09.09.2020;;48028;;;;;;;;;;;;
10.09.2020;;47899;;;;;;;;;;;;
11.09.2020;;47622;;;;;;;;;;;;
14.09.2020;;48228;;;;;;;;;;;;
15.09.2020;47300;48154;47300;47300;47300;47300;;1;1;47300;1;96308;2;
16.09.2020;;47040;;;;;;;;;;94080;2;
17.09.2020;;46264;;;;;;;;;;92528;2;
18.09.2020;;46000;;;;;;;;;;92000;2;
21.09.2020;;45995;;;;;;;;;;91990;2;
22.09.2020;46000;46020;46000;46000;46000;46000;;1;1;46000;1;184080;4;
23.09.2020;51874;50545;46021;56390;46021;50543;9,88;1;188;18103984;349;11119900;220;
24.09.2020;49972;49742;50556;50556;49500;49742;-1,58;1;10;549691;11;11142208;224;
25.09.2020;49096;50028;49037;50028;48606;50028;0,58;1;10;736443;15;10705992;214;
28.09.2020;51291;51738;50917;51738;50917;51738;3,42;1;3;153874;3;11071932;214;
29.09.2020;51875;51848;51726;52485;51726;51848;0,21;1;6;311249;6;11199168;216;
30.09.2020;51315;51220;51848;51848;51220;51220;-1,21;1;6;359205;7;10961080;214;
01.10.2020;50892;50186;51527;51750;50023;50186;-2,02;1;13;865166;17;10940548;218;
02.10.2020;49688;50310;49860;50310;49056;50310;0,25;1;8;397504;8;10967580;218;
05.10.2020;49927;50218;49139;50218;49139;50218;-0,18;1;20;998530;20;10947524;218;
06.10.2020;50364;50318;50318;50596;50318;50318;0,20;1;11;906557;18;11774412;234;
07.10.2020;49340;48300;50005;50005;48300;48300;-4,01;1;4;197360;4;11398800;236;
08.10.2020;48565;48000;48362;48991;48000;48000;-0,62;1;9;485649;10;11520000;240;
09.10.2020;47907;48123;48000;48400;47500;48123;0,26;1;8;383254;8;11453274;238;
12.10.2020;48313;48400;47545;48500;47545;48400;0,58;1;11;531441;11;11712800;242;
13.10.2020;48715;48919;48499;48871;48499;48871;0,97;1;8;389718;8;12229750;250;
