Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
03.12.2020;;52925;;;;;;;;;;;;
04.12.2020;;52257;;;;;;;;;;;;
07.12.2020;;51198;;;;;;;;;;;;
08.12.2020;;51328;;;;;;;;;;;;
09.12.2020;;53295;;;;;;;;;;;;
10.12.2020;;52435;;;;;;;;;;;;
11.12.2020;;52467;;;;;;;;;;;;
14.12.2020;;51845;;;;;;;;;;;;
15.12.2020;;51799;;;;;;;;;;;;
16.12.2020;;53093;;;;;;;;;;;;
17.12.2020;53420;53417;53420;53420;53420;53420;;4;1;213680;4;427336;8;
18.12.2020;;52372;;;;;;;;;;418976;8;
21.12.2020;;51551;;;;;;;;;;412408;8;
22.12.2020;51848;51900;51385;51986;51385;51900;;1;5;259241;5;415200;8;
23.12.2020;52195;52195;52195;52195;52195;52195;0,57;1;1;52195;1;417560;8;
24.12.2020;52002;51625;52002;52002;52002;52002;-0,37;1;1;52002;1;413000;8;
25.12.2020;51332;51332;51332;51332;51332;51332;-1,29;1;1;51332;1;410656;8;
28.12.2020;50951;50951;50951;50951;50951;50951;-0,74;1;1;50951;1;407608;8;
29.12.2020;;51330;;;;;;;;;;410640;8;
30.12.2020;51097;51963;51097;51097;51097;51097;;1;1;51097;1;519630;10;
04.01.2021;53114;53165;52829;53219;52829;53219;4,15;4;3;318685;6;1063300;20;
05.01.2021;53082;53446;52800;53446;52800;53446;0,43;1;3;159246;3;1175812;22;
06.01.2021;53574;53000;53600;54067;53000;53000;-0,83;1;8;1339362;25;3074000;58;
08.01.2021;53367;53400;53100;53400;53100;53400;0,76;2;6;1440900;27;5233200;98;
11.01.2021;52981;52672;53400;53400;52672;52672;-1,36;1;11;794711;15;5267200;100;
12.01.2021;52687;51808;52580;52900;52580;52900;0,43;1;2;158060;3;5180800;100;
13.01.2021;51630;51465;51757;51955;51300;51400;-2,84;1;11;722824;14;5455290;106;
14.01.2021;51225;50986;51542;51629;50986;50986;-0,80;3;16;1844109;36;5710432;112;
15.01.2021;51065;50674;51349;51642;50523;50523;-0,91;2;18;1174486;23;7195708;142;
18.01.2021;50536;50846;50523;50846;50500;50846;0,64;1;10;859108;17;8542128;168;
19.01.2021;50846;50625;50846;50846;50846;50846;;1;1;50846;1;8606250;170;
20.01.2021;50482;50888;50546;50844;50305;50844;0,00;1;7;353373;7;8956288;176;
21.01.2021;51055;50900;51036;51431;50810;50900;0,11;2;11;816877;16;9976400;196;
22.01.2021;50940;50718;50940;50940;50940;50940;0,08;7;1;356580;7;10650780;210;
25.01.2021;50904;50495;51141;51163;50601;50601;-0,66;1;4;203615;4;10704940;212;
26.01.2021;49668;49550;49500;50480;49259;49550;-2,08;1;60;5910465;119;15756900;318;
27.01.2021;49138;48991;49588;49720;48413;49042;-1,02;1;32;4618931;94;19694382;402;
28.01.2021;49163;49151;48730;49787;48430;49151;0,22;1;46;4277154;87;20741722;422;
29.01.2021;48907;48194;49184;49436;48194;48194;-1,95;1;17;1075963;22;21687300;450;
