Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
06.04.2020;;26440;;;;;;;;;;;;
07.04.2020;27863;27306;29444;29444;24444;27200;;2;3;167176;6;163836;6;
08.04.2020;27190;27907;27190;27190;27190;27190;-0,04;1;1;27190;1;223256;8;
09.04.2020;;27499;;;;;;;;;;219992;8;
10.04.2020;;27667;;;;;;;;;;221336;8;
13.04.2020;;27198;;;;;;;;;;217584;8;
14.04.2020;;28189;;;;;;;;;;225512;8;
15.04.2020;27255;27100;27409;27409;27100;27100;;1;2;54509;2;216800;8;
16.04.2020;27177;27006;27177;27177;27177;27177;0,28;1;1;27177;1;216048;8;
17.04.2020;;26979;;;;;;;;;;215832;8;
20.04.2020;;27927;;;;;;;;;;223416;8;
21.04.2020;27095;27097;27095;27290;26900;27290;;1;3;81285;3;216776;8;
22.04.2020;26882;27146;26490;28489;25666;28489;4,39;1;3;80645;3;271460;10;
23.04.2020;;27024;;;;;;;;;;270240;10;
24.04.2020;28489;26797;28489;28489;28489;28489;;1;1;28489;1;321564;12;
27.04.2020;;27685;;;;;;;;;;332220;12;
28.04.2020;28467;28121;28487;28487;28457;28457;;2;2;85401;3;393694;14;
29.04.2020;28000;29185;28000;28000;28000;28000;-1,61;1;1;28000;1;466960;16;
30.04.2020;;29048;;;;;;;;;;464768;16;
04.05.2020;;28833;;;;;;;;;;461328;16;
05.05.2020;;28958;;;;;;;;;;463328;16;
06.05.2020;;28700;;;;;;;;;;459200;16;
07.05.2020;28000;29630;28000;28000;28000;28000;;1;2;56000;2;474080;16;
08.05.2020;;30215;;;;;;;;;;483440;16;
12.05.2020;;30224;;;;;;;;;;483584;16;
13.05.2020;30000;30000;30000;30000;30000;30000;;2;3;120000;4;720000;24;
14.05.2020;28970;28807;29100;29100;28799;28800;-4,00;1;9;289698;10;921824;32;
15.05.2020;29000;29000;29000;29000;29000;29000;0,69;1;1;29000;1;928000;32;
18.05.2020;29651;29602;29700;29700;29602;29602;2,08;1;2;59302;2;947264;32;
19.05.2020;29900;29550;29999;30000;29401;29401;-0,68;1;6;179400;6;591000;20;
20.05.2020;30000;30145;30000;30000;30000;30000;2,04;3;4;300000;10;1145510;38;
21.05.2020;29859;29565;30001;30001;29700;29700;-1,00;1;8;477751;16;2010420;68;
22.05.2020;29765;29759;29765;29765;29765;29765;0,22;1;1;29765;1;2023612;68;
25.05.2020;29909;30000;29800;30000;29800;30000;0,79;1;9;328999;11;1980000;66;
26.05.2020;30043;29900;30200;30300;29700;29700;-1,00;1;7;210302;7;2033200;68;
