Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
08.06.2020;;29388;;;;;;;;;;;;
09.06.2020;;29631;;;;;;;;;;;;
10.06.2020;;29436;;;;;;;;;;;;
11.06.2020;;29134;;;;;;;;;;;;
15.06.2020;;30237;;;;;;;;;;;;
16.06.2020;;30745;;;;;;;;;;;;
17.06.2020;;31239;;;;;;;;;;;;
18.06.2020;31342;31726;34296;34296;28388;28388;;1;2;62684;2;;;
19.06.2020;;32223;;;;;;;;;;;;
22.06.2020;;33084;;;;;;;;;;;;
23.06.2020;;33953;;;;;;;;;;;;
25.06.2020;36469;35326;36439;36498;36439;36498;;1;2;72937;2;141304;4;
26.06.2020;34155;34600;34520;34600;33510;34600;-5,20;1;6;751415;22;1453200;42;
29.06.2020;;35086;;;;;;;;;;1473612;42;
30.06.2020;35306;35509;35090;35414;35090;35414;;2;2;105918;3;1491378;42;
02.07.2020;;35687;;;;;;;;;;1498854;42;
03.07.2020;;35663;;;;;;;;;;1497846;42;
06.07.2020;;37597;;;;;;;;;;1579074;42;
07.07.2020;;36364;;;;;;;;;;1527288;42;
08.07.2020;36304;36025;36303;36304;36303;36304;;1;3;217823;6;1585100;44;
09.07.2020;36275;36002;36302;36302;36002;36002;-0,83;1;2;399022;11;1512084;42;
10.07.2020;36601;36601;36601;36601;36601;36601;1,66;1;1;36601;1;1610444;44;
13.07.2020;36701;37662;36701;36701;36701;36701;0,27;1;1;36701;1;1732452;46;
14.07.2020;36500;37425;36500;36500;36500;36500;-0,55;1;4;146000;4;1946100;52;
15.07.2020;38031;38803;37735;38803;37735;38803;6,31;1;7;532440;14;3104240;80;
16.07.2020;37912;38185;37734;38350;37637;38185;-1,59;1;15;758233;20;3818500;100;
17.07.2020;38870;38900;38590;39000;38590;38900;1,87;1;7;272090;7;4123400;106;
20.07.2020;39868;39300;39999;40000;38998;38998;0,25;1;6;518284;13;4873200;124;
21.07.2020;40013;40077;38967;41069;38967;40077;2,77;1;6;400128;10;5530626;138;
22.07.2020;;40651;;;;;;;;;;5609838;138;
23.07.2020;;40753;;;;;;;;;;5623914;138;
24.07.2020;40579;40579;40579;40579;40579;40579;;1;1;40579;1;5681060;140;
27.07.2020;41000;41000;41000;41000;41000;41000;1,04;1;1;41000;1;5822000;142;
28.07.2020;41000;41852;41000;41000;40999;41000;;1;3;122999;3;6110392;146;
29.07.2020;41300;41265;42000;42000;40600;40600;-0,98;1;2;82600;2;6024690;146;
30.07.2020;40923;42024;40923;40923;40923;40923;0,80;1;1;40923;1;6135504;146;
31.07.2020;42915;42500;42562;42948;42562;42948;4,95;1;3;514980;12;6120000;144;
03.08.2020;43618;43250;43000;44068;42591;42988;0,09;1;10;915984;21;6401000;148;
04.08.2020;43364;43209;43463;43867;43007;43007;0,04;1;9;910653;21;6394932;148;
05.08.2020;;43846;;;;;;;;;;6489208;148;
06.08.2020;44100;44100;44100;44100;44100;44100;;1;2;88200;2;6615000;150;
07.08.2020;44297;44400;44450;44450;43915;44400;0,68;2;5;354379;8;6837600;154;
10.08.2020;43109;42005;43501;43501;42005;42820;-3,56;1;16;1120825;26;6636790;158;
11.08.2020;43338;42456;42800;44388;42050;42050;-1,80;1;40;3943715;91;9595056;226;
12.08.2020;42626;43167;43167;43167;41972;43167;2,66;1;9;426263;10;9583074;222;
13.08.2020;44286;45136;43450;45295;43442;45136;4,56;1;22;1461429;33;10110464;224;
14.08.2020;44589;44866;44500;44892;43700;44866;-0,60;1;27;2407829;54;13908460;310;
17.08.2020;45144;45307;43793;45487;43793;45307;0,98;1;18;948015;21;14588854;322;
18.08.2020;45165;45045;45021;45457;45001;45045;-0,58;1;13;767799;17;14414400;320;
19.08.2020;45721;45902;45454;47293;45150;45902;1,90;1;33;2011717;44;13954208;304;
20.08.2020;46892;47004;46346;47447;45759;47004;2,40;1;28;1547449;33;14289216;304;
21.08.2020;47596;47900;47004;48300;46265;47900;1,91;1;39;2332225;49;15807000;330;
24.08.2020;48166;47809;47900;48450;47694;47709;-0,40;1;10;818817;17;16159442;338;
25.08.2020;49105;49472;48012;49694;48012;49472;3,70;1;54;4468591;91;22460288;454;
26.08.2020;50070;50008;49900;50963;48964;50008;1,08;5;77;7160013;143;25804128;516;
27.08.2020;49165;48898;49205;50000;48514;48950;-2,12;1;74;4228199;86;27578472;564;
28.08.2020;48439;48795;48500;48856;47850;48500;-0,92;1;97;7847146;162;35522760;728;
31.08.2020;50058;50649;48750;50950;48500;50209;3,52;1;288;22726464;454;61183992;1208;
01.09.2020;50820;49900;50595;51589;49895;49921;-0,57;1;369;33591736;661;89820000;1800;
02.09.2020;50149;49325;49895;50899;49150;49150;-1,54;1;201;13841035;276;91547200;1856;
03.09.2020;49928;49340;49589;50799;48750;49350;0,41;2;282;25912826;519;106870440;2166;
04.09.2020;48651;48000;49325;49523;47340;48200;-2,33;2;219;19947049;410;110016000;2292;
07.09.2020;48764;49361;48200;49500;47700;49500;2,70;2;201;21456105;440;135150418;2738;
08.09.2020;47951;47000;49368;49888;46551;47000;-5,05;1;264;29633751;618;136394000;2902;
09.09.2020;46456;46420;46800;47730;46015;46698;-0,64;1;188;15516360;334;140931120;3036;
10.09.2020;46265;46350;46486;47100;45053;46350;-0,74;2;159;14943557;323;146929500;3170;
11.09.2020;45799;46131;46679;46679;45300;46131;-0,47;1;135;16487509;360;148172772;3212;
14.09.2020;46697;47119;46801;47161;46301;47097;2,09;1;252;34742762;744;173209444;3676;
15.09.2020;47429;47140;46738;48200;46701;47180;0,18;1;636;102921868;2170;278597400;5910;
16.09.2020;46488;46530;47001;47150;46131;46650;-1,12;1;697;96137833;2068;361724220;7774;
17.09.2020;45545;45650;46405;46650;45011;45504;-2,46;1;1461;205043046;4502;469829800;10292;
18.09.2020;46084;46102;45930;46501;44720;46100;1,31;1;1442;248160754;5385;535797444;11622;
21.09.2020;45920;45431;46099;46570;45242;45454;-1,40;1;1182;159984910;3484;541810106;11926;
22.09.2020;45889;45655;45550;46500;45289;45783;0,72;8;1431;184521559;4021;552699430;12106;
23.09.2020;52011;50252;45620;55768;45200;50431;10,15;4;30597;5246848223;100880;1044839584;20792;
24.09.2020;49656;49000;50499;51100;48605;48850;-3,14;25;8083;1064923205;21446;946386000;19314;
25.09.2020;48435;49314;48799;49626;47551;49111;0,53;1;5114;708607260;14630;852639060;17290;
28.09.2020;50687;51025;49299;51517;49249;51020;3,89;1;3791;581885528;11480;926511950;18158;
29.09.2020;50865;51309;50907;51674;49690;51383;0,71;6;3365;511451800;10055;977641686;19054;
30.09.2020;51040;50982;51297;51459;50601;50915;-0,91;1;1528;223454174;4378;963559800;18900;
01.10.2020;50609;49935;51000;51440;49690;49766;-2,26;2;1748;311395539;6153;932386320;18672;
02.10.2020;49464;49759;49897;50204;48806;49604;-0,33;1;1504;266214489;5382;918053550;18450;
05.10.2020;49559;49933;49501;50112;49050;50112;1,02;1;1536;201705307;4070;919166664;18408;
06.10.2020;50031;49883;49793;50430;49633;49740;-0,74;3;1471;161349155;3225;914155858;18326;
07.10.2020;48839;48037;49541;49719;47839;48198;-3,10;10;2421;377475504;7729;978801912;20376;
08.10.2020;48069;47784;48001;49572;47402;47887;-0,64;19;2095;277646116;5776;999736848;20922;
09.10.2020;47347;47617;47864;48204;46604;47770;-0,24;1;2560;337392736;7126;1066811268;22404;
12.10.2020;47861;47912;47603;48272;46951;47656;-0,24;20;2003;230212320;4810;1082811200;22600;
13.10.2020;48319;48580;47651;48804;47470;48608;2,00;4;2999;449223988;9297;1044275680;21496;
14.10.2020;48762;48652;48746;49160;48300;48500;-0,22;1;2194;294184055;6033;1042904272;21436;
15.10.2020;47843;47489;48558;48635;47111;47597;-1,86;4;2503;315426909;6593;1063848578;22402;
16.10.2020;46832;46598;47597;48099;45930;46540;-2,22;1;4866;582545275;12439;1023198884;21958;
19.10.2020;45684;45621;46507;47096;45112;45670;-1,87;2;4602;514307791;11258;1032768198;22638;
20.10.2020;44850;43931;45577;45778;43867;44000;-3,66;1;3579;367278746;8189;1056101240;24040;
21.10.2020;43890;44375;44097;44669;42925;44200;0,46;3;6339;810032555;18456;1104316250;24886;
22.10.2020;44692;44379;44150;45345;43913;44340;0,32;8;5289;691784113;15479;1140895332;25708;
23.10.2020;44808;44887;44110;45344;44006;44862;1,18;1;2663;352774716;7873;1166882452;25996;
26.10.2020;45139;44891;44868;45634;44764;44940;0,17;1;2437;309429031;6855;1135203608;25288;
27.10.2020;45444;46080;44900;46272;44811;46150;2,69;2;2356;310564505;6834;1163243520;25244;
28.10.2020;45876;45738;46204;46900;45222;45660;-1,06;1;3428;409899610;8935;1091125728;23856;
29.10.2020;46323;46318;45762;46756;45739;46400;1,62;1;2105;258529355;5581;1123211500;24250;
30.10.2020;45949;45550;46359;46777;45383;45480;-1,98;1;1935;221977954;4831;1084090000;23800;
02.11.2020;46258;46618;45503;47049;45398;46534;2,32;1;1648;184198275;3982;1072400472;23004;
03.11.2020;46099;46150;47171;47550;44991;46160;-0,80;1;2680;286828596;6222;1030160300;22322;
05.11.2020;47709;48522;45901;51220;45747;48455;4,97;1;3513;540108829;11321;901441716;18578;
