<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;60;20190103;110000;1916.5000000;1917.0000000;1881.0000000;1903.5000000;12747
YNDX;60;20190103;120000;1902.5000000;1907.0000000;1899.0000000;1899.0000000;6029
YNDX;60;20190103;130000;1900.0000000;1901.0000000;1896.0000000;1898.0000000;9280
YNDX;60;20190103;140000;1898.0000000;1899.0000000;1896.0000000;1898.0000000;4553
YNDX;60;20190103;150000;1898.0000000;1900.0000000;1897.0000000;1899.0000000;5908
YNDX;60;20190103;160000;1898.0000000;1899.5000000;1897.0000000;1897.0000000;1910
YNDX;60;20190103;170000;1897.5000000;1905.5000000;1897.0000000;1905.0000000;4115
YNDX;60;20190103;180000;1905.0000000;1905.0000000;1875.5000000;1883.0000000;48538
YNDX;60;20190103;190000;1881.0000000;1881.5000000;1857.0000000;1859.5000000;54588
YNDX;60;20190104;110000;1862.5000000;1874.5000000;1862.5000000;1873.5000000;14789
YNDX;60;20190104;120000;1873.0000000;1878.5000000;1872.5000000;1876.5000000;12286
YNDX;60;20190104;130000;1876.5000000;1877.0000000;1875.0000000;1876.5000000;2706
YNDX;60;20190104;140000;1876.5000000;1877.5000000;1870.0000000;1873.5000000;6084
YNDX;60;20190104;150000;1874.0000000;1877.0000000;1871.0000000;1871.5000000;8020
YNDX;60;20190104;160000;1872.0000000;1873.0000000;1869.0000000;1872.0000000;2549
YNDX;60;20190104;170000;1871.5000000;1873.5000000;1865.5000000;1871.5000000;5720
YNDX;60;20190104;180000;1871.5000000;1909.5000000;1869.0000000;1893.5000000;58609
YNDX;60;20190104;190000;1893.0000000;1924.0000000;1889.5000000;1916.0000000;77007
YNDX;60;20190108;110000;1934.0000000;1953.0000000;1933.0000000;1933.0000000;23558
YNDX;60;20190108;120000;1933.0000000;1938.0000000;1925.5000000;1931.5000000;9456
YNDX;60;20190108;130000;1932.5000000;1940.0000000;1931.0000000;1931.5000000;7057
YNDX;60;20190108;140000;1933.0000000;1938.0000000;1931.5000000;1937.0000000;2736
YNDX;60;20190108;150000;1938.0000000;1939.0000000;1933.5000000;1938.0000000;4014
YNDX;60;20190108;160000;1939.0000000;1942.0000000;1932.5000000;1939.0000000;10159
YNDX;60;20190108;170000;1938.5000000;1940.5000000;1937.0000000;1938.0000000;2677
YNDX;60;20190108;180000;1938.0000000;1948.0000000;1934.0000000;1936.0000000;23759
YNDX;60;20190108;190000;1936.5000000;1945.0000000;1919.0000000;1926.5000000;30716
YNDX;60;20190109;110000;1936.5000000;1948.0000000;1934.0000000;1938.0000000;11014
YNDX;60;20190109;120000;1937.0000000;1943.0000000;1935.0000000;1940.0000000;11724
YNDX;60;20190109;130000;1941.5000000;1943.5000000;1940.5000000;1942.0000000;5319
YNDX;60;20190109;140000;1943.5000000;1944.0000000;1941.0000000;1941.5000000;3223
YNDX;60;20190109;150000;1942.5000000;1946.5000000;1941.0000000;1945.0000000;11051
YNDX;60;20190109;160000;1946.0000000;1947.0000000;1945.0000000;1946.5000000;13801
YNDX;60;20190109;170000;1946.5000000;1953.0000000;1945.0000000;1950.0000000;11827
YNDX;60;20190109;180000;1950.0000000;1970.0000000;1949.0000000;1953.5000000;38724
YNDX;60;20190109;190000;1955.5000000;1963.5000000;1942.5000000;1960.0000000;26847
YNDX;60;20190110;110000;1971.0000000;1971.0000000;1965.0000000;1967.5000000;15418
YNDX;60;20190110;120000;1966.0000000;1967.0000000;1955.0000000;1962.5000000;12522
YNDX;60;20190110;130000;1960.5000000;1964.5000000;1958.0000000;1961.0000000;6536
YNDX;60;20190110;140000;1961.5000000;1969.0000000;1961.5000000;1965.0000000;8003
YNDX;60;20190110;150000;1966.5000000;1967.5000000;1960.0000000;1962.0000000;5057
YNDX;60;20190110;160000;1963.5000000;1967.0000000;1958.0000000;1965.5000000;9902
YNDX;60;20190110;170000;1963.5000000;1967.5000000;1963.0000000;1964.0000000;3468
YNDX;60;20190110;180000;1963.5000000;1980.0000000;1962.5000000;1971.5000000;47042
YNDX;60;20190110;190000;1970.5000000;1985.5000000;1969.0000000;1985.0000000;32906
YNDX;60;20190111;110000;1983.0000000;1985.0000000;1973.5000000;1983.0000000;6355
YNDX;60;20190111;120000;1981.0000000;1992.5000000;1979.5000000;1990.0000000;15037
YNDX;60;20190111;130000;1990.0000000;1996.5000000;1988.0000000;1994.5000000;11787
YNDX;60;20190111;140000;1994.5000000;1997.0000000;1991.0000000;1993.0000000;8236
YNDX;60;20190111;150000;1993.0000000;1993.0000000;1985.5000000;1987.5000000;7258
YNDX;60;20190111;160000;1986.5000000;1993.0000000;1986.0000000;1993.0000000;5099
YNDX;60;20190111;170000;1993.0000000;1993.0000000;1980.0000000;1982.0000000;12226
